Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,Golden Horse Global Macro Discretionary Fund,U8251256,,USD,Separate Trading Limit,"February 3, 2025 to February 19, 2025 (Daily)",TWR
Key Statistics,MetaInfo,Analysis Period,"February 3, 2025 - February 19, 2025"
Key Statistics,Header,BeginningNAV,EndingNAV,CumulativeReturn,5DayReturn,5DayReturnDateRange,10DayReturn,10DayReturnDateRange,BestReturn,BestReturnDate,WorstReturn,WorstReturnDate,MTM,Deposits & Withdrawals,Dividends,Interest,Fees & Commissions,Other,ChangeInNAV
Key Statistics,Data,66302109.02544817,66632523.484422624,0.498346831,0.296580904,20250213 - 20250219,0.384661106,20250206 - 20250219,0.225987213,20250213,-0.002375159,20250211,138791.65,0,324.82,-472187.0256944,-3633.161035,667118.175703851,330414.458974451
Historical Performance Benchmark Comparison,MetaInfo,Analysis Period,"March 22, 2018 - February 19, 2025"
Historical Performance Benchmark Comparison,Header,Account,MTD,QTD,YTD,1 Year,3 Year,5 Year,Since Inception
Historical Performance Benchmark Comparison,Data,SPXTR,1.800189581,4.635055321,4.635055321,24.408382238,47.963762251,97.14301974,154.385082923
Historical Performance Benchmark Comparison,Data,EFA,3.066633014,8.014812855,8.014812855,10.747977477,18.467717922,37.306849813,43.637154852
Historical Performance Benchmark Comparison,Data,VT,2.271413232,5.396663262,5.396663262,19.187542766,31.587658353,66.158812469,91.179861143
Historical Performance Benchmark Comparison,Data,U8251256,0.498346821,7.117740495,7.117740495,52.184811745,43.782024425,-29.275158492,< -2000000
Historical Performance Benchmark Comparison,Header,Month,BM1,BM1Return,BM2,BM2Return,BM3,BM3Return,Account,AccountReturn
Historical Performance Benchmark Comparison,Data,202501,SPXTR,2.784735227,EFA,4.800952255,VT,3.055839292,U8251256,6.586569713
Historical Performance Benchmark Comparison,Data,202502,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202503,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202504,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202505,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202506,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202507,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202508,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202509,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202510,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202511,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202512,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202401,SPXTR,1.680411083,EFA,-0.451227605,VT,-0,U8251256,-13.043280056
Historical Performance Benchmark Comparison,Data,202402,SPXTR,5.33958394,EFA,2.986268498,VT,4.49066874,U8251256,-0.645749828
Historical Performance Benchmark Comparison,Data,202403,SPXTR,3.217469362,EFA,3.378640777,VT,3.191062404,U8251256,10.31103208
Historical Performance Benchmark Comparison,Data,202404,SPXTR,-4.084504945,EFA,-3.243175557,VT,-3.583710407,U8251256,-17.763991929
Historical Performance Benchmark Comparison,Data,202405,SPXTR,4.958517704,EFA,5.060178595,VT,4.599211564,U8251256,22.363101284
Historical Performance Benchmark Comparison,Data,202406,SPXTR,3.58817542,EFA,-1.807607101,VT,1.587336699,U8251256,7.397797793
Historical Performance Benchmark Comparison,Data,202407,SPXTR,1.217251819,EFA,2.591599643,VT,1.979934298,U8251256,0.079386436
