Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025"
Statement,Data,WhenGenerated,"2025-01-02, 22:19:40 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,1743478.681053331,-124082662.23642649,-122339183.55537316,-1432.959512651
Net Asset Value,Data,Stock,194133060.80600002,194134612.75800002,0,194134612.75800002,1551.951999992
Net Asset Value,Data,Options,-107017.55,93102.5,-200120.05,-107017.55,0
Net Asset Value,Data,Interest Accruals,-523154.9986953,0,-523157.8283277,-523157.8283277,-2.8296324
Net Asset Value,Data,Dividend Accruals,39694.96,39921.14,-226.18,39694.96,0
Net Asset Value,Data,Total,71204832.62144418,196011115.07905334,-124806166.29475419,71204948.78429915,116.16285497
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.000163139%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,118.99248737
Change in NAV,Data,Other FX Translations,-2.8296324
Change in NAV,Data,Ending Value,71204948.78429915
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,22.5500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,266.6000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.4300,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,80000,34.5000,34.5000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,77.8500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,46.0500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,56.5000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,74.2800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.3900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,151.7000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,490.5000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,937.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.4000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,417.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,19.1200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,76.6000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,136.0000,0,0,0,0,0,
