Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 8, 2025"
Statement,Data,WhenGenerated,"2025-01-09, 00:43:53 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-131911610.26725784,1258166.601053101,-133152998.86019783,-131894832.25914472,16778.008113116
Net Asset Value,Data,Stock,196935241.18949997,196497881.946,0,196497881.946,-437359.243499964
Net Asset Value,Data,Options,-210640.35025,90346,-268351.43675,-178005.43675,32634.9135
Net Asset Value,Data,Interest Accruals,-110295.6169759,0,-128683.1068563,-128683.1068563,-18387.4898804
Net Asset Value,Data,Dividend Accruals,82075.2398973,82297.0041185,-234.28,82062.7241185,-12.5157788
Net Asset Value,Data,Total,64784770.19491352,197928691.5511716,-133550267.68380412,64378423.867367476,-406346.327546045
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.627225081%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,64784770.19491352
Change in NAV,Data,Mark-to-Market,-387946.32188686
Change in NAV,Data,Change in Interest Accruals,-18396.7183977
Change in NAV,Data,Other FX Translations,-3.2872615
Change in NAV,Data,Ending Value,64378423.867367476
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.1500,22.0000,-3663.675,0,0,0,-3663.675,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,259.2000,254.4000,-15734.52,0,0,0,-15734.52,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2600,4.2600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,34.1500,32.8000,-26031.375,0,0,0,-26031.375,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,76.6000,75.2500,-867.7125,0,0,0,-867.7125,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,43.2500,43.0500,-3213.75,0,0,0,-3213.75,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,51.5000,51.1000,-1028.4,0,0,0,-1028.4,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,72.0600,71.4800,-32433.165,0,0,0,-32433.165,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.1200,9.0200,-7713,0,0,0,-7713,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,148.7000,146.7000,-3213.75,0,0,0,-3213.75,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,549.5000","1,554.0000",284.1705,0,0,0,284.1705,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"4,038.0000","3,965.0000",-6914.8155,0,0,0,-6914.8155,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.3400,12.1200,-6787.44,0,0,0,-6787.44,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,379.6000,369.2000,-55482.18,0,0,0,-55482.18,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,18.9800,19.0200,2571,0,0,0,2571,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,75.6000,75.3000,-4820.625,0,0,0,-4820.625,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,135.0000,135.3000,482.0625,0,0,0,482.0625,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,9.7200,9.5300,-1221.225,0,0,0,-1221.225,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,507.5000,510.5000,3663.675,0,0,0,3663.675,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,81.4000,80.9000,-1928.25,0,0,0,-1928.25,
Mark-to-Market Performance Summary,Data,Stocks,9CI,500000,500000,2.5800,2.5100,-25587.45,0,0,0,-25587.45,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,2000,242.2100,242.7000,980,0,0,0,980,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,2000,222.1100,222.1300,40,0,0,0,40,
Mark-to-Market Performance Summary,Data,Stocks,ANF,1000,1000,152.1300,151.6200,-510,0,0,0,-510,
Mark-to-Market Performance Summary,Data,Stocks,ASML,500,500,757.5800,743.9800,-6800,0,0,0,-6800,
Mark-to-Market Performance Summary,Data,Stocks,BILI,2500,2500,17.4200,16.7800,-1600,0,0,0,-1600,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,2000,2000,452.9200,451.8400,-2160,0,0,0,-2160,
Mark-to-Market Performance Summary,Data,Stocks,BX,1500,1500,171.3400,173.9700,3945,0,0,0,3945,
Mark-to-Market Performance Summary,Data,Stocks,CAT,800,800,363.0000,361.0700,-1544,0,0,0,-1544,
Mark-to-Market Performance Summary,Data,Stocks,CCJ,2000,2000,51.5800,51.3800,-400,0,0,0,-400,
Mark-to-Market Performance Summary,Data,Stocks,CRM,1000,1000,324.9300,326.9000,1970,0,0,0,1970,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10000,10000,188.7200,192.6500,39300,0,0,0,39300,
Mark-to-Market Performance Summary,Data,Stocks,CWB,38350,38350,78.7700,78.4800,-11121.5,0,0,0,-11121.5,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,44.5000,45.4400,34360.29,0,0,0,34360.29,
Mark-to-Market Performance Summary,Data,Stocks,DBA,55000,55000,26.5000,26.3600,-7700,0,0,0,-7700,
Mark-to-Market Performance Summary,Data,Stocks,DIA,2000,2000,425.3300,426.1300,1600,0,0,0,1600,
Mark-to-Market Performance Summary,Data,Stocks,EPI,50000,50000,45.0800,45.0100,-3500,0,0,0,-3500,
Mark-to-Market Performance Summary,Data,Stocks,FPE,200000,200000,17.6800,17.6800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,GLD,69481,69481,244.5600,245.8600,90325.3,0,0,0,90325.3,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,3000,3000,196.7100,195.3900,-3960,0,0,0,-3960,
Mark-to-Market Performance Summary,Data,Stocks,GS,2000,2000,580.1200,580.0200,-200,0,0,0,-200,
Mark-to-Market Performance Summary,Data,Stocks,HES,11100,11100,138.6100,139.8100,13320,0,0,0,13320,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,55000,55000,26.4300,26.5700,7700,0,0,0,7700,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,55000,55000,54.7900,53.3400,-79750,0,0,0,-79750,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1000,1000,146.4400,146.5700,130,0,0,0,130,
Mark-to-Market Performance Summary,Data,Stocks,IGV,11000,11000,99.1900,99.2000,110,0,0,0,110,
Mark-to-Market Performance Summary,Data,Stocks,IJH,63000,63000,62.6100,62.7800,10710,0,0,0,10710,
Mark-to-Market Performance Summary,Data,Stocks,ISTB,21013,21013,47.7300,47.7500,420.26,0,0,0,420.26,
Mark-to-Market Performance Summary,Data,Stocks,IWM,36000,36000,222.7200,221.7100,-36360,0,0,0,-36360,
Mark-to-Market Performance Summary,Data,Stocks,JPM,3000,3000,243.1700,243.1300,-120,0,0,0,-120,
Mark-to-Market Performance Summary,Data,Stocks,KO,5000,5000,60.8400,61.7100,4350,0,0,0,4350,
Mark-to-Market Performance Summary,Data,Stocks,LLY,400,400,773.2900,787.2200,5572,0,0,0,5572,
Mark-to-Market Performance Summary,Data,Stocks,LQD,20000,20000,105.8400,106.0100,3400,0,0,0,3400,
Mark-to-Market Performance Summary,Data,Stocks,MBB,4000,4000,91.1200,91.1700,200,0,0,0,200,
