Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 9, 2025"
Statement,Data,WhenGenerated,"2025-01-10, 01:02:58 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-131894832.25914472,1276317.961053084,-133254254.9059111,-131977936.94485801,-83104.685713291
Net Asset Value,Data,Stock,196497881.946,196556939.324,0,196556939.324,59057.377999991
Net Asset Value,Data,Options,-178005.43675,90346,-263324.37005,-172978.37005,5027.0667
Net Asset Value,Data,Interest Accruals,-128683.1068563,0,-147127.9483918,-147127.9483918,-18444.8415355
Net Asset Value,Data,Dividend Accruals,82062.7241185,81998.2304503,-234.28,81763.9504503,-298.7736682
Net Asset Value,Data,Total,64378423.867367476,198005601.51550338,-133664941.5043529,64340660.01115048,-37763.856216997
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.058659181%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,64378423.867367476
Change in NAV,Data,Mark-to-Market,-19397.47101327
Change in NAV,Data,Dividends,400
Change in NAV,Data,Withholding Tax,-22.77
Change in NAV,Data,Change in Dividend Accruals,-280
Change in NAV,Data,Change in Interest Accruals,-18452.7295629
Change in NAV,Data,Other FX Translations,-10.8856408
Change in NAV,Data,Ending Value,64340660.01115048
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.0000,21.8500,-3661.965,0,0,0,-3661.965,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,254.4000,255.8000,4587.093,0,0,0,4587.093,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2600,4.2600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,32.8000,33.7500,18309.825,0,0,0,18309.825,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,75.2500,78.6000,2152.2075,0,0,0,2152.2075,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,43.0500,42.8000,-4015.3125,0,0,0,-4015.3125,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,51.1000,52.7500,4240.17,0,0,0,4240.17,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,71.4800,71.3400,-7825.041,0,0,0,-7825.041,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.0200,9.0450,1927.35,0,0,0,1927.35,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,146.7000,144.4000,-3694.0875,0,0,0,-3694.0875,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,554.0000","1,534.5000",-1233.0435,0,0,0,-1233.0435,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,965.0000","3,909.0000",-5311.572,0,0,0,-5311.572,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.1200,12.1400,616.752,0,0,0,616.752,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,369.2000,373.4000,22395.807,0,0,0,22395.807,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.0200,18.8800,-8994.3,0,0,0,-8994.3,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,75.3000,75.2500,-803.0625,0,0,0,-803.0625,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,135.3000,133.2000,-3372.8625,0,0,0,-3372.8625,
