Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 14, 2025"
Statement,Data,WhenGenerated,"2025-01-14, 23:35:12 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-132440296.58839214,1224965.581053053,-133647905.1295394,-132422939.54848635,17357.039905787
Net Asset Value,Data,Stock,192574667.909,193205798.51,0,193205798.51,631130.600999981
Net Asset Value,Data,Options,469573.5752,492043.4,-43931.8159,448111.5841,-21461.9911
Net Asset Value,Data,Interest Accruals,-220734.422058,0,-239801.721563,-239801.721563,-19067.299505
Net Asset Value,Data,Dividend Accruals,42995.7567821,43226.9078374,-234.28,42992.6278374,-3.1289447
Net Asset Value,Data,Total,60426206.230531976,194966034.39889044,-133931872.9470024,61034161.45188804,607955.221356064
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.00611185%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,60426206.230531976
Change in NAV,Data,Mark-to-Market,627057.81134417
Change in NAV,Data,Change in Interest Accruals,-19055.9538092
Change in NAV,Data,Commissions,-32.1615384
Change in NAV,Data,Other FX Translations,-14.4746405
Change in NAV,Data,Ending Value,61034161.45188804
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.0000,22.0500,1219.99,0,0,0,1219.99,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,249.2000,257.0000,25542.738,0,0,0,25542.738,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.1700,4.1900,6742.05,0,0,0,6742.05,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,32.8000,33.7500,18299.85,0,0,0,18299.85,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,78.0000,78.5000,321.05,0,0,0,321.05,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,40.9500,41.4000,7223.625,0,0,0,7223.625,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,52.0000,54.1500,5522.06,0,0,0,5522.06,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,70.0600,71.5600,83794.05,0,0,0,83794.05,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,8.8400,9.1250,21959.82,0,0,0,21959.82,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,137.4000,144.3000,11076.225,0,0,0,11076.225,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,514.5000","1,518.5000",253.208,0,0,0,253.208,
Mark-to-Market Performance Summary,Data,Stocks,6181,2000,2000,296.4000,292.0000,-1130.096,0,0,0,-1130.096,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,810.0000","3,739.0000",-6741.663,0,0,0,-6741.663,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.0800,12.2800,6164.16,0,0,0,6164.16,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,366.0000,375.0000,47964.87,0,0,0,47964.87,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.2400,19.4800,15410.4,0,0,0,15410.4,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,74.1500,74.3000,2407.875,0,0,0,2407.875,
