Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 15, 2025"
Statement,Data,WhenGenerated,"2025-01-16, 00:10:49 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-132422939.54848635,1367903.741053089,-132995742.86183788,-131627839.12078479,795100.427701563
Net Asset Value,Data,Stock,193205798.51,196596370.7085,0,196596370.7085,3390572.198500007
Net Asset Value,Data,Options,448111.5841,402529.2,-64529.63295,337999.56705,-110112.01705
Net Asset Value,Data,Interest Accruals,-239801.721563,0,-258113.6904964,-258113.6904964,-18311.9689334
Net Asset Value,Data,Dividend Accruals,42992.6278374,43230.0367821,-234.28,42995.7567821,3.1289447
Net Asset Value,Data,Total,61034161.45188804,198410033.68633515,-133318620.46528427,65091413.22105087,4057251.769162834
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,6.647509645%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,61034161.45188804
Change in NAV,Data,Mark-to-Market,4075969.20535019
Change in NAV,Data,Change in Interest Accruals,-18309.7192051
Change in NAV,Data,Commissions,-408.5961986
Change in NAV,Data,Other FX Translations,0.8792164
Change in NAV,Data,Ending Value,65091413.22105087
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.0500,22.4000,8540.595,0,0,0,8540.595,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,257.0000,258.8000,5894.937,0,0,0,5894.937,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.1900,4.2100,6742.575,0,0,0,6742.575,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,33.7500,33.6000,-2889.675,0,0,0,-2889.675,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,78.5000,78.2500,-160.5375,0,0,0,-160.5375,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,41.4000,41.1500,-4013.4375,0,0,0,-4013.4375,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,54.1500,52.2500,-4880.34,0,0,0,-4880.34,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,71.5600,71.7800,12290.751,0,0,0,12290.751,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.1250,9.1350,770.58,0,0,0,770.58,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,144.3000,144.5000,321.075,0,0,0,321.075,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,518.5000","1,546.5000",1789.452,0,0,0,1789.452,
Mark-to-Market Performance Summary,Data,Stocks,6181,2000,2000,292.0000,281.0000,-2825.46,0,0,0,-2825.46,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,739.0000","3,725.0000",-1342.089,0,0,0,-1342.089,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.2800,12.4200,4315.248,0,0,0,4315.248,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,375.0000,380.0000,26649.225,0,0,0,26649.225,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.4800,19.5000,1284.3,0,0,0,1284.3,
