Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 17, 2025"
Statement,Data,WhenGenerated,"2025-01-19, 20:46:22 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-131732524.55261981,1518761.231052957,-132433902.8016835,-130915141.57063055,817382.981989264
Net Asset Value,Data,Stock,197252118.667,198514993.34899998,0,198514993.34899998,1262874.681999981
Net Asset Value,Data,Options,316284.8224,221471,-78770.4044,142700.5956,-173584.2268
Net Asset Value,Data,Interest Accruals,-276374.5126028,0,-294248.1661688,-294248.1661688,-17873.653566
Net Asset Value,Data,Dividend Accruals,42992.6278374,43460.5357268,-234.28,43226.2557268,233.6278894
Net Asset Value,Data,Total,65602497.05201477,200298686.11577973,-132807155.6522523,67491530.46352743,1889033.411512658
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,2.879514495%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,65602497.05201477
Change in NAV,Data,Mark-to-Market,1907215.73691426
Change in NAV,Data,Change in Dividend Accruals,227.37
Change in NAV,Data,Change in Interest Accruals,-17881.9503647
Change in NAV,Data,Commissions,-542.299725
Change in NAV,Data,Other FX Translations,14.5546881
Change in NAV,Data,Ending Value,67491530.46352743
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.6000,23.1000,12201.8,0,0,0,12201.8,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,261.0000,263.8000,9170.616,0,0,0,9170.616,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.2400,4.1800,-20229.3,0,0,0,-20229.3,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,34.3500,34.9500,11559.6,0,0,0,11559.6,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,79.2000,78.1000,-706.42,0,0,0,-706.42,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,41.7000,41.7000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,52.4500,51.9000,-1412.84,0,0,0,-1412.84,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,72.7200,72.7200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.2450,9.3800,10403.64,0,0,0,10403.64,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,147.6000,147.8000,321.1,0,0,0,321.1,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,533.5000","1,524.5000",-575.793,0,0,0,-575.793,
Mark-to-Market Performance Summary,Data,Stocks,6181,2000,2000,295.0000,287.4000,-1952.288,0,0,0,-1952.288,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,688.0000","3,697.0000",863.6895,0,0,0,863.6895,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.6200,12.8000,5548.608,0,0,0,5548.608,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,382.4000,379.8000,-13858.676,0,0,0,-13858.676,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.7800,19.6000,-11559.6,0,0,0,-11559.6,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,75.3500,75.1000,-4013.75,0,0,0,-4013.75,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,140.1000,146.7000,10596.3,0,0,0,10596.3,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,9.2900,9.2300,-385.32,0,0,0,-385.32,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,511.5000,513.0000,1830.27,0,0,0,1830.27,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,80.4500,80.7500,1155.96,0,0,0,1155.96,
Mark-to-Market Performance Summary,Data,Stocks,9CI,400000,400000,2.4900,2.4700,-5840.72,0,0,0,-5840.72,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,2000,228.2600,229.9800,3440,0,0,0,3440,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,2000,220.6600,225.9400,10560,0,0,0,10560,
Mark-to-Market Performance Summary,Data,Stocks,ANF,500,500,128.1100,130.3500,1120,0,0,0,1120,
Mark-to-Market Performance Summary,Data,Stocks,ASML,500,500,750.2800,756.3300,3025,0,0,0,3025,
Mark-to-Market Performance Summary,Data,Stocks,BILI,2500,2500,16.9800,17.4700,1225,0,0,0,1225,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,2000,2000,462.8100,467.9500,10280,0,0,0,10280,
Mark-to-Market Performance Summary,Data,Stocks,BX,2000,2000,176.7200,179.9500,6460,0,0,0,6460,
Mark-to-Market Performance Summary,Data,Stocks,CAT,800,800,380.5500,386.0200,4376,0,0,0,4376,
Mark-to-Market Performance Summary,Data,Stocks,CCJ,2000,2000,49.5100,51.6300,4240,0,0,0,4240,
Mark-to-Market Performance Summary,Data,Stocks,CRM,1000,1000,320.0000,324.5600,4560,0,0,0,4560,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10000,10000,198.0500,198.3100,2600,0,0,0,2600,
Mark-to-Market Performance Summary,Data,Stocks,CWB,38350,38350,79.2700,79.9000,24160.5,0,0,0,24160.5,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,43.7800,43.8500,2555.315,0,0,0,2555.315,
Mark-to-Market Performance Summary,Data,Stocks,DBA,55000,55000,26.3400,26.6000,14300,0,0,0,14300,
Mark-to-Market Performance Summary,Data,Stocks,DIA,2000,2000,431.5600,434.7200,6320,0,0,0,6320,
Mark-to-Market Performance Summary,Data,Stocks,EPI,30000,30000,43.9100,44.0300,3600,0,0,0,3600,
Mark-to-Market Performance Summary,Data,Stocks,FPE,150000,150000,17.7400,17.7600,3000,0,0,0,3000,
Mark-to-Market Performance Summary,Data,Stocks,GLD,69481,69481,250.6000,249.2700,-92409.73,0,0,0,-92409.73,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,3000,3000,194.4100,197.5500,9420,0,0,0,9420,
Mark-to-Market Performance Summary,Data,Stocks,GS,2000,2000,612.9900,625.9400,25900,0,0,0,25900,
Mark-to-Market Performance Summary,Data,Stocks,HES,11100,11100,149.7300,151.3500,17982,0,0,0,17982,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,55000,55000,27.0700,26.9500,-6600,0,0,0,-6600,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,55000,55000,57.0900,59.6200,139150,0,0,0,139150,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1000,1000,150.2300,149.1100,-1120,0,0,0,-1120,
Mark-to-Market Performance Summary,Data,Stocks,IGV,11000,11000,99.3500,100.3200,10670,0,0,0,10670,
Mark-to-Market Performance Summary,Data,Stocks,IJH,63000,61500,64.4100,64.7000,18270,-2550,-2.8761,0,15717.1239,
Mark-to-Market Performance Summary,Data,Stocks,ISTB,21013,21013,47.8600,47.8600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,IWM,36000,36000,224.4900,225.4600,34920,0,0,0,34920,
Mark-to-Market Performance Summary,Data,Stocks,JPM,4000,4000,254.2700,259.1600,19560,0,0,0,19560,
Mark-to-Market Performance Summary,Data,Stocks,KO,5000,5000,62.2500,62.7100,2300,0,0,0,2300,
Mark-to-Market Performance Summary,Data,Stocks,LLY,400,400,757.6000,725.7200,-12752,0,0,0,-12752,
Mark-to-Market Performance Summary,Data,Stocks,LQD,20000,20000,106.6900,106.7800,1800,0,0,0,1800,
Mark-to-Market Performance Summary,Data,Stocks,MBB,4000,4000,91.6600,91.5900,-280,0,0,0,-280,
Mark-to-Market Performance Summary,Data,Stocks,MCD,5000,5000,279.7400,280.9500,6050,0,0,0,6050,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,1700,1700,424.5800,429.0300,7565,0,0,0,7565,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,172800,172800,133.5700,137.7100,715392,0,0,0,715392,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,2000,2000,159.5400,161.0300,2980,0,0,0,2980,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2500,2500,177.1700,177.1100,-150,0,0,0,-150,
Mark-to-Market Performance Summary,Data,Stocks,PDD,11400,10000,100.2600,105.5700,60534,-7798,-4.1244,0,52731.8756,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,2500,2500,69.2400,71.7700,6325,0,0,0,6325,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,62000,62000,513.0800,521.7400,536920,0,0,0,536920,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5000,5000,120.4600,121.1100,3250,0,0,0,3250,
Mark-to-Market Performance Summary,Data,Stocks,SHYD,12000,12000,22.5300,22.6300,1200,0,0,0,1200,
Mark-to-Market Performance Summary,Data,Stocks,SNOW,500,500,167.6400,170.7900,1575,0,0,0,1575,
Mark-to-Market Performance Summary,Data,Stocks,STIP,15000,15000,101.1600,101.1500,-150,0,0,0,-150,
Mark-to-Market Performance Summary,Data,Stocks,TLT,52500,52500,87.0400,87.1900,7875,0,0,0,7875,
Mark-to-Market Performance Summary,Data,Stocks,TSM,96500,96500,214.7900,211.5000,-317485,0,0,0,-317485,
Mark-to-Market Performance Summary,Data,Stocks,USHY,40000,40000,37.1200,37.1900,2800,0,0,0,2800,
Mark-to-Market Performance Summary,Data,Stocks,VCIT,30000,30000,80.1900,80.2300,1200,0,0,0,1200,
Mark-to-Market Performance Summary,Data,Stocks,VKTX,1000,1000,32.5600,32.6500,90,0,0,0,90,
Mark-to-Market Performance Summary,Data,Stocks,XHB,5500,5500,110.2100,110.6700,2530,0,0,0,2530,
Mark-to-Market Performance Summary,Data,Stocks,XLE,67500,67500,93.2400,93.9600,48600,0,0,0,48600,
Mark-to-Market Performance Summary,Data,Stocks,XLF,199563,199563,49.8100,50.2300,83816.46,0,0,0,83816.46,
Mark-to-Market Performance Summary,Data,Stocks,XLK,24100,24100,230.5000,234.1100,87001,0,0,0,87001,
Mark-to-Market Performance Summary,Data,Stocks,XLU,6000,6000,78.7300,78.8400,660,0,0,0,660,
Mark-to-Market Performance Summary,Data,Stocks,XLV,31500,31500,141.1300,140.1800,-29925,0,0,0,-29925,
Mark-to-Market Performance Summary,Data,Stocks,XME,13500,13500,59.8000,60.3300,7155,0,0,0,7155,
Mark-to-Market Performance Summary,Data,Stocks,XSW,4300,4300,189.5400,189.8200,1204,0,0,0,1204,
Mark-to-Market Performance Summary,Data,Stocks,Z74,200000,200000,3.1200,3.1400,2920.36,0,0,0,2920.36,
