Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 23, 2025"
Statement,Data,WhenGenerated,"2025-01-24, 02:00:30 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-129123558.15435599,854281.931053472,-129938906.99478099,-129084625.06372751,38933.090628475
Net Asset Value,Data,Stock,201832866.49650002,202237523.70850003,0,202237523.70850003,404657.212000012
Net Asset Value,Data,Options,-339357.15875,88350,-413818.8577,-325468.8577,13888.30105
Net Asset Value,Data,Interest Accruals,-384928.98442,0,-402603.0009843,-402603.0009843,-17674.0165643
Net Asset Value,Data,Dividend Accruals,52080.3910033,52085.3620586,-8.1,52077.2620586,-3.1289447
Net Asset Value,Data,Total,72037102.58997732,203232241.0016121,-130755336.95346528,72476904.04814681,439801.45816949
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.610520749%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,72037102.58997732
Change in NAV,Data,Mark-to-Market,457478.60367847
Change in NAV,Data,Change in Interest Accruals,-17677.6017363
Change in NAV,Data,Other FX Translations,0.4562273
Change in NAV,Data,Ending Value,72476904.04814681
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,23.2500,22.8500,-9756.88,0,0,0,-9756.88,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,276.6000,270.6000,-19642.14,0,0,0,-19642.14,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.1500,4.2300,26959.8,0,0,0,26959.8,
Mark-to-Market Performance Summary,Data,Stocks,1810,150000,150000,35.3000,34.5000,-15405.6,0,0,0,-15405.6,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,80.8000,78.5000,-1476.37,0,0,0,-1476.37,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,41.9500,42.7500,12838,0,0,0,12838,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,55.0500,54.3000,-1925.7,0,0,0,-1925.7,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,73.4400,73.3600,-4467.624,0,0,0,-4467.624,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.5800,9.4650,-8858.22,0,0,0,-8858.22,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,152.5000,151.1000,-2246.65,0,0,0,-2246.65,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,537.0000","1,547.0000",640.79,0,0,0,640.79,
Mark-to-Market Performance Summary,Data,Stocks,6181,2000,2000,348.2000,355.4000,1848.672,0,0,0,1848.672,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,929.0000","4,045.0000",11149.746,0,0,0,11149.746,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.2800,12.1400,-4313.568,0,0,0,-4313.568,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,383.4000,381.2000,-11721.094,0,0,0,-11721.094,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,18.7400,18.6200,-7702.8,0,0,0,-7702.8,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,75.0000,74.8500,-2407.125,0,0,0,-2407.125,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,151.6000,151.2000,-641.9,0,0,0,-641.9,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,9.1500,9.2000,320.95,0,0,0,320.95,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,523.0000,514.0000,-10976.49,0,0,0,-10976.49,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,82.2000,82.9000,2695.98,0,0,0,2695.98,
Mark-to-Market Performance Summary,Data,Stocks,9CI,400000,400000,2.4500,2.4400,-2950.68,0,0,0,-2950.68,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,2000,223.8300,223.6600,-340,0,0,0,-340,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,2000,235.0100,235.4200,820,0,0,0,820,
Mark-to-Market Performance Summary,Data,Stocks,ANF,500,500,128.5700,124.1500,-2210,0,0,0,-2210,
Mark-to-Market Performance Summary,Data,Stocks,ASML,500,500,766.7100,746.2400,-10235,0,0,0,-10235,
Mark-to-Market Performance Summary,Data,Stocks,BILI,2500,2500,16.3100,16.4300,300,0,0,0,300,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,2000,2000,460.5100,459.8300,-1360,0,0,0,-1360,
Mark-to-Market Performance Summary,Data,Stocks,BX,2000,2000,182.7700,185.5200,5500,0,0,0,5500,
Mark-to-Market Performance Summary,Data,Stocks,CAT,800,800,397.6100,406.4000,7032,0,0,0,7032,
Mark-to-Market Performance Summary,Data,Stocks,CCJ,2000,2000,56.3200,56.8600,1080,0,0,0,1080,
Mark-to-Market Performance Summary,Data,Stocks,CRM,1000,1000,332.6200,334.6600,2040,0,0,0,2040,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10000,10000,199.0200,197.8000,-12200,0,0,0,-12200,
Mark-to-Market Performance Summary,Data,Stocks,CWB,38350,38350,80.3300,80.4700,5369,0,0,0,5369,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,43.3200,43.8100,18072.915,0,0,0,18072.915,
Mark-to-Market Performance Summary,Data,Stocks,DBA,55000,55000,27.2200,27.2600,2200,0,0,0,2200,
Mark-to-Market Performance Summary,Data,Stocks,DIA,2000,2000,441.2800,445.3800,8200,0,0,0,8200,
Mark-to-Market Performance Summary,Data,Stocks,EPI,30000,30000,43.5500,43.9500,12000,0,0,0,12000,
Mark-to-Market Performance Summary,Data,Stocks,FPE,150000,150000,17.7300,17.7400,1500,0,0,0,1500,
Mark-to-Market Performance Summary,Data,Stocks,GLD,69481,69481,254.4300,254.0700,-25013.16,0,0,0,-25013.16,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,3000,3000,200.0300,199.5800,-1350,0,0,0,-1350,
Mark-to-Market Performance Summary,Data,Stocks,GS,2000,2000,632.7300,639.5000,13540,0,0,0,13540,
Mark-to-Market Performance Summary,Data,Stocks,HES,11100,11100,145.5900,144.8600,-8103,0,0,0,-8103,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,55000,55000,27.5000,27.4700,-1650,0,0,0,-1650,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,55000,55000,59.3800,58.7900,-32450,0,0,0,-32450,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1000,1000,154.1700,157.6800,3510,0,0,0,3510,
Mark-to-Market Performance Summary,Data,Stocks,IGV,11000,11000,104.1100,104.2900,1980,0,0,0,1980,
Mark-to-Market Performance Summary,Data,Stocks,IJH,61500,61500,65.4800,65.4900,615,0,0,0,615,
Mark-to-Market Performance Summary,Data,Stocks,ISTB,21013,21013,47.8700,47.8700,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,IWM,36000,36000,228.2900,229.3300,37440,0,0,0,37440,
Mark-to-Market Performance Summary,Data,Stocks,JPM,4000,4000,262.8400,265.9500,12440,0,0,0,12440,
Mark-to-Market Performance Summary,Data,Stocks,KO,5000,5000,61.7800,61.5300,-1250,0,0,0,-1250,
Mark-to-Market Performance Summary,Data,Stocks,LLY,400,400,753.9800,766.6000,5048,0,0,0,5048,
Mark-to-Market Performance Summary,Data,Stocks,LQD,20000,20000,107.0600,106.9100,-3000,0,0,0,-3000,
Mark-to-Market Performance Summary,Data,Stocks,MBB,4000,4000,91.7700,91.5300,-960,0,0,0,-960,
Mark-to-Market Performance Summary,Data,Stocks,MCD,5000,5000,281.3500,284.4300,15400,0,0,0,15400,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,1700,1700,446.2000,446.7100,867,0,0,0,867,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,172800,172800,147.0700,147.2200,25920,0,0,0,25920,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,2000,2000,184.2200,186.4700,4500,0,0,0,4500,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2500,2500,187.7000,187.3200,-950,0,0,0,-950,
Mark-to-Market Performance Summary,Data,Stocks,PDD,10000,10000,103.0800,104.0100,9300,0,0,0,9300,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,2500,2500,76.8700,78.9800,5275,0,0,0,5275,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,60000,60000,531.5100,532.6400,67800,0,0,0,67800,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5000,5000,124.3800,126.2900,9550,0,0,0,9550,
Mark-to-Market Performance Summary,Data,Stocks,SHYD,12000,12000,22.6800,22.6600,-240,0,0,0,-240,
Mark-to-Market Performance Summary,Data,Stocks,SNOW,500,500,177.4900,174.9400,-1275,0,0,0,-1275,
Mark-to-Market Performance Summary,Data,Stocks,STIP,15000,15000,101.0400,101.1300,1350,0,0,0,1350,
Mark-to-Market Performance Summary,Data,Stocks,TLT,52500,52500,87.5100,86.8300,-35700,0,0,0,-35700,
Mark-to-Market Performance Summary,Data,Stocks,TSM,96500,96500,223.2000,224.6200,137030,0,0,0,137030,
Mark-to-Market Performance Summary,Data,Stocks,USHY,40000,40000,37.2100,37.2700,2400,0,0,0,2400,
Mark-to-Market Performance Summary,Data,Stocks,VCIT,30000,30000,80.3300,80.3000,-900,0,0,0,-900,
Mark-to-Market Performance Summary,Data,Stocks,VKTX,1000,1000,34.0500,34.9400,890,0,0,0,890,
Mark-to-Market Performance Summary,Data,Stocks,XHB,5500,5500,111.5300,111.9100,2090,0,0,0,2090,
Mark-to-Market Performance Summary,Data,Stocks,XLE,67500,67500,91.7800,92.2000,28350,0,0,0,28350,
Mark-to-Market Performance Summary,Data,Stocks,XLF,199563,199563,50.4100,50.7000,57873.27,0,0,0,57873.27,
Mark-to-Market Performance Summary,Data,Stocks,XLK,24100,24100,241.3900,241.8200,10363,0,0,0,10363,
Mark-to-Market Performance Summary,Data,Stocks,XLU,6000,6000,78.3200,78.6900,2220,0,0,0,2220,
Mark-to-Market Performance Summary,Data,Stocks,XLV,31500,31500,142.1800,144.0800,59850,0,0,0,59850,
Mark-to-Market Performance Summary,Data,Stocks,XME,13500,13500,60.4200,60.8100,5265,0,0,0,5265,
Mark-to-Market Performance Summary,Data,Stocks,XSW,4300,4300,193.2300,193.8700,2752,0,0,0,2752,
Mark-to-Market Performance Summary,Data,Stocks,Z74,200000,200000,3.0800,3.1100,4426.02,0,0,0,4426.02,
Mark-to-Market Performance Summary,Data,Total,,,,,,404933.142,0,0,0,404933.142,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1211 24JAN25 280 C,-10,-10,1.9200,0.1600,1129.744,0,0,0,1129.744,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1211 27JAN25 300 C,-10,-10,0.0900,0.0100,51.352,0,0,0,51.352,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1810 27JAN25 35 P,-10,-10,0.4800,0.7700,-372.302,0,0,0,-372.302,
Mark-to-Market Performance Summary,Data,Equity and Index Options,2020 27JAN25 85 C,-10,-10,0.3600,0.0300,84.7308,0,0,0,84.7308,
Mark-to-Market Performance Summary,Data,Equity and Index Options,2828 27FEB25 80 C,-50,-50,0.4100,0.3400,449.33,0,0,0,449.33,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27JAN25 370 P,-15,-15,1.8500,0.9600,171.3873,0,0,0,171.3873,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27JAN25 380 P,-15,-15,3.4200,2.7100,136.7247,0,0,0,136.7247,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27FEB25 370 P,-15,-15,6.5000,6.1000,77.028,0,0,0,77.028,
Mark-to-Market Performance Summary,Data,Equity and Index Options,941 27JAN25 75 C,-50,-50,0.5200,0.3200,641.9,0,0,0,641.9,
Mark-to-Market Performance Summary,Data,Equity and Index Options,9618 27JAN25 160 C,-10,-10,0.4600,0.2100,160.475,0,0,0,160.475,
Mark-to-Market Performance Summary,Data,Equity and Index Options,9988 27JAN25 90 C,-20,-20,0.0100,0.0100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Equity and Index Options,AMAT 31JAN25 187.5 P,-10,-10,1.9100,3.0147,-1104.7,0,0,0,-1104.7,
Mark-to-Market Performance Summary,Data,Equity and Index Options,AMZN 31JAN25 242.5 C,-10,-10,1.7700,1.5750,195,0,0,0,195,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ANF 24JAN25 127 P,-5,-5,1.2270,3.3773,-1075.15,0,0,0,-1075.15,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ASML 24JAN25 790 C,-5,-5,1.6750,0.1730,751,0,0,0,751,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CAT 24JAN25 380 P,-4,-4,0.0929,0.0295,25.36,0,0,0,25.36,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CAT 24JAN25 397.5 P,-2,-2,2.6547,0.2290,485.14,0,0,0,485.14,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CCJ 24JAN25 50 P,-10,-10,0.0220,0.0001,21.9,0,0,0,21.9,
Mark-to-Market Performance Summary,Data,Equity and Index Options,DIA 24JAN25 439 C,-10,-10,3.0662,6.5247,-3458.5,0,0,0,-3458.5,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GLD 24JAN25 252.5 C,-50,-50,2.3100,1.7820,2640,0,0,0,2640,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GLD 24JAN25 254 C,-50,-50,1.2296,0.6910,2693,0,0,0,2693,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GLD 27JAN25 250 P,-50,-50,0.1800,0.1200,300,0,0,0,300,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GLD 27JAN25 255 C,-50,-50,0.9950,0.5950,2000,0,0,0,2000,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GOOG 24JAN25 205 C,-10,-10,0.3100,0.0750,235,0,0,0,235,
