Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 28, 2025"
Statement,Data,WhenGenerated,"2025-01-29, 01:36:44 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,66767857.99359684,66741712.753844686,-0.000218643,66741712.75362604,-26145.239970796
Net Asset Value,Data,Options,0,36128.2,-1135,34993.2,34993.2
Net Asset Value,Data,Interest Accruals,-472907.6566949,0,-489435.5811874,-489435.5811874,-16527.9244925
Net Asset Value,Data,Dividend Accruals,11487.87,11495.97,-8.1,11487.87,0
Net Asset Value,Data,Total,66306438.20690194,66789336.92384469,-490578.681406043,66298758.242438644,-7679.964463294
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.011582532%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66306438.20690194
Change in NAV,Data,Mark-to-Market,8878.30183581
Change in NAV,Data,Change in Interest Accruals,-16579.3997011
Change in NAV,Data,Commissions,-30.3418066
Change in NAV,Data,Other FX Translations,51.4752086
Change in NAV,Data,Ending Value,66298758.242438644
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 115 P,0,-20,--,0.2900,0,2732,-14.2328736,0,2717.7671264,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 119 P,0,-10,--,0.5550,0,2180,-7.156433,0,2172.843567,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,0,10,--,36.1282,0,5278.2,-6.9525,0,5271.2475,
Mark-to-Market Performance Summary,Data,Total,,,,,,0,10190.2,-28.3418066,0,10161.8581934,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.000004515,0.000004515,0.69571,0.69436,-0.00000001,0,0,0,-0.00000001,
Mark-to-Market Performance Summary,Data,Forex,CHF,-0.000029287,-0.000029287,1.1086,1.1061,0.00000007,0,0,0,0.00000007,
Mark-to-Market Performance Summary,Data,Forex,EUR,-789.237642087,15.762357913,1.0492,1.0431,4.81434962,0,0,0,4.81434962,
Mark-to-Market Performance Summary,Data,Forex,HKD,24362373.34479098,24362373.34479098,0.1284,0.12837,-730.87120034,0,0,0,-730.87120034,
Mark-to-Market Performance Summary,Data,Forex,JPY,8382294.1343547,8382294.1343547,0.0064719,0.0064295,-355.4092713,0,0,0,-355.4092713,
Mark-to-Market Performance Summary,Data,Forex,MXN,-0.00382842,-0.00382842,0.048375,0.048649,-0.00000105,0,0,0,-0.00000105,
Mark-to-Market Performance Summary,Data,Forex,SEK,0.000335185,0.000335185,0.091445,0.090924,-0.00000017,0,0,0,-0.00000017,
Mark-to-Market Performance Summary,Data,Forex,SGD,65369.41671682,65369.41671682,0.7437,0.74017,-230.75404101,0,0,0,-230.75404101,
Mark-to-Market Performance Summary,Data,Forex,USD,63537692.7198232,63512020.0045166,1.0000,1.0000,0,0.322,-2,0,-1.678,
Mark-to-Market Performance Summary,Data,Total,,,,,,-1312.22016419,0.322,-2,0,-1313.89816419,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,-1312.22016419,10190.522,-30.3418066,0,8847.96002921,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 115 P,0,0,0,0,0,0,2717.767127,0,0,0,2717.767127,2717.767127,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 119 P,0,0,0,0,0,0,2172.843566,0,0,0,2172.843566,2172.843566,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,0,0,0,0,0,0,5271.2475,0,0,0,5271.2475,5271.2475,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,10161.858193,0,0,0,10161.858193,10161.858193,
Realized & Unrealized Performance Summary,Data,Forex,EUR,0,37.476698,-0.019357,0,0,37.457341,0,-0.032856,0,0,-0.032856,37.424485,
Realized & Unrealized Performance Summary,Data,Forex,HKD,0,0,0,0,0,0,0,-730.8712,0,0,-730.8712,-730.8712,
Realized & Unrealized Performance Summary,Data,Forex,JPY,0,0,0,0,0,0,0,-355.40927,0,0,-355.40927,-355.40927,
Realized & Unrealized Performance Summary,Data,Forex,SGD,0,0,0,0,0,0,0,-230.754041,0,0,-230.754041,-230.754041,
Realized & Unrealized Performance Summary,Data,Total,,0,37.476698,-0.019357,0,0,37.457341,0,-1317.067389,0,0,-1317.067389,-1279.610048,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,37.476698,-0.019357,0,0,37.457341,10161.858193,-1317.067389,0,0,8844.790804,8882.248145,
Month & Year to Date Performance Summary,Header,Asset Category,Symbol,Description,Mark-to-Market MTD,Mark-to-Market YTD,Realized S/T MTD,Realized S/T YTD,Realized L/T MTD,Realized L/T YTD
Month & Year to Date Performance Summary,Data,Stocks,1109,CHINA RESOURCES LAND LTD,25307.2613807,25307.2613807,-148806.63878154,-148806.63878154,0,0
Month & Year to Date Performance Summary,Data,Stocks,1211,BYD CO LTD-H,23471.3471514,23471.3471514,-7430.44679365,-7430.44679365,0,0
Month & Year to Date Performance Summary,Data,Stocks,1288,AGRICULTURAL BANK OF CHINA-H,673.71625804,673.71625804,310174.10160029,310174.10160029,0,0
Month & Year to Date Performance Summary,Data,Stocks,1810,XIAOMI CORP-CLASS B,44936.85151396,44936.85151396,114509.49597138,114509.49597138,0,0
Month & Year to Date Performance Summary,Data,Stocks,2020,ANTA SPORTS PRODUCTS LTD,2523.09854408,2523.09854408,-1480.03069392,-1480.03069392,0,0
Month & Year to Date Performance Summary,Data,Stocks,2318,PING AN INSURANCE GROUP CO-H,-31688.6879515,-31688.6879515,82621.16706532,82621.16706532,0,0
Month & Year to Date Performance Summary,Data,Stocks,2359,WUXI APPTEC CO LTD-H,-934.84627906,-934.84627906,-1036.83321642,-1036.83321642,0,0
Month & Year to Date Performance Summary,Data,Stocks,2828,HANGSENG CHINA ENT INDEX-HKD,82795.8861845,82795.8861845,627004.13481224,627004.13481224,0,0
Month & Year to Date Performance Summary,Data,Stocks,3067,ISHARES HANG SENG TECH E-HKD,36901.950222,36901.950222,132066.68304972,132066.68304972,0,0
Month & Year to Date Performance Summary,Data,Stocks,3690,MEITUAN-CLASS B,86.61814,86.61814,-19608.2529,-19608.2529,0,0
Month & Year to Date Performance Summary,Data,Stocks,6178.T,JAPAN POST HOLDINGS CO LTD,6905.25610209,6905.25610209,10845.26172611,10845.26172611,0,0
Month & Year to Date Performance Summary,Data,Stocks,6181,LAOPU GOLD CO L-H,23655.91609296,23655.91609296,23649.0353754,23649.0353754,0,0
Month & Year to Date Performance Summary,Data,Stocks,6501.T,HITACHI LTD,253.66980566,253.66980566,42473.78785616,42473.78785616,0,0
Month & Year to Date Performance Summary,Data,Stocks,688,CHINA OVERSEAS LAND & INVEST,-4936.76230848,-4936.76230848,-92502.63938852,-92502.63938852,0,0
Month & Year to Date Performance Summary,Data,Stocks,700,TENCENT HOLDINGS LTD,-119390.48590956,-119390.48590956,-7865.53591554,-7865.53591554,82417.3006081,82417.3006081
Month & Year to Date Performance Summary,Data,Stocks,883,CNOOC LTD,-31669.31983408,-31669.31983408,-197459.31001914,-197459.31001914,0,0
Month & Year to Date Performance Summary,Data,Stocks,941,CHINA MOBILE LTD,-16380.46444806,-16380.46444806,26325.61277835,26325.61277835,0,0
Month & Year to Date Performance Summary,Data,Stocks,9618,JD.COM INC-CLASS A,34736.96383345,34736.96383345,3217.52005095,3217.52005095,0,0
Month & Year to Date Performance Summary,Data,Stocks,992,LENOVO GROUP LTD,-3824.710814,-3824.710814,-14728.90203,-14728.90203,0,0
Month & Year to Date Performance Summary,Data,Stocks,9961,TRIP.COM GROUP LTD,17289.837894,17289.837894,121944.10683404,121944.10683404,0,0
Month & Year to Date Performance Summary,Data,Stocks,9988,ALIBABA GROUP HOLDING LTD,19490.20702101,19490.20702101,-3601.83634078,-3601.83634078,4210.10227461,4210.10227461
Month & Year to Date Performance Summary,Data,Stocks,9CI,CAPITALAND INVESTMENT LTD/SI,-68427.8383076,-68427.8383076,-181740.63671331,-181740.63671331,0,0
Month & Year to Date Performance Summary,Data,Stocks,AAPL,APPLE INC,-61558.80088917,-61558.80088917,-37146.05103817,-37146.05103817,0,0
Month & Year to Date Performance Summary,Data,Stocks,AMZN,AMAZON.COM INC,19934.69802978,19934.69802978,-2504.25711422,-2504.25711422,0,0
Month & Year to Date Performance Summary,Data,Stocks,ANF,ABERCROMBIE & FITCH CO-CL A,-12956.74299828,-12956.74299828,-10137.34642828,-10137.34642828,0,0
Month & Year to Date Performance Summary,Data,Stocks,ASML,ASML HOLDING NV-NY REG SHS,8893.90414298,8893.90414298,-2122.98114202,-2122.98114202,0,0
Month & Year to Date Performance Summary,Data,Stocks,BILI,BILIBILI INC-SPONSORED ADR,-3047.98060539,-3047.98060539,-4539.30785639,-4539.30785639,0,0
Month & Year to Date Performance Summary,Data,Stocks,BRK B,BERKSHIRE HATHAWAY INC-CL B,9157.62176291,9157.62176291,-38371.73387709,-38371.73387709,0,0
Month & Year to Date Performance Summary,Data,Stocks,BX,BLACKSTONE INC,14450.578955,14450.578955,-15030.345459,-15030.345459,0,0
Month & Year to Date Performance Summary,Data,Stocks,CAT,CATERPILLAR INC,33993.22170874,33993.22170874,33993.22171074,33993.22171074,0,0
Month & Year to Date Performance Summary,Data,Stocks,CCJ,CAMECO CORP,5510.66330527,5510.66330527,-1235.44829273,-1235.44829273,0,0
Month & Year to Date Performance Summary,Data,Stocks,CRM,SALESFORCE INC,-9013.18283445,-9013.18283445,-34215.73340645,-34215.73340645,0,0
Month & Year to Date Performance Summary,Data,Stocks,CTAS,CINTAS CORP,122986.28246187,122986.28246187,-15357.11292913,-15357.11292913,0,0
Month & Year to Date Performance Summary,Data,Stocks,CWB,SPDR BLOOMBERG CONVERTIBLE S,71988.9141834,71988.9141834,0,0,331837.5807144,331837.5807144
Month & Year to Date Performance Summary,Data,Stocks,D05,DBS GROUP HOLDINGS LTD,-6748.23067944,-6748.23067944,212759.18695489,212759.18695489,0,0
Month & Year to Date Performance Summary,Data,Stocks,DBA,INVESCO DB AGRICULTURE FUND,33298.20097772,33298.20097772,100732.77821372,100732.77821372,0,0
Month & Year to Date Performance Summary,Data,Stocks,DIA,SPDR DJIA TRUST,31037.302892,31037.302892,5267.191001,5267.191001,0,0
Month & Year to Date Performance Summary,Data,Stocks,EPI,WISDOMTREE INDIA EARNINGS,-113232.88696573,-113232.88696573,-325635.4826318,-325635.4826318,0,0
