Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 1, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:22:35 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,4433689.230106006,7413856.630485666,-2850.036928351,7411006.593557315,2977317.363451309
Net Asset Value,Data,Stock,62199372.769549996,59127308.5252,0,59127308.5252,-3072064.244349994
Net Asset Value,Data,Options,19843.9,20536.2,0,20536.2,692.3
Net Asset Value,Data,Interest Accruals,7731.3197368,10893.188513,-2908.8223756,7984.3661374,253.0464006
Net Asset Value,Data,Dividend Accruals,630,133018.23,0,133018.23,132388.23
Net Asset Value,Data,Total,66661267.2193928,66705612.77419867,-5758.859303951,66699853.91489472,38586.695501924
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.057884731%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66661267.2193928
Change in NAV,Data,Mark-to-Market,-93335.05089551
Change in NAV,Data,Change in Dividend Accruals,132388.23
Change in NAV,Data,Change in Interest Accruals,253.3940885
Change in NAV,Data,Commissions,-552.363763582
Change in NAV,Data,Transaction Fees,-167.166239868
Change in NAV,Data,Other FX Translations,-0.3476879
Change in NAV,Data,Ending Value,66699853.91489472
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1810,10000,10000,49.2000,46.5000,-3470.04,0,0,0,-3470.04,
Mark-to-Market Performance Summary,Data,Stocks,2097,700,700,421.2000,420.0000,-107.9568,0,0,0,-107.9568,
Mark-to-Market Performance Summary,Data,Stocks,2359,5600,5600,69.2000,69.2000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2828,5400,10400,87.0000,87.3000,208.2024,46.78128,-38.702456251,0,216.281223749,
Mark-to-Market Performance Summary,Data,Stocks,3067,37500,67500,11.2900,11.3200,144.585,-50.50836,-34.558501711,0,59.518138289,
Mark-to-Market Performance Summary,Data,Stocks,700,2400,2400,497.0000,504.0000,2159.136,0,0,0,2159.136,
Mark-to-Market Performance Summary,Data,Stocks,857,4000,104000,6.2900,6.4200,66.8304,-17.9928,-137.970216972,0,-89.132616972,
Mark-to-Market Performance Summary,Data,Stocks,883,2000,32000,18.5200,19.0200,128.52,-87.3936,-126.617749776,0,-85.491349776,
Mark-to-Market Performance Summary,Data,Stocks,9961,1000,1000,494.2000,494.8000,77.112,0,0,0,77.112,
Mark-to-Market Performance Summary,Data,Stocks,AGG,1460,1460,98.9200,98.9600,58.4,0,0,0,58.4,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2190,2190,190.2600,192.1700,4182.9,0,0,0,4182.9,
Mark-to-Market Performance Summary,Data,Stocks,BABA,1850,1850,132.2300,132.7000,869.5,0,0,0,869.5,
Mark-to-Market Performance Summary,Data,Stocks,BSX,1500,1820,100.8800,101.2400,540,237.2,-1.116449,0,776.083551,
Mark-to-Market Performance Summary,Data,Stocks,CNH,4200,4200,12.2800,12.4600,756,0,0,0,756,
Mark-to-Market Performance Summary,Data,Stocks,CQQQ,6800,6800,44.3100,44.4100,680,0,0,0,680,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,740,1980,205.5300,207.8700,1731.6,1754.1,-3.6013957,0,3482.0986043,
Mark-to-Market Performance Summary,Data,Stocks,CVS,2400,2400,67.7500,67.9800,552,0,0,0,552,
Mark-to-Market Performance Summary,Data,Stocks,DAX,6200,7500,39.1000,39.4100,1922,119.5,-2.84994425,0,2038.65005575,
Mark-to-Market Performance Summary,Data,Stocks,FXY,600,600,61.5000,61.6200,72,0,0,0,72,
Mark-to-Market Performance Summary,Data,Stocks,GS,200,200,546.2900,548.4500,432,0,0,0,432,
Mark-to-Market Performance Summary,Data,Stocks,HEFA,1750,1750,36.2900,36.3600,122.5,0,0,0,122.5,
