Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 2, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:22:44 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,7411006.593557315,2303686.612910833,-2849.79258704,2300836.820323793,-5110169.773233522
Net Asset Value,Data,Stock,59127308.5252,64068756.28876,0,64068756.28876,4941447.763559997
Net Asset Value,Data,Options,20536.2,20490.5,0,20490.5,-45.7
Net Asset Value,Data,Interest Accruals,7984.3661374,11800.9694353,-3347.0523447,8453.9170906,469.5509532
Net Asset Value,Data,Dividend Accruals,133018.23,133018.23,0,133018.23,0
Net Asset Value,Data,Total,66699853.91489472,66537752.60110612,-6196.84493174,66531555.756174386,-168298.158720337
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.122952627%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66699853.91489472
Change in NAV,Data,Mark-to-Market,81399.5262645
Change in NAV,Data,Deposits & Withdrawals,-250000
Change in NAV,Data,Change in Interest Accruals,470.58
Change in NAV,Data,Commissions,-167.23593802
Change in NAV,Data,Other FX Translations,-1.0290468
Change in NAV,Data,Ending Value,66531555.756174386
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1810,10000,10000,46.5000,44.5500,-2505.555,0,0,0,-2505.555,
Mark-to-Market Performance Summary,Data,Stocks,2097,700,700,420.0000,411.4000,-773.5098,0,0,0,-773.5098,
Mark-to-Market Performance Summary,Data,Stocks,2359,5600,5600,69.2000,68.5500,-467.7036,0,0,0,-467.7036,
Mark-to-Market Performance Summary,Data,Stocks,2828,10400,10400,87.3000,87.2600,-53.45184,0,0,0,-53.45184,
Mark-to-Market Performance Summary,Data,Stocks,3067,67500,67500,11.3200,11.4000,693.846,0,0,0,693.846,
Mark-to-Market Performance Summary,Data,Stocks,700,2400,2400,504.0000,504.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,104000,104000,6.4200,6.3700,-668.148,0,0,0,-668.148,
Mark-to-Market Performance Summary,Data,Stocks,883,32000,32000,19.0200,18.8400,-740.1024,0,0,0,-740.1024,
Mark-to-Market Performance Summary,Data,Stocks,9961,1000,1000,494.8000,495.2000,51.396,0,0,0,51.396,
Mark-to-Market Performance Summary,Data,Stocks,AGG,1460,1460,98.9600,98.8500,-160.6,0,0,0,-160.6,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2190,3590,192.1700,196.0100,8409.6,-241.4,-4.80483012,0,8163.39516988,
Mark-to-Market Performance Summary,Data,Stocks,BABA,1850,6550,132.7000,129.7900,-5383.5,-1687.43,-15.92289075,0,-7086.85289075,
Mark-to-Market Performance Summary,Data,Stocks,BSX,1820,1820,101.2400,100.0500,-2165.8,0,0,0,-2165.8,
Mark-to-Market Performance Summary,Data,Stocks,CNH,4200,4200,12.4600,12.3400,-504,0,0,0,-504,
Mark-to-Market Performance Summary,Data,Stocks,CQQQ,6800,13700,44.4100,44.5000,612,-280.32,-23.46705025,0,308.21294975,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,1980,1980,207.8700,208.6700,1584,0,0,0,1584,
Mark-to-Market Performance Summary,Data,Stocks,CVS,2400,2400,67.9800,68.0700,216,0,0,0,216,
Mark-to-Market Performance Summary,Data,Stocks,DAX,7500,12600,39.4100,39.3800,-225,-314.91,-20.91353375,0,-560.82353375,
Mark-to-Market Performance Summary,Data,Stocks,FXY,600,600,61.6200,61.4800,-84,0,0,0,-84,
Mark-to-Market Performance Summary,Data,Stocks,GS,200,260,548.4500,563.1000,2930,240.2,-0.27435725,0,3169.92564275,
Mark-to-Market Performance Summary,Data,Stocks,HEFA,1750,1750,36.3600,36.3400,-35,0,0,0,-35,
