Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 12, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:42:13 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-86505750.51099354,43900.815156528,-98199731.21153086,-98155830.39637433,-11650079.88538079
Net Asset Value,Data,Stock,155032921.752,167060151.88646,0,167060151.88646,12027230.134460002
Net Asset Value,Data,Interest Accruals,-80077.112456,91498.0595832,-182918.2353444,-91420.1757612,-11343.0633052
Net Asset Value,Data,Dividend Accruals,67458.307504,112055.146124,0,112055.146124,44596.83862
Net Asset Value,Data,Total,68514552.43605447,167307605.90732372,-98382649.44687526,68924956.46044846,410404.024393991
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.599002708%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,68514552.43605447
Change in NAV,Data,Mark-to-Market,381218.67080353
Change in NAV,Data,Change in Dividend Accruals,44596.83862
Change in NAV,Data,Change in Interest Accruals,-11338.6408024
Change in NAV,Data,Commissions,-2245.602468158
Change in NAV,Data,Transaction Fees,-1822.819256167
Change in NAV,Data,Other FX Translations,-4.4225028
Change in NAV,Data,Ending Value,68924956.46044846
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2274000,2274000,5.5500,5.5500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,50000,60000,54.1000,52.2000,-12103,-637,-107.98044348,0,-12847.98044348,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,534.0000,533.0000,-764.4,0,0,0,-764.4,
Mark-to-Market Performance Summary,Data,Stocks,2359,26200,26200,74.9500,78.4500,11682.58,0,0,0,11682.58,
Mark-to-Market Performance Summary,Data,Stocks,2828,80000,100000,91.5000,90.2800,-12434.24,-968.24,-139.7560164,0,-13542.2360164,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,376000,19.0600,20.0000,29939,-2407.86,-519.9979421,0,27011.1420579,
Mark-to-Market Performance Summary,Data,Stocks,3067,470000,470000,11.4600,11.2200,-14370.72,0,0,0,-14370.72,
Mark-to-Market Performance Summary,Data,Stocks,700,14000,20000,518.0000,510.0000,-14268.8,-764.4,-628.0618708,0,-15661.2618708,
Mark-to-Market Performance Summary,Data,Stocks,857,104000,208000,7.1600,7.2700,1457.456,0,-154.71817816,0,1302.73782184,
Mark-to-Market Performance Summary,Data,Stocks,883,70000,70000,18.8800,18.3200,-4994.08,0,0,0,-4994.08,
Mark-to-Market Performance Summary,Data,Stocks,941,90000,100000,88.3000,87.3500,-10892.7,-191.1,-178.917375,0,-11262.717375,
Mark-to-Market Performance Summary,Data,Stocks,981,149000,0,41.6500,40.8000,-16135.21,-1496.95,-1248.60889335,0,-18880.76889335,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,487.2000,482.0000,-7287.28,0,0,0,-7287.28,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,100,198.7800,199.2000,42,0,0,0,42,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,150,383.4300,380.5800,-427.5,0,0,0,-427.5,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,16000,16000,67.7300,68.1100,6080,0,0,0,6080,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,21700,120.3300,116.6200,-80507,0,0,0,-80507,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,7100,488.1400,490.3400,15620,0,0,0,15620,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,0,7300,--,137.7800,0,2047,-21.999213,0,2025.000787,
Mark-to-Market Performance Summary,Data,Stocks,CEG,0,3500,--,300.3800,0,3388.8,-8.165045,0,3380.634955,
Mark-to-Market Performance Summary,Data,Stocks,CME,2000,4000,269.6500,270.9600,2620,2789.332,-5.110674,0,5404.221326,
