Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 13, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:42:41 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-98155830.39637433,43900.710719358,-110435393.64082928,-110391492.93010992,-12235662.533735588
Net Asset Value,Data,Stock,167060151.88646,178427285.4697,0,178427285.4697,11367133.583240002
Net Asset Value,Data,Interest Accruals,-91420.1757612,102866.8237588,-205650.0636956,-102783.2399368,-11363.0641756
Net Asset Value,Data,Dividend Accruals,112055.146124,92001.496544,0,92001.496544,-20053.64958
Net Asset Value,Data,Total,68924956.46044846,178666054.50072217,-110641043.70452487,68025010.7961973,-899945.664251164
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.30568913%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,68924956.46044846
Change in NAV,Data,Mark-to-Market,-907832.02855518
Change in NAV,Data,Dividends,56496
Change in NAV,Data,Withholding Tax,-16948.8
Change in NAV,Data,Change in Dividend Accruals,-20053.64958
Change in NAV,Data,Change in Interest Accruals,-11365.54617
Change in NAV,Data,Commissions,-244.12194042
Change in NAV,Data,Other FX Translations,2.4819944
Change in NAV,Data,Ending Value,68025010.7961973
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2274000,2274000,5.5500,5.5400,-2897.076,0,0,0,-2897.076,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,52.2000,51.9500,-1911,0,0,0,-1911,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,533.0000,549.5000,12612.6,0,0,0,12612.6,
Mark-to-Market Performance Summary,Data,Stocks,2359,26200,26200,78.4500,79.7000,4172.35,0,0,0,4172.35,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,90.2800,89.3600,-11720.8,0,0,0,-11720.8,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.0000,20.1000,4790.24,0,0,0,4790.24,
Mark-to-Market Performance Summary,Data,Stocks,3067,470000,470000,11.2200,11.0500,-10179.26,0,0,0,-10179.26,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,510.0000,510.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,7.2700,7.4000,3444.896,0,0,0,3444.896,
Mark-to-Market Performance Summary,Data,Stocks,883,70000,70000,18.3200,18.7000,3388.84,0,0,0,3388.84,
Mark-to-Market Performance Summary,Data,Stocks,941,100000,100000,87.3500,87.9000,7007,0,0,0,7007,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,482.0000,468.8000,-18498.48,0,0,0,-18498.48,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,100,199.2000,196.4500,-275,0,0,0,-275,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,150,380.5800,364.4900,-2413.5,0,0,0,-2413.5,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,16000,24400,68.1100,67.1900,-14720,23.561,-22.708537,0,-14719.147537,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,21700,116.6200,112.8700,-81375,0,0,0,-81375,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,7100,490.3400,487.5400,-19880,0,0,0,-19880,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,7300,7300,137.7800,138.0700,2117,0,0,0,2117,
Mark-to-Market Performance Summary,Data,Stocks,CEG,3500,3500,300.3800,296.8900,-12215,0,0,0,-12215,
Mark-to-Market Performance Summary,Data,Stocks,CME,4000,4000,270.9600,269.5000,-5840,0,0,0,-5840,
Mark-to-Market Performance Summary,Data,Stocks,COIN,5000,5000,241.0500,242.7100,8300,0,0,0,8300,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,2200,2200,481.7300,480.6200,-2442,0,0,0,-2442,
