Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 16, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:42:49 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-110391492.93010992,43900.635026673,-119288959.36330181,-119245058.72827514,-8853565.798165217
Net Asset Value,Data,Stock,178427285.4697,187980562.45796,0,187980562.45796,9553276.988260001
Net Asset Value,Data,Interest Accruals,-102783.2399368,141508.288481,-282917.2231403,-141408.9346593,-38625.6947225
Net Asset Value,Data,Dividend Accruals,92001.496544,221168.450185,0,221168.450185,129166.953641
Net Asset Value,Data,Total,68025010.7961973,188387139.83165267,-119571876.58644211,68815263.24521056,790252.449013263
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.161708671%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,68025010.7961973
Change in NAV,Data,Mark-to-Market,700282.78524804
Change in NAV,Data,Change in Dividend Accruals,129169.4906266
Change in NAV,Data,Change in Interest Accruals,-38624.4655867
Change in NAV,Data,Commissions,-571.59515325
Change in NAV,Data,Other FX Translations,-3.7661214
Change in NAV,Data,Ending Value,68815263.24521056
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2274000,2274000,5.5400,5.6000,17381.0916,0,0,0,17381.0916,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,51.9500,54.1500,16815.48,0,0,0,16815.48,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,549.5000,556.0000,4968.21,0,0,0,4968.21,
Mark-to-Market Performance Summary,Data,Stocks,2359,26200,26200,79.7000,79.4000,-1001.2854,0,0,0,-1001.2854,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,89.3600,90.3600,12739,0,0,0,12739,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.1000,19.5400,-26823.2384,0,0,0,-26823.2384,
Mark-to-Market Performance Summary,Data,Stocks,3067,470000,470000,11.0500,11.1700,7184.796,0,0,0,7184.796,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,510.0000,509.5000,-1273.9,0,0,0,-1273.9,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,7.4000,7.3800,-529.9424,0,0,0,-529.9424,
Mark-to-Market Performance Summary,Data,Stocks,883,70000,70000,18.7000,18.6600,-356.692,0,0,0,-356.692,
Mark-to-Market Performance Summary,Data,Stocks,941,100000,100000,87.9000,87.4000,-6369.5,0,0,0,-6369.5,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,468.8000,473.8000,7006.45,0,0,0,7006.45,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,100,196.4500,198.4200,197,0,0,0,197,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,150,364.4900,370.6800,928.5,0,0,0,928.5,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,24400,24400,67.1900,68.0300,20496,0,0,0,20496,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,21700,112.8700,115.9600,67053,0,0,0,67053,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,7100,487.5400,490.2300,19099,0,0,0,19099,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,7300,12000,138.0700,139.6700,11680,-10773.68,-10.563109,0,895.756891,
Mark-to-Market Performance Summary,Data,Stocks,CEG,3500,6000,296.8900,308.0100,38920,4159,-5.618675,0,43073.381325,
Mark-to-Market Performance Summary,Data,Stocks,CME,4000,4100,269.5000,267.5100,-7960,-173,-0.24375725,0,-8133.24375725,
Mark-to-Market Performance Summary,Data,Stocks,COIN,5000,5000,242.7100,261.5700,94300,0,0,0,94300,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,2200,2200,480.6200,479.3900,-2706,0,0,0,-2706,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,14000,14000,221.9800,222.4700,6860,0,0,0,6860,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,44.4500,44.1600,-11325.95,0,0,0,-11325.95,
Mark-to-Market Performance Summary,Data,Stocks,DAX,26700,26700,43.6700,43.9400,7209,0,0,0,7209,
Mark-to-Market Performance Summary,Data,Stocks,DG,12000,12000,111.6800,113.6300,23400,0,0,0,23400,
Mark-to-Market Performance Summary,Data,Stocks,EBND,477988,477988,20.9200,21.0200,47798.8,0,0,0,47798.8,
Mark-to-Market Performance Summary,Data,Stocks,EFA,35600,35600,89.2300,88.0400,-42364,0,0,0,-42364,
Mark-to-Market Performance Summary,Data,Stocks,EWW,65000,65000,61.0600,59.8200,-80600,0,0,0,-80600,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,116800,116800,28.1400,28.3100,19856,0,0,0,19856,
Mark-to-Market Performance Summary,Data,Stocks,EXC,113386,53686,43.2500,42.6800,-64630.02,29253,-72.819151,0,-35449.839151,
Mark-to-Market Performance Summary,Data,Stocks,GEV,2100,3300,478.4500,487.8800,19803,3685,-2.696964,0,23485.303036,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,294500,355000,34.2400,33.7400,-147250,-7462.79,-169.006635,0,-154881.796635,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,50000,50000,59.7400,61.8000,103000,0,0,0,103000,
Mark-to-Market Performance Summary,Data,Stocks,ICE,4500,4500,178.4400,179.8000,6120,0,0,0,6120,
Mark-to-Market Performance Summary,Data,Stocks,JPIB,45092,45092,48.1500,48.2100,2705.52,0,0,0,2705.52,
Mark-to-Market Performance Summary,Data,Stocks,KO,43100,43100,71.0200,70.5200,-21550,0,0,0,-21550,
Mark-to-Market Performance Summary,Data,Stocks,LTBR,71100,109000,12.9000,13.4300,37683,-25471.17,-124.662013,0,12087.167987,
Mark-to-Market Performance Summary,Data,Stocks,MELI,1700,1700,"2,371.9800","2,454.7600",140726,0,0,0,140726,
Mark-to-Market Performance Summary,Data,Stocks,MSTR,7500,8200,382.8700,382.2500,-4650,1440,-1.015529,0,-3211.015529,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,20000,20000,85.5900,86.6800,21800,0,0,0,21800,
Mark-to-Market Performance Summary,Data,Stocks,NOW,100,100,988.6600,"1,005.1300",1647,0,0,0,1647,
Mark-to-Market Performance Summary,Data,Stocks,NST,6200,6200,22.5300,20.6800,-7483.1427,0,0,0,-7483.1427,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,20300,20300,141.9700,144.6900,55216,0,0,0,55216,
Mark-to-Market Performance Summary,Data,Stocks,OKLO,15100,23000,63.6600,65.4500,27029,-25986.83,-41.368113,0,1000.801887,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,8000,8000,137.4000,141.4100,32080,0,0,0,32080,
Mark-to-Market Performance Summary,Data,Stocks,PM,61110,67010,184.3300,183.2900,-63554.4,4378.0124,-7.21432,0,-59183.60192,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,100,100,526.9600,534.2900,733,0,0,0,733,
Mark-to-Market Performance Summary,Data,Stocks,RTX,9000,9000,145.6900,146.4600,6930,0,0,0,6930,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,277300,277300,100.5300,100.5300,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,SHYG,116019,116019,42.5500,42.6300,9281.52,0,0,0,9281.52,
Mark-to-Market Performance Summary,Data,Stocks,SMR,24000,40000,38.8200,42.4900,88080,-29982.1,-32.22872,0,58065.67128,
Mark-to-Market Performance Summary,Data,Stocks,SPLV,1100,1100,72.4300,72.2700,-176,0,0,0,-176,
Mark-to-Market Performance Summary,Data,Stocks,STZ,1350,1350,164.8800,162.8100,-2794.5,0,0,0,-2794.5,
Mark-to-Market Performance Summary,Data,Stocks,TAIL,294655,294655,12.1800,12.0800,-29465.5,0,0,0,-29465.5,
Mark-to-Market Performance Summary,Data,Stocks,TLT,280000,292000,86.3300,85.4600,-243600,-5271.78,-5.13253,0,-248876.91253,
Mark-to-Market Performance Summary,Data,Stocks,TQQQ,155205,155205,72.8300,75.8000,460958.85,0,0,0,460958.85,
Mark-to-Market Performance Summary,Data,Stocks,TSLA,8000,8000,325.3100,329.1300,30560,0,0,0,30560,
Mark-to-Market Performance Summary,Data,Stocks,USMV,100,100,93.0100,92.7300,-28,0,0,0,-28,
Mark-to-Market Performance Summary,Data,Stocks,USO,0,32000,--,78.5900,0,49717.3,-86.68734,0,49630.61266,
Mark-to-Market Performance Summary,Data,Stocks,VST,4000,8000,173.7500,177.2000,13800,-2587.78,-12.338297,0,11199.881703,
Mark-to-Market Performance Summary,Data,Stocks,VTIP,200,200,49.9500,49.9200,-6,0,0,0,-6,
Mark-to-Market Performance Summary,Data,Total,,,,,,715547.1467,-15076.8176,-571.59515325,0,699898.73394675,
Mark-to-Market Performance Summary,Data,Forex,AUD,-134072.527499999,-134072.527499999,0.64895,0.65241,19.42261485,0,0,0,19.42261485,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.000004515,0.000004515,0.73618,0.73687,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Forex,CHF,-0.000029287,-0.000029287,1.2324,1.2285,0.00000011,0,0,0,0.00000011,
Mark-to-Market Performance Summary,Data,Forex,EUR,2.372357913,2.372357913,1.1552,1.1562,0.00237236,0,0,0,0.00237236,
Mark-to-Market Performance Summary,Data,Forex,HKD,-45783956.76309835,-45783956.76309835,0.1274,0.12739,-239.98243237,0,0,0,-239.98243237,
Mark-to-Market Performance Summary,Data,Forex,JPY,-0.0002138,-0.0002138,0.0069395,0.0069073,0.00000001,0,0,0,0.00000001,
Mark-to-Market Performance Summary,Data,Forex,MXN,-0.00382842,-0.00382842,0.052743,0.052852,-0.00000042,0,0,0,-0.00000042,
