Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 17, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:42:58 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-119245058.72827514,43900.39173039,-121323759.84860584,-121279859.45687546,-2034800.728600323
Net Asset Value,Data,Stock,187980562.45796,189130725.1669,0,189130725.1669,1150162.708939999
Net Asset Value,Data,Interest Accruals,-141408.9346593,156047.2645737,-311989.4840518,-155942.2194781,-14533.2848188
Net Asset Value,Data,Dividend Accruals,221168.450185,227676.4078282,0,227676.4078282,6507.9576432
Net Asset Value,Data,Total,68815263.24521056,189558349.2310323,-121635749.33265764,67922599.89837468,-892663.346835881
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.297188014%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,68815263.24521056
Change in NAV,Data,Mark-to-Market,-882552.5578671
Change in NAV,Data,Change in Dividend Accruals,6507.9576432
Change in NAV,Data,Change in Interest Accruals,-14541.2253718
Change in NAV,Data,Commissions,-1744.600500775
Change in NAV,Data,Transaction Fees,-340.861292471
Change in NAV,Data,Other FX Translations,7.940553
Change in NAV,Data,Ending Value,67922599.89837468
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2274000,2274000,5.6000,5.6200,5793.6972,0,0,0,5793.6972,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,54.1500,54.0000,-1146.51,0,0,0,-1146.51,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,556.0000,523.5000,-24841.05,0,0,0,-24841.05,
Mark-to-Market Performance Summary,Data,Stocks,2359,26200,32700,79.4000,76.5000,-9679.0922,-1159.249,-106.257241052,0,-10944.598441053,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,90.3600,89.9800,-4840.82,0,0,0,-4840.82,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.5400,19.7000,7663.7824,0,0,0,7663.7824,
Mark-to-Market Performance Summary,Data,Stocks,3067,470000,570000,11.1700,11.1400,-1796.199,127.39,-85.77996735,0,-1754.58896735,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,509.5000,513.5000,10191.2,0,0,0,10191.2,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,7.3800,7.0500,-8744.0496,0,0,0,-8744.0496,
Mark-to-Market Performance Summary,Data,Stocks,883,70000,87000,18.6600,18.2800,-3388.574,173.2504,-63.33665193,0,-3278.66025193,
Mark-to-Market Performance Summary,Data,Stocks,941,100000,120000,87.4000,87.0500,-4458.65,-636.95,-357.54691429,0,-5453.14691429,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,473.8000,480.0000,8687.998,0,0,0,8687.998,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,100,198.4200,195.6400,-278,0,0,0,-278,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,150,370.6800,360.4500,-1534.5,0,0,0,-1534.5,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,24400,24400,68.0300,67.0400,-24156,0,0,0,-24156,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,21700,115.9600,115.0300,-20181,0,0,0,-20181,
Mark-to-Market Performance Summary,Data,Stocks,BN4,0,130000,--,7.4200,0,0,-701.923832064,0,-701.923832064,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,7100,490.2300,483.4800,-47925,0,0,0,-47925,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,12000,12000,139.6700,141.1200,17400,0,0,0,17400,
Mark-to-Market Performance Summary,Data,Stocks,CEG,6000,6000,308.0100,305.7000,-13860,0,0,0,-13860,
Mark-to-Market Performance Summary,Data,Stocks,CME,4100,4100,267.5100,269.7000,8979,0,0,0,8979,
