Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 19, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:43:18 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-125275208.64897853,43860.413678891,-128358095.2273246,-128314234.81364572,-3039026.164667189
Net Asset Value,Data,Stock,193054174.84266,195829335.09307,0,195829335.09307,2775160.250409991
Net Asset Value,Data,Interest Accruals,-171672.338875,171781.0623778,-343451.38966,-171670.3272822,2.0115928
Net Asset Value,Data,Dividend Accruals,251655.6486203,251653.3559827,0,251653.3559827,-2.2926376
Net Asset Value,Data,Total,67858949.50342679,196296629.9251094,-128701546.6169846,67595083.30812478,-263866.19530201
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.388845093%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,67858949.50342679
Change in NAV,Data,Mark-to-Market,-258887.6366014
Change in NAV,Data,Change in Dividend Accruals,-2.2826376
Change in NAV,Data,Other Fees,-40
Change in NAV,Data,Commissions,-1798.549511107
Change in NAV,Data,Transaction Fees,-3139.728144675
Change in NAV,Data,Other FX Translations,2.0015928
Change in NAV,Data,Ending Value,67595083.30812478
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2274000,2774000,5.5800,5.4800,-28968.486,-3184.75,-570.816984702,0,-32724.052984702,
Mark-to-Market Performance Summary,Data,Stocks,1398,0,2000000,--,6.0300,0,-5095.6,-2471.97326813,0,-7567.57326813,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,53.8000,53.0500,-5732.55,0,0,0,-5732.55,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,512.0000,493.8000,-13910.988,0,0,0,-13910.988,
Mark-to-Market Performance Summary,Data,Stocks,2359,32700,32700,74.9000,73.1500,-7289.89275,0,0,0,-7289.89275,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,88.9400,87.0600,-23949.32,0,0,0,-23949.32,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.7600,19.0000,-36402.9664,0,0,0,-36402.9664,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,10.9700,10.7200,-18153.075,0,0,0,-18153.075,
Mark-to-Market Performance Summary,Data,Stocks,3988,0,2000000,--,4.4700,0,-5095.6,-1895.48740295,0,-6991.08740295,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,508.0000,498.0000,-25478,0,0,0,-25478,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.9500,6.8000,-3974.568,0,0,0,-3974.568,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.1400,18.0200,-1329.9516,0,0,0,-1329.9516,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,86.7500,85.8000,-14522.46,0,0,0,-14522.46,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,463.2000,444.6000,-26063.994,0,0,0,-26063.994,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,100,196.5800,196.5800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,150,344.3700,344.3700,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,24400,24400,67.0200,67.0200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,21700,113.4900,113.4900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BN4,130000,130000,7.4300,7.3100,-12123.072,0,0,0,-12123.072,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,7100,485.1400,485.1400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,12000,12000,140.5300,140.5300,0,0,0,0,0,
