Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 20, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:43:31 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-128314234.81364572,43860.447292396,-134335882.96816927,-134292022.52087688,-5977787.707231164
Net Asset Value,Data,Stock,195829335.09307,201713541.09055,0,201713541.09055,5884205.997480005
Net Asset Value,Data,Interest Accruals,-171670.3272822,203384.0402678,-406645.9641661,-203261.9238983,-31591.5966161
Net Asset Value,Data,Dividend Accruals,251653.3559827,99655.3959827,0,99655.3959827,-151997.96
Net Asset Value,Data,Total,67595083.30812478,202060440.9740929,-134742528.93233538,67317912.04175752,-277171.266367257
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.41004649%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,67595083.30812478
Change in NAV,Data,Mark-to-Market,-245540.23207563
Change in NAV,Data,Dividends,217139.96
Change in NAV,Data,Withholding Tax,-65142
Change in NAV,Data,Change in Dividend Accruals,-151997.96
Change in NAV,Data,Change in Interest Accruals,-31592.7732921
Change in NAV,Data,Commissions,-39.4376755
Change in NAV,Data,Other FX Translations,1.176676
Change in NAV,Data,Ending Value,67317912.04175752
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2774000,2774000,5.4800,5.5600,28270.3888,0,0,0,28270.3888,
Mark-to-Market Performance Summary,Data,Stocks,1398,2000000,2000000,6.0300,6.2000,43312.6,0,0,0,43312.6,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,53.0500,54.0500,7643.4,0,0,0,7643.4,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,493.8000,514.0000,15439.668,0,0,0,15439.668,
Mark-to-Market Performance Summary,Data,Stocks,2359,32700,32700,73.1500,73.7500,2499.3918,0,0,0,2499.3918,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,87.0600,88.2200,14777.24,0,0,0,14777.24,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.0000,19.1800,8621.7552,0,0,0,8621.7552,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,10.7200,10.7600,2904.492,0,0,0,2904.492,
Mark-to-Market Performance Summary,Data,Stocks,3988,2000000,2000000,4.4700,4.5400,17834.6,0,0,0,17834.6,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,498.0000,505.5000,19108.5,0,0,0,19108.5,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.8000,6.7100,-2384.7408,0,0,0,-2384.7408,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.0200,17.9000,-1329.9516,0,0,0,-1329.9516,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,85.8000,86.4000,9172.08,0,0,0,9172.08,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,444.6000,446.4000,2522.322,0,0,0,2522.322,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,100,196.5800,201.0000,442,0,0,0,442,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,150,344.3700,324.7000,-2950.5,0,0,0,-2950.5,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,24400,24400,67.0200,66.4300,-14396,0,0,0,-14396,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,21700,113.4900,113.0100,-10416,0,0,0,-10416,
Mark-to-Market Performance Summary,Data,Stocks,BN4,130000,130000,7.3100,7.4100,10097.1,0,0,0,10097.1,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,7100,485.1400,484.8500,-2059,0,0,0,-2059,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,12000,12000,140.5300,142.3200,21480,0,0,0,21480,
Mark-to-Market Performance Summary,Data,Stocks,CEG,6000,6000,306.4300,304.9200,-9060,0,0,0,-9060,
