Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 23, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:43:40 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-134292022.52087688,7018638.327872431,-97315424.36340925,-90296786.03553683,43995236.48534006
Net Asset Value,Data,Stock,201713541.09055,159059488.97063,0,159059488.97063,-42654052.119920015
Net Asset Value,Data,Interest Accruals,-203261.9238983,252574.8374465,-505011.8085235,-252436.971077,-49175.0471787
Net Asset Value,Data,Dividend Accruals,99655.3959827,99794.7159827,0,99794.7159827,139.32
Net Asset Value,Data,Total,67317912.04175752,166430496.85193163,-97820436.17193276,68610060.67999887,1292148.638241351
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.919472246%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,67317912.04175752
Change in NAV,Data,Mark-to-Market,1346035.82547127
Change in NAV,Data,Change in Dividend Accruals,139.32
Change in NAV,Data,Change in Interest Accruals,-49169.2093596
Change in NAV,Data,Commissions,-2539.576589219
Change in NAV,Data,Transaction Fees,-2311.883462
Change in NAV,Data,Other FX Translations,-5.8378191
Change in NAV,Data,Ending Value,68610060.67999887
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2774000,2774000,5.5600,5.6600,35337.986,0,0,0,35337.986,
Mark-to-Market Performance Summary,Data,Stocks,1398,2000000,2000000,6.2000,6.2800,20382.4,0,0,0,20382.4,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,54.0500,54.8500,6114.72,0,0,0,6114.72,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,6000,514.0000,531.5000,13375.95,0,0,0,13375.95,
Mark-to-Market Performance Summary,Data,Stocks,2359,32700,32700,73.7500,74.3500,2499.3918,0,0,0,2499.3918,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,88.2200,88.9800,9681.64,0,0,0,9681.64,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.1800,19.2600,3831.8912,0,0,0,3831.8912,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,10.7600,10.8900,9439.599,0,0,0,9439.599,
Mark-to-Market Performance Summary,Data,Stocks,3988,2000000,2000000,4.5400,4.6100,17834.6,0,0,0,17834.6,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,505.5000,504.0000,-3821.7,0,0,0,-3821.7,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.7100,6.7100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,17.9000,18.1000,2216.586,0,0,0,2216.586,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,86.4000,86.1000,-4586.04,0,0,0,-4586.04,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,446.4000,445.6000,-1121.032,0,0,0,-1121.032,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,100,75,201.0000,201.5000,50,-2.7275,-0.36055725,0,46.91194275,
Mark-to-Market Performance Summary,Data,Stocks,APP,150,113,324.7000,335.4000,1605,-386.28,-0.36550125,0,1218.35449875,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,24400,18300,66.4300,66.9600,12932,-2338.74,-32.298367,0,10560.961633,
Mark-to-Market Performance Summary,Data,Stocks,BABA,21700,16275,113.0100,113.0900,1736,-3909.97,-14.07645575,0,-2188.04645575,
Mark-to-Market Performance Summary,Data,Stocks,BN4,130000,130000,7.4100,7.3200,-9109.971,0,0,0,-9109.971,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,7100,5325,484.8500,487.7700,20732,-1565.84,-8.22298425,0,19157.93701575,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,12000,9000,142.3200,142.0600,-3120,1771.92,-7.24041,0,-1355.32041,
