Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 26, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:44:21 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-101961711.23173752,7018638.706550089,-111497455.51367848,-104478816.80712838,-2517105.57539086
Net Asset Value,Data,Stock,172371849.42055,176242135.34946,0,176242135.34946,3870285.928910017
Net Asset Value,Data,Interest Accruals,-281082.4506129,295468.6519467,-588910.84625,-293442.1943033,-12359.7436904
Net Asset Value,Data,Dividend Accruals,115027.6754683,105773.7354683,0,105773.7354683,-9253.94
Net Asset Value,Data,Total,70244083.41366786,183662016.4434251,-112086366.35992847,71575650.08349662,1331566.669828758
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.895628223%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,70244083.41366786
Change in NAV,Data,Mark-to-Market,1348811.8911389
Change in NAV,Data,Dividends,13219.92
Change in NAV,Data,Withholding Tax,-3965.98
Change in NAV,Data,Change in Dividend Accruals,-9253.94
Change in NAV,Data,Change in Interest Accruals,-12348.5649457
Change in NAV,Data,Commissions,-1468.661852063
Change in NAV,Data,Transaction Fees,-3416.815767684
Change in NAV,Data,Other FX Translations,-11.1787447
Change in NAV,Data,Ending Value,71575650.08349662
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,2774000,3052000,5.7800,5.7900,3533.7986,708.2884,-333.775468947,0,3908.311531053,
Mark-to-Market Performance Summary,Data,Stocks,1398,2000000,2210000,6.4500,6.4500,0,535.038,-276.172793785,0,258.865206215,
Mark-to-Market Performance Summary,Data,Stocks,1810,70000,70000,56.6500,56.9000,2229.325,0,0,0,2229.325,
Mark-to-Market Performance Summary,Data,Stocks,2097,6000,0,526.0000,512.0000,-10700.76,-764.34,-629.39984948,0,-12094.49984948,
Mark-to-Market Performance Summary,Data,Stocks,2359,32700,36000,78.7500,77.4000,-5623.63155,210.1935,-52.317193997,0,-5465.755243997,
Mark-to-Market Performance Summary,Data,Stocks,2800,0,121000,--,24.7600,0,-308.2838,-231.087995061,0,-539.371795061,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,100000,91.7200,91.1400,-7388.62,0,0,0,-7388.62,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,19.4600,19.6800,10537.7008,0,0,0,10537.7008,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,11.2700,11.2300,-2904.492,0,0,0,-2904.492,
Mark-to-Market Performance Summary,Data,Stocks,3988,2000000,2200000,4.7600,4.7400,-5095.6,254.78,-193.4200587,0,-5034.2400587,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,512.5000,513.0000,1273.9,0,0,0,1273.9,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.6900,6.7800,2384.7408,0,0,0,2384.7408,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,17.9600,17.9000,-664.9758,0,0,0,-664.9758,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,87.4000,86.9000,-7643.4,0,0,0,-7643.4,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,459.0000,464.0000,7006.45,0,0,0,7006.45,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,75,75,201.5600,201.0000,-42,0,0,0,-42,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,338.8000,347.4500,977.45,0,0,0,977.45,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,4900,6200,234.9400,272.3700,183407,10441,-0.937411,0,193847.062589,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,67.9500,68.3600,7503,0,0,9253.94,16756.94,
Mark-to-Market Performance Summary,Data,Stocks,BABA,16275,18775,114.5500,113.9300,-10090.5,333.07,-4.36458525,0,-9761.79458525,
Mark-to-Market Performance Summary,Data,Stocks,BN4,130000,143000,7.4000,7.3800,-2040.064,102.0032,-70.365071462,0,-2008.425871462,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,5125,5125,486.2100,485.0500,-5945,0,0,0,-5945,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,10800,10800,140.8600,141.8700,10908,0,0,0,10908,
Mark-to-Market Performance Summary,Data,Stocks,CEG,5000,5000,315.1400,322.5100,36850,0,0,0,36850,
Mark-to-Market Performance Summary,Data,Stocks,CME,4175,4275,273.0300,272.8300,-835,22,-0.24375725,0,-813.24375725,
Mark-to-Market Performance Summary,Data,Stocks,COIN,5250,5250,355.3700,375.0700,103425,0,0,0,103425,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,3600,3600,494.0900,505.2200,40068,0,0,0,40068,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,11250,11250,68.1900,68.9500,8550,0,0,0,8550,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10500,10500,219.2400,220.4400,12600,0,0,0,12600,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,44.6000,44.4200,-7061.76,0,0,0,-7061.76,
Mark-to-Market Performance Summary,Data,Stocks,DAX,20025,20025,44.2000,44.8400,12816,0,0,0,12816,
Mark-to-Market Performance Summary,Data,Stocks,DG,9000,9000,112.7700,112.6300,-1260,0,0,0,-1260,
Mark-to-Market Performance Summary,Data,Stocks,EBND,358491,358491,21.1900,21.2900,35849.1,0,0,0,35849.1,
Mark-to-Market Performance Summary,Data,Stocks,EFA,26800,26800,87.5600,88.5400,26264,0,0,0,26264,
Mark-to-Market Performance Summary,Data,Stocks,EWW,48750,48750,59.6800,60.3100,30712.5,0,0,0,30712.5,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,87600,87600,27.5700,28.1300,49056,0,0,0,49056,
Mark-to-Market Performance Summary,Data,Stocks,EXC,40265,0,42.2900,42.5100,8858.3,-4429.15,-44.39095455,0,4384.75904545,
Mark-to-Market Performance Summary,Data,Stocks,GE,1400,1400,249.9000,251.0000,1540,0,0,0,1540,
Mark-to-Market Performance Summary,Data,Stocks,GEV,2475,2475,502.6700,506.8100,10246.5,0,0,0,10246.5,
Mark-to-Market Performance Summary,Data,Stocks,HO,3080,5181,242.4000,249.6000,25948.1376,-551.81916,-2686.09847204,0,22710.21996796,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,289859,297859,33.2500,33.2100,-11594.36,28.53,-11.47157025,0,-11577.30157025,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,41600,41600,61.2750,61.1400,-5616,0,0,0,-5616,
Mark-to-Market Performance Summary,Data,Stocks,ICE,4500,4500,180.5300,180.8000,1215,0,0,0,1215,
Mark-to-Market Performance Summary,Data,Stocks,IOT,13000,13000,38.6500,39.7200,13910,0,0,0,13910,
Mark-to-Market Performance Summary,Data,Stocks,JPIB,33819,33819,48.5000,48.5800,2705.52,0,0,0,2705.52,
Mark-to-Market Performance Summary,Data,Stocks,KO,32325,32325,69.6300,69.4700,-5172,0,0,0,-5172,
Mark-to-Market Performance Summary,Data,Stocks,LTBR,81750,81750,13.8100,13.5600,-20437.5,0,0,0,-20437.5,
Mark-to-Market Performance Summary,Data,Stocks,MELI,1275,1295,"2,540.5000","2,560.2000",25117.5,132.2,-0.32895725,0,25249.37104275,
Mark-to-Market Performance Summary,Data,Stocks,MSTR,6150,7100,388.6700,386.4400,-13714.5,33,-0.8896465,0,-13682.3896465,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,17017,17017,88.0500,88.3900,5785.78,0,0,0,5785.78,
Mark-to-Market Performance Summary,Data,Stocks,NOC,2100,2100,486.9200,493.6600,14154,0,0,0,14154,
Mark-to-Market Performance Summary,Data,Stocks,NOW,75,75,"1,005.1600","1,011.4400",471,0,0,0,471,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,15225,15225,154.3100,155.0200,10809.75,0,0,0,10809.75,
Mark-to-Market Performance Summary,Data,Stocks,NVO,12000,14525,67.3500,67.7000,4200,774.75,-2.98038675,0,4971.76961325,
Mark-to-Market Performance Summary,Data,Stocks,OKLO,15750,15750,55.5700,55.8500,4410,0,0,0,4410,
Mark-to-Market Performance Summary,Data,Stocks,PANW,8125,9425,204.3000,202.3400,-15925,-334.71,-1.068511,0,-16260.778511,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,11750,11750,142.9000,144.2500,15862.5,0,0,0,15862.5,
Mark-to-Market Performance Summary,Data,Stocks,PM,52258,52258,179.6000,180.6600,55393.48,0,0,0,55393.48,
