Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 30, 2025"
Statement,Data,WhenGenerated,"2025-08-12, 01:44:40 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-113092223.96595125,7018638.9104571,-126792860.43373352,-119774221.52327642,-6681997.557325169
Net Asset Value,Data,Stock,184436215.5934,192512025.62528,0,192512025.62528,8075810.031879991
Net Asset Value,Data,Interest Accruals,-306339.1769484,351063.5761216,-696336.1167351,-345272.5406135,-38933.3636651
Net Asset Value,Data,Dividend Accruals,179851.2254683,173235.7394683,0,173235.7394683,-6615.486
Net Asset Value,Data,Total,71217503.67596868,200054963.851327,-127489196.55046862,72565767.30085838,1348263.624889702
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.893163275%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71217503.67596868
Change in NAV,Data,Mark-to-Market,1391352.01857667
Change in NAV,Data,Dividends,8937.476
Change in NAV,Data,Withholding Tax,-2322
Change in NAV,Data,Change in Dividend Accruals,-6615.476
Change in NAV,Data,Change in Interest Accruals,-38916.41231
Change in NAV,Data,Commissions,-1638.259589018
Change in NAV,Data,Transaction Fees,-2516.760432858
Change in NAV,Data,Other FX Translations,-16.9613551
Change in NAV,Data,Ending Value,72565767.30085838
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,5110000,6132000,5.7300,5.6000,-84625.177,-2603.8516,-1190.620351849,0,-88419.648951849,
Mark-to-Market Performance Summary,Data,Stocks,1398,3210000,3852000,6.3200,6.2200,-40892.19,-1635.6876,-835.527081062,0,-43363.404681062,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,58.9500,59.9500,12739,0,0,0,12739,
Mark-to-Market Performance Summary,Data,Stocks,2359,72000,72000,76.0500,78.6500,23847.408,0,0,0,23847.408,
Mark-to-Market Performance Summary,Data,Stocks,2800,121000,121000,24.7000,24.5200,-2774.5542,0,0,0,-2774.5542,
Mark-to-Market Performance Summary,Data,Stocks,2828,100000,120000,89.5400,88.4200,-14267.68,-1630.592,-142.270731636,0,-16040.542731636,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.5000,20.0500,-21554.388,0,0,0,-21554.388,
Mark-to-Market Performance Summary,Data,Stocks,3067,570000,570000,11.2300,11.1700,-4356.738,0,0,1197.466,-3159.272,
Mark-to-Market Performance Summary,Data,Stocks,388,0,15300,--,418.8000,0,-2476.4616,-1333.362997192,0,-3809.824597192,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,40.5000,40.9000,7643.4,0,0,0,7643.4,
Mark-to-Market Performance Summary,Data,Stocks,3988,3200000,3840000,4.6700,4.5600,-44841.28,-1630.592,-607.632771136,0,-47079.504771136,
Mark-to-Market Performance Summary,Data,Stocks,700,20000,20000,513.0000,503.0000,-25478,0,0,0,-25478,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.8100,6.7500,-1589.8272,0,0,0,-1589.8272,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,17.9200,17.7200,-2216.586,0,0,0,-2216.586,
Mark-to-Market Performance Summary,Data,Stocks,941,120000,120000,86.3500,87.1000,11465.1,0,0,0,11465.1,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,459.2000,456.0000,-4484.128,0,0,0,-4484.128,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,201.0800,205.1700,5644.2,0,0,0,5644.2,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,333.7800,350.0800,1841.9,0,0,0,1841.9,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,278.0700,284.9500,42656,0,0,0,42656,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,68.2500,68.5400,5307,0,0,0,5307,
Mark-to-Market Performance Summary,Data,Stocks,BABA,18775,18775,114.0800,113.4100,-12579.25,0,0,0,-12579.25,
Mark-to-Market Performance Summary,Data,Stocks,BN4,143000,143000,7.4400,7.4200,-2249.3042,0,0,0,-2249.3042,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,10800,10800,143.1900,144.0600,9396,0,0,0,9396,
Mark-to-Market Performance Summary,Data,Stocks,CEG,5000,5000,320.1700,322.7600,12950,0,0,0,12950,
Mark-to-Market Performance Summary,Data,Stocks,CME,5075,5075,274.7600,275.6200,4364.5,0,0,0,4364.5,
