Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 4, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:14:52 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-155567366.72863504,7025376.720566379,-163241986.05730173,-156216609.33673534,-649242.608100295
Net Asset Value,Data,Stock,226412819.84362,227128958.70546,0,227128958.70546,716138.86184001
Net Asset Value,Data,Interest Accruals,-29263.7049028,31147.8377533,-60412.7376601,-29264.8999068,-1.195004
Net Asset Value,Data,Dividend Accruals,376649.5720656,376649.5720656,0,376649.5720656,0
Net Asset Value,Data,Total,71192838.98214775,234562132.8358453,-163302398.79496184,71259734.04088345,66895.058735698
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.093963185%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71192838.98214775
Change in NAV,Data,Mark-to-Market,67525.33423184
Change in NAV,Data,Commissions,-383.55233526
Change in NAV,Data,Transaction Fees,-245.528156917
Change in NAV,Data,Other FX Translations,-1.195004
Change in NAV,Data,Ending Value,71259734.04088345
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,7359000,7359000,5.6500,5.6900,37498.5204,0,0,0,37498.5204,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.0900,6.1300,19628.2512,0,0,0,19628.2512,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,58.1000,57.5000,-7643.4,0,0,0,-7643.4,
Mark-to-Market Performance Summary,Data,Stocks,2359,72000,72000,79.0000,79.9000,8254.872,0,0,0,8254.872,
Mark-to-Market Performance Summary,Data,Stocks,2800,145500,175000,24.5400,24.4000,-2594.9343,225.4803,-57.351590746,0,-2426.805590746,
Mark-to-Market Performance Summary,Data,Stocks,2828,144000,172800,88.4600,88.1200,-6237.0144,660.38976,-202.293452972,0,-5778.918092972,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,21.2500,21.0500,-9579.728,0,0,0,-9579.728,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.0100,11.0100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,388,18400,22100,417.2000,413.8000,-7969.5184,0,-317.834816842,0,-8287.353216842,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,34.1000,34.5000,7643.4,0,0,0,7643.4,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6100,4.5800,-14675.328,0,0,0,-14675.328,
Mark-to-Market Performance Summary,Data,Stocks,700,24000,24500,501.0000,496.8000,-12840.912,-63.695,-51.600631617,0,-12956.207631617,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.8300,6.8100,-529.9424,0,0,0,-529.9424,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.2400,18.2200,-221.6586,0,0,0,-221.6586,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,86.3500,85.9000,-8254.872,0,0,0,-8254.872,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,458.4000,466.0000,10649.804,0,0,0,10649.804,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,213.5500,213.5500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AMD,18600,18600,137.9100,137.9100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,8700,8700,298.2400,298.2400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,341.6400,341.6400,0,0,0,0,0,
