Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 9, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:15:19 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-166247418.8499727,7075918.247894027,-165902046.26917067,-158826128.02127665,7421290.828696042
Net Asset Value,Data,Stock,235696080.55152,229306321.26347998,0,229306321.26347998,-6389759.288040012
Net Asset Value,Data,Interest Accruals,-117913.0979057,144761.1879556,-281972.7990157,-137211.6110601,-19298.5131544
Net Asset Value,Data,Dividend Accruals,230189.9433395,359228.2809577,0,359228.2809577,129038.3376182
Net Asset Value,Data,Total,69560938.5469811,236886228.98028728,-166184019.06818637,70702209.91210091,1141271.365119815
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.640678503%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,69560938.5469811
Change in NAV,Data,Mark-to-Market,1031667.68654832
Change in NAV,Data,Change in Dividend Accruals,129038.3476182
Change in NAV,Data,Change in Interest Accruals,-19299.9012261
Change in NAV,Data,Commissions,-136.14589225
Change in NAV,Data,Other FX Translations,1.3780717
Change in NAV,Data,Ending Value,70702209.91210091
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.6600,5.4500,-197027.7435,0,0,0,-197027.7435,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1500,6.1000,-24535.314,0,0,0,-24535.314,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,58.6500,57.4000,-15923.75,0,0,0,-15923.75,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,79.7000,78.7500,-12344.091,0,0,0,-12344.091,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,24.6400,24.3800,-5796.245,0,0,0,-5796.245,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,89.1600,88.0000,-25535.07072,0,0,0,-25535.07072,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.7000,20.0000,-33529.048,0,0,0,-33529.048,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.2300,11.0300,-17426.952,0,0,0,-17426.952,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,417.4000,411.6000,-19579.843,0,0,0,-19579.843,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,34.2000,33.9500,-4777.125,0,0,0,-4777.125,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6800,4.6500,-14675.328,0,0,0,-14675.328,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,504.5000,497.6000,-21535.2795,0,0,0,-21535.2795,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.8500,6.9100,1589.8272,0,0,0,1589.8272,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.2000,18.1600,-443.3172,0,0,0,-443.3172,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,86.0000,86.0500,917.208,0,0,0,917.208,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,478.0000,478.6000,840.774,0,0,0,840.774,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,210.0100,211.1400,1559.4,0,0,0,1559.4,
Mark-to-Market Performance Summary,Data,Stocks,AMD,23100,23100,137.8200,138.4100,13629,0,0,0,13629,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,8700,0,297.0000,296.5200,-4176,957,-5.12519175,0,-3224.12519175,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,344.7500,352.7400,902.87,0,0,0,902.87,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,237.0700,236.7700,-1860,0,0,0,-1860,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,68.7900,68.8300,732,0,0,0,732,
Mark-to-Market Performance Summary,Data,Stocks,BABA,22375,22375,107.9900,103.8300,-93080,0,0,0,-93080,
Mark-to-Market Performance Summary,Data,Stocks,BN4,143000,143000,7.7000,7.7700,7818.6108,0,0,0,7818.6108,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,10800,10800,137.3700,137.5600,2052,0,0,0,2052,
Mark-to-Market Performance Summary,Data,Stocks,CEG,8200,8200,312.8400,317.1100,35014,0,0,0,35014,
Mark-to-Market Performance Summary,Data,Stocks,CME,9175,9175,275.6300,275.6400,91.75,0,0,0,91.75,
Mark-to-Market Performance Summary,Data,Stocks,COIN,1000,1000,354.8200,373.8500,19030,0,0,0,19030,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,3600,3600,507.7100,513.5100,20880,0,0,0,20880,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,36250,36250,68.5900,69.2700,24650,0,0,0,24650,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,11000,11000,215.2900,216.6400,14850,0,0,0,14850,
Mark-to-Market Performance Summary,Data,Stocks,CVX,17200,17200,153.2400,153.0200,-3784,0,0,0,-3784,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,45.7300,45.6500,-3124.32,0,0,0,-3124.32,
Mark-to-Market Performance Summary,Data,Stocks,DAX,20025,20025,45.3300,45.9800,13016.25,0,0,0,13016.25,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,232,232,145.9400,142.7500,-740.08,0,0,0,-740.08,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,0,20,--,22.5700,0,22.4,-0.32869725,0,22.07130275,
Mark-to-Market Performance Summary,Data,Stocks,DG,13640,13640,112.6900,112.3500,-4637.6,0,0,0,-4637.6,
Mark-to-Market Performance Summary,Data,Stocks,EBND,358491,358491,21.2600,21.2800,7169.82,0,0,0,7169.82,
Mark-to-Market Performance Summary,Data,Stocks,EFA,28000,28000,89.2000,89.8700,18760,0,0,0,18760,
Mark-to-Market Performance Summary,Data,Stocks,EMR,26200,26200,138.7300,139.8000,28034,0,0,0,28034,
Mark-to-Market Performance Summary,Data,Stocks,ETN,3549,3549,356.9800,359.7800,9937.2,0,0,0,9937.2,
Mark-to-Market Performance Summary,Data,Stocks,EWW,48750,48750,60.8900,60.2800,-29737.5,0,0,0,-29737.5,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,123000,123000,28.7100,28.1600,-67650,0,0,0,-67650,
Mark-to-Market Performance Summary,Data,Stocks,GE,4800,4800,247.0500,250.3300,15744,0,0,0,15744,
Mark-to-Market Performance Summary,Data,Stocks,GEV,4475,4475,530.0000,535.7700,25820.75,0,0,0,25820.75,
Mark-to-Market Performance Summary,Data,Stocks,GS,3600,3600,697.2800,696.5600,-2592,0,0,0,-2592,
Mark-to-Market Performance Summary,Data,Stocks,HD,6800,6800,367.5000,371.0400,24072,0,0,0,24072,
Mark-to-Market Performance Summary,Data,Stocks,HO,5181,5181,246.2000,247.9000,10324.38594,0,0,0,10324.38594,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,271159,271159,32.9300,33.0700,37962.26,0,0,0,37962.26,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,41600,41600,61.8200,63.5800,73216,0,0,0,73216,
Mark-to-Market Performance Summary,Data,Stocks,IBM,8700,8700,290.4200,290.1400,-2436,0,0,0,-2436,
Mark-to-Market Performance Summary,Data,Stocks,ICE,8936,8936,180.9800,182.1600,10544.48,0,0,0,10544.48,
Mark-to-Market Performance Summary,Data,Stocks,IOT,13000,13000,38.5800,39.2800,9100,0,0,0,9100,
Mark-to-Market Performance Summary,Data,Stocks,JNJ,16300,0,155.7900,156.2800,7987,-12551,-11.23237075,0,-4575.23237075,
Mark-to-Market Performance Summary,Data,Stocks,JPIB,34119,34119,48.3600,48.4900,4435.47,0,0,0,4435.47,
Mark-to-Market Performance Summary,Data,Stocks,JPM,8700,8700,282.7800,283.1600,3306,0,0,0,3306,
Mark-to-Market Performance Summary,Data,Stocks,KO,35125,35125,70.2400,69.4800,-26695,0,0,0,-26695,
Mark-to-Market Performance Summary,Data,Stocks,MCD,12462,12462,291.6700,293.0200,16823.7,0,0,0,16823.7,
Mark-to-Market Performance Summary,Data,Stocks,MELI,975,975,"2,476.6000","2,477.0800",468,0,0,0,468,
Mark-to-Market Performance Summary,Data,Stocks,MRK,31100,0,81.3700,83.7100,72774,6842,-21.43108775,0,79594.56891225,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,28817,28817,88.5900,89.8300,35733.08,0,0,0,35733.08,
Mark-to-Market Performance Summary,Data,Stocks,NOC,3022,3022,504.8500,507.9400,9337.98,0,0,0,9337.98,
Mark-to-Market Performance Summary,Data,Stocks,NOW,75,75,"1,022.9800","1,013.7100",-695.25,0,0,0,-695.25,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,22225,22225,160.0000,162.8800,64008,0,0,0,64008,
Mark-to-Market Performance Summary,Data,Stocks,NVO,15025,15025,69.6400,69.6900,751.25,0,0,0,751.25,
Mark-to-Market Performance Summary,Data,Stocks,PANW,9425,9425,203.9900,206.0600,19509.75,0,0,0,19509.75,
Mark-to-Market Performance Summary,Data,Stocks,PG,15700,0,157.8900,157.5200,-5809,-17270,-15.46705425,0,-23094.46705425,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,15450,15450,139.7100,143.1300,52839,0,0,0,52839,
Mark-to-Market Performance Summary,Data,Stocks,PM,14158,14158,177.7200,177.9800,3681.08,0,0,0,3681.08,
Mark-to-Market Performance Summary,Data,Stocks,PONY,59025,59025,12.4900,12.1400,-20658.75,0,0,0,-20658.75,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,75,75,552.3400,556.2500,293.25,0,0,0,293.25,
Mark-to-Market Performance Summary,Data,Stocks,RHMd,766,766,"1,830.0000","1,860.5000",27386.1086,0,0,0,27386.1086,
Mark-to-Market Performance Summary,Data,Stocks,RTX,17663,17663,144.9100,146.1800,22432.01,0,0,0,22432.01,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,207975,207975,100.4600,100.4500,-2079.75,0,0,0,-2079.75,
Mark-to-Market Performance Summary,Data,Stocks,SHOP,22600,22600,112.4800,114.3200,41584,0,0,0,41584,
Mark-to-Market Performance Summary,Data,Stocks,SHYG,94015,94015,42.7700,42.8700,9401.5,0,0,0,9401.5,
Mark-to-Market Performance Summary,Data,Stocks,SPLV,825,825,72.5700,72.6700,82.5,0,0,0,82.5,
Mark-to-Market Performance Summary,Data,Stocks,SPXL,58400,58400,175.0700,178.1200,178120,0,0,0,178120,
Mark-to-Market Performance Summary,Data,Stocks,STZ,1013,1013,170.5500,169.0400,-1529.63,0,0,0,-1529.63,
Mark-to-Market Performance Summary,Data,Stocks,TLT,235000,235000,86.0300,86.9300,211500,0,0,0,211500,
Mark-to-Market Performance Summary,Data,Stocks,TQQQ,235279,295679,83.0300,84.7500,404679.88,-1725.675,-77.186491,0,402877.018509,
Mark-to-Market Performance Summary,Data,Stocks,TSM,15600,15600,227.8600,231.8400,62088,0,0,0,62088,
Mark-to-Market Performance Summary,Data,Stocks,U96,150000,150000,7.4700,7.4400,-3514.86,0,0,0,-3514.86,
Mark-to-Market Performance Summary,Data,Stocks,UNH,7800,0,307.7000,302.9100,-37362,-4368,-5.3749995,0,-41735.3749995,
Mark-to-Market Performance Summary,Data,Stocks,USMV,75,75,93.5500,93.7300,13.5,0,0,0,13.5,
