Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 10, 2025"
Statement,Data,WhenGenerated,"2025-08-05, 22:15:27 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-158826128.02127665,75918.222230125,-158901878.74715248,-158825960.52492234,167.496354312
Net Asset Value,Data,Stock,229306321.26347998,229507365.85915,0,229507365.85915,201044.595670015
Net Asset Value,Data,Interest Accruals,-137211.6110601,166188.0730418,-323877.4091791,-157689.3361373,-20477.7250772
Net Asset Value,Data,Dividend Accruals,359228.2809577,386734.7809577,0,386734.7809577,27506.5
Net Asset Value,Data,Total,70702209.91210091,230136206.93537962,-159225756.15633157,70910450.77904806,208240.866947144
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.294532331%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,70702209.91210091
Change in NAV,Data,Mark-to-Market,201212.4909415
Change in NAV,Data,Change in Dividend Accruals,27506.5
Change in NAV,Data,Change in Interest Accruals,-20480.0462162
Change in NAV,Data,Commissions,-0.39891725
Change in NAV,Data,Other FX Translations,2.321139
Change in NAV,Data,Ending Value,70910450.77904806
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.4500,5.5900,131351.829,0,0,0,131351.829,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1000,6.2700,83420.0676,0,0,0,83420.0676,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.4000,56.9000,-6369.5,0,0,0,-6369.5,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,78.7500,79.8000,13643.469,0,0,0,13643.469,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,24.3800,24.5200,3121.055,0,0,0,3121.055,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,88.0000,88.7600,16729.87392,0,0,0,16729.87392,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.0000,19.8000,-9579.728,0,0,0,-9579.728,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.0300,11.0100,-1742.6952,0,0,0,-1742.6952,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,411.6000,413.4000,6076.503,0,0,0,6076.503,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,33.9500,33.1000,-16242.225,0,0,0,-16242.225,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6500,4.7100,29350.656,0,0,0,29350.656,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,497.6000,496.6000,-3121.055,0,0,0,-3121.055,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,6.9100,7.0100,2649.712,0,0,0,2649.712,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.1600,18.3400,1994.9274,0,0,0,1994.9274,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,86.0500,86.1500,1834.416,0,0,0,1834.416,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,478.6000,484.8000,8687.998,0,0,0,8687.998,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,211.1400,212.4100,1752.6,0,0,0,1752.6,
Mark-to-Market Performance Summary,Data,Stocks,AMD,23100,23100,138.4100,144.1600,132825,0,0,0,132825,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,352.7400,346.3200,-725.46,0,0,0,-725.46,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,236.7700,237.5700,4960,0,0,0,4960,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,68.8300,68.9800,2745,0,0,0,2745,
