Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 14, 2025"
Statement,Data,WhenGenerated,"2025-07-15, 23:55:34 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-146416434.43766895,75918.117430482,-146481350.3414764,-146405432.22404593,11002.213623017
Net Asset Value,Data,Stock,216857769.00702,217709441.02966002,0,217709441.02966002,851672.02264002
Net Asset Value,Data,Interest Accruals,-177173.7914682,244195.7153117,-479854.0537495,-235658.3384378,-58484.5469696
Net Asset Value,Data,Dividend Accruals,342317.808561,342317.808561,0,342317.808561,0
Net Asset Value,Data,Total,70606478.58644387,218371872.6709632,-146961204.3952259,71410668.27573729,804189.689293414
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.138974362%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,70606478.58644387
Change in NAV,Data,Mark-to-Market,862674.57574029
Change in NAV,Data,Change in Interest Accruals,-58493.2850656
Change in NAV,Data,Commissions,-0.33947725
Change in NAV,Data,Other FX Translations,8.738096
Change in NAV,Data,Ending Value,71410668.27573729
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.5200,5.5400,18764.547,0,0,0,18764.547,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.2100,6.1800,-14721.1884,0,0,0,-14721.1884,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.3500,57.3000,-636.95,0,0,0,-636.95,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,88.1500,88.3000,1949.067,0,0,0,1949.067,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,24.6200,24.7000,1783.46,0,0,0,1783.46,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,89.3600,89.4800,2641.55904,0,0,0,2641.55904,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.0000,20.4500,21554.388,0,0,0,21554.388,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.0900,11.1300,3485.3904,0,0,0,3485.3904,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,425.6000,423.6000,-6751.67,0,0,0,-6751.67,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,32.7000,33.6500,18153.075,0,0,0,18153.075,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6900,4.7100,9783.552,0,0,0,9783.552,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,496.6000,500.0000,10611.587,0,0,0,10611.587,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,7.0500,7.1600,2914.6832,0,0,0,2914.6832,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.3200,18.6400,3546.5376,0,0,0,3546.5376,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,87.0000,86.6000,-7337.664,0,0,0,-7337.664,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,488.2000,489.0000,1121.032,0,0,0,1121.032,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,211.1600,208.6200,-3505.2,0,0,0,-3505.2,
Mark-to-Market Performance Summary,Data,Stocks,AMD,23100,23100,146.4200,146.2400,-4158,0,0,0,-4158,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,335.1000,355.9000,2350.4,0,0,0,2350.4,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,263.8000,265.0000,7440,0,0,0,7440,
