Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 15, 2025"
Statement,Data,WhenGenerated,"2025-07-15, 23:55:23 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-146405432.22404593,75929.064859242,-152593352.74881175,-152517423.6839525,-6111991.459906578
Net Asset Value,Data,Stock,217709441.02966002,223850543.65086,0,223850543.65086,6141102.621199995
Net Asset Value,Data,Interest Accruals,-235658.3384378,262109.1882165,-515671.0018212,-253561.8136047,-17903.4751669
Net Asset Value,Data,Dividend Accruals,342317.808561,292770.5748344,0,292770.5748344,-49547.2337266
Net Asset Value,Data,Total,71410668.27573729,224481352.47877017,-153109023.75063294,71372328.72813722,-38339.547600061
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.053688823%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71410668.27573729
Change in NAV,Data,Mark-to-Market,-18964.70262295
Change in NAV,Data,Dividends,70548.3
Change in NAV,Data,Withholding Tax,-21164.5
Change in NAV,Data,Change in Dividend Accruals,-49547.2337266
Change in NAV,Data,Change in Interest Accruals,-17929.2230068
Change in NAV,Data,Commissions,-538.84507355
Change in NAV,Data,Transaction Fees,-769.09101005
Change in NAV,Data,Other FX Translations,25.7478399
Change in NAV,Data,Ending Value,71372328.72813722
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,0,200000,--,29.0500,0,-7643.4,-1216.6369211,0,-8860.0369211,
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.5400,5.4900,-46911.3675,0,0,0,-46911.3675,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1800,6.1500,-14721.1884,0,0,0,-14721.1884,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.3000,57.6500,4458.65,0,0,0,4458.65,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,88.3000,89.1500,11044.713,0,0,0,11044.713,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,24.7000,25.0800,8471.435,0,0,0,8471.435,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,89.4800,90.9800,33019.488,0,0,0,33019.488,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.4500,20.4000,-2394.932,0,0,0,-2394.932,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.1300,11.4200,25269.0804,0,0,0,25269.0804,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,423.6000,427.4000,12828.173,0,0,0,12828.173,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,33.6500,35.0500,26751.9,0,0,0,26751.9,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.7100,4.6900,-9783.552,0,0,0,-9783.552,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,500.0000,517.5000,54618.4625,0,0,0,54618.4625,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,7.1600,7.1800,529.9424,0,0,0,529.9424,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.6400,18.5400,-1108.293,0,0,0,-1108.293,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,86.6000,87.2500,11923.704,0,0,0,11923.704,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,489.0000,490.4000,1961.806,0,0,0,1961.806,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,1380,1380,208.6200,209.1100,676.2,0,0,0,676.2,
Mark-to-Market Performance Summary,Data,Stocks,AMD,23100,23100,146.2400,155.6100,216447,0,0,0,216447,
Mark-to-Market Performance Summary,Data,Stocks,APP,113,113,355.9000,352.9600,-332.22,0,0,0,-332.22,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,6200,6200,265.0000,263.8900,-6882,0,0,0,-6882,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,18300,18300,69.0600,69.5500,8967,0,0,0,8967,
Mark-to-Market Performance Summary,Data,Stocks,BABA,22375,22375,108.2200,116.9700,195781.25,0,0,0,195781.25,
Mark-to-Market Performance Summary,Data,Stocks,BN4,143000,143000,7.8200,7.9500,14461.7187,0,0,0,14461.7187,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,10800,10800,138.6500,137.4500,-12960,0,0,0,-12960,
Mark-to-Market Performance Summary,Data,Stocks,CEG,8200,8200,325.9900,317.9900,-65600,0,0,0,-65600,
Mark-to-Market Performance Summary,Data,Stocks,CME,9175,9175,277.0600,275.0000,-18900.5,0,0,0,-18900.5,
Mark-to-Market Performance Summary,Data,Stocks,COIN,1000,1000,394.0100,388.0200,-5990,0,0,0,-5990,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,3600,3600,476.1800,473.2800,-10440,0,0,0,-10440,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,36250,36250,67.8200,67.1800,-23200,0,0,0,-23200,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,11000,11000,216.9000,213.2400,-40260,0,0,0,-40260,
Mark-to-Market Performance Summary,Data,Stocks,CVX,17200,17200,151.6500,150.6900,-16512,0,0,0,-16512,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,46.2900,46.0900,-7779.3,0,0,0,-7779.3,
Mark-to-Market Performance Summary,Data,Stocks,DAX,20025,20025,45.0300,44.4400,-11814.75,0,0,0,-11814.75,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,232,232,138.8000,140.5600,408.32,0,0,0,408.32,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,30,30,24.5000,24.6800,5.4,0,0,0,5.4,
Mark-to-Market Performance Summary,Data,Stocks,DG,13640,13640,114.3900,113.2200,-15958.8,0,0,0,-15958.8,
Mark-to-Market Performance Summary,Data,Stocks,EBND,358491,358491,21.1600,21.1000,-21509.46,0,0,0,-21509.46,
Mark-to-Market Performance Summary,Data,Stocks,EFA,28000,28000,88.9500,88.0200,-26040,0,0,0,-26040,
Mark-to-Market Performance Summary,Data,Stocks,EMR,26200,26200,139.9000,139.6900,-5502,0,0,0,-5502,
Mark-to-Market Performance Summary,Data,Stocks,ETN,3549,3549,360.2900,362.1100,6459.18,0,0,0,6459.18,
Mark-to-Market Performance Summary,Data,Stocks,EWW,48750,48750,59.6100,59.3800,-11212.5,0,0,0,-11212.5,
