Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 18, 2025"
Statement,Data,WhenGenerated,"2025-07-20, 21:59:20 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-32848334.67489041,7987.792938982,-33467877.033885736,-33459889.240946755,-611554.566056345
Net Asset Value,Data,Stock,105749796.11126,106499169.3917,0,106499169.3917,749373.280440003
Net Asset Value,Data,Interest Accruals,-290086.6421454,317384.6615799,-626191.9994924,-308807.3379125,-18720.6957671
Net Asset Value,Data,Dividend Accruals,292789.438704,292846.0303128,0,292846.0303128,56.5916088
Net Asset Value,Data,Total,72904164.23292819,107117387.87653169,-34094069.03337814,73023318.84315355,119154.610225365
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.163440061%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,72904164.23292819
Change in NAV,Data,Mark-to-Market,137955.43888941
Change in NAV,Data,Change in Interest Accruals,-18705.7659045
Change in NAV,Data,Commissions,-136.72450575
Change in NAV,Data,Other FX Translations,41.6617462
Change in NAV,Data,Ending Value,73023318.84315355
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,200000,200000,28.2500,28.3500,2548.6,0,0,0,2548.6,
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.3800,5.3500,-28155.6585,0,0,0,-28155.6585,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1400,6.1900,24543.018,0,0,0,24543.018,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,56.1500,57.0000,10831.55,0,0,0,10831.55,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,90.9000,92.8000,24695.934,0,0,0,24695.934,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.0000,25.3200,7136.08,0,0,0,7136.08,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,90.7600,92.0000,27304.68096,0,0,0,27304.68096,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,376000,20.2500,20.9500,33539.576,0,0,0,33539.576,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.4600,11.6600,17432.424,0,0,0,17432.424,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,427.0000,430.0000,10130.685,0,0,0,10130.685,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,150000,35.3000,36.1500,16247.325,0,0,0,16247.325,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6400,4.6900,24466.56,0,0,0,24466.56,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,517.0000,519.0000,6244.07,0,0,0,6244.07,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,208000,7.1100,7.2100,2650.544,0,0,0,2650.544,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,87000,18.2400,18.5200,3104.1948,0,0,0,3104.1948,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,87.3500,87.3500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,493.8000,498.0000,5887.266,0,0,0,5887.266,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,210.0200,211.1800,508.08,0,0,0,508.08,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,160.4100,156.9900,-25000.2,0,0,0,-25000.2,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,36,363.7800,364.4600,24.48,0,0,0,24.48,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1962,1962,278.5600,274.0300,-8887.86,0,0,0,-8887.86,
