Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 21, 2025"
Statement,Data,WhenGenerated,"2025-07-22, 01:37:22 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-33459889.240946755,7987.528796702,-39789753.816959485,-39781766.28816278,-6321877.047216028
Net Asset Value,Data,Stock,106499169.3917,113043884.14555,0,113043884.14555,6544714.753849998
Net Asset Value,Data,Interest Accruals,-308807.3379125,324986.8303628,-641394.9669362,-316408.1365734,-7600.7986609
Net Asset Value,Data,Dividend Accruals,292846.0303128,293042.0148344,0,293042.0148344,195.9845216
Net Asset Value,Data,Total,73023318.84315355,113669900.5195439,-40431148.783895686,73238751.73564821,215432.892494664
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.295019312%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,73023318.84315355
Change in NAV,Data,Mark-to-Market,227123.67343977
Change in NAV,Data,Change in Dividend Accruals,271.44
Change in NAV,Data,Change in Interest Accruals,-7564.4489911
Change in NAV,Data,Commissions,-2594.538562244
Change in NAV,Data,Transaction Fees,-1691.428243558
Change in NAV,Data,Other FX Translations,-111.8051482
Change in NAV,Data,Ending Value,73238751.73564821
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,200000,300000,28.3500,28.8500,12739,-1273.9,-603.34005935,0,10861.75994065,
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.3500,5.3600,9382.2735,0,0,0,9382.2735,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1900,6.1400,-24535.314,0,0,0,-24535.314,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.0000,57.7500,9554.25,0,0,0,9554.25,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,92.8000,91.3500,-18840.981,0,0,0,-18840.981,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.3200,25.4600,3121.055,0,0,0,3121.055,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,92.0000,92.6000,13207.7952,0,0,0,13207.7952,
Mark-to-Market Performance Summary,Data,Stocks,2899,376000,500000,20.9500,21.6500,33529.048,0,-557.489748638,0,32971.558251362,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.6600,11.7500,7842.1284,0,0,0,7842.1284,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,430.0000,431.2000,4051.002,0,0,0,4051.002,
Mark-to-Market Performance Summary,Data,Stocks,3888,150000,75000,36.1500,34.9000,-23885.625,-1910.85,-540.740931825,0,-26337.215931825,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6900,4.6600,-14675.328,0,0,0,-14675.328,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,519.0000,521.5000,7802.6375,0,0,0,7802.6375,
Mark-to-Market Performance Summary,Data,Stocks,857,208000,616000,7.2100,7.4700,6889.2512,254.78,-631.687712733,0,6512.343487267,
Mark-to-Market Performance Summary,Data,Stocks,883,87000,174000,18.5200,18.7600,2659.9032,-221.6586,-338.784815726,0,2099.459784274,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,87.3500,86.8500,-9172.08,0,0,0,-9172.08,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,498.0000,497.8000,-280.258,0,0,0,-280.258,
Mark-to-Market Performance Summary,Data,Stocks,A17U,0,150000,--,2.8000,0,0,-307.0424448,0,-307.0424448,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,211.1800,212.4800,569.4,0,0,0,569.4,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,156.9900,157.0000,73.1,0,0,0,73.1,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,36,364.4600,366.1700,61.56,0,0,0,61.56,
