Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 22, 2025"
Statement,Data,WhenGenerated,"2025-07-23, 02:20:46 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-39781766.28816278,7987.665742732,-39835096.62278819,-39827108.95704546,-45342.668882675
Net Asset Value,Data,Stock,113043884.14555,112791376.20596,0,112791376.20596,-252507.939589992
Net Asset Value,Data,Options,0,379299.3,-380006.64,-707.34,-707.34
Net Asset Value,Data,Interest Accruals,-316408.1365734,327414.8271707,-646250.0605044,-318835.2333337,-2427.0967603
Net Asset Value,Data,Dividend Accruals,293042.0148344,287408.7048344,0,287408.7048344,-5633.31
Net Asset Value,Data,Total,73238751.73564821,113793486.70370783,-40861353.32329259,72932133.38041523,-306618.355232984
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.4186559%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,73238751.73564821
Change in NAV,Data,Mark-to-Market,-304120.97093268
Change in NAV,Data,Dividends,8047.6
Change in NAV,Data,Withholding Tax,-2414.29
Change in NAV,Data,Change in Dividend Accruals,-5633.31
Change in NAV,Data,Change in Interest Accruals,-2395.0088641
Change in NAV,Data,Commissions,-70.28754
Change in NAV,Data,Other FX Translations,-32.0878962
Change in NAV,Data,Ending Value,72932133.38041523
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,28.8500,29.2000,13375.95,0,0,0,13375.95,
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,7365000,5.3600,5.2900,-65675.9145,0,0,0,-65675.9145,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1400,6.0800,-29442.3768,0,0,0,-29442.3768,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.7500,57.9500,2547.8,0,0,0,2547.8,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,91.3500,91.6500,3898.134,0,0,0,3898.134,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.4600,25.6000,3121.055,0,0,0,3121.055,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,92.6000,92.8200,4842.85824,0,0,0,4842.85824,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,21.6500,22.4500,50956,0,0,0,50956,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.7500,11.7700,1742.6952,0,0,0,1742.6952,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,431.2000,432.6000,4726.169,0,0,0,4726.169,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.9000,33.4000,-14331.375,0,0,0,-14331.375,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6600,4.6700,4891.776,0,0,0,4891.776,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,521.5000,526.0000,14044.7475,0,0,0,14044.7475,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,616000,7.4700,7.4500,-1569.4448,0,0,0,-1569.4448,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.7600,18.8600,2216.586,0,0,0,2216.586,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,86.8500,86.8000,-917.208,0,0,0,-917.208,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,497.8000,497.8000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,A17U,150000,150000,2.8000,2.8000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,212.4800,214.4000,840.96,0,0,0,840.96,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,157.0000,154.7200,-16666.8,0,0,0,-16666.8,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,36,366.1700,350.0000,-582.12,0,0,0,-582.12,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1962,1962,272.1800,262.4800,-19031.4,0,0,0,-19031.4,
