Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 23, 2025"
Statement,Data,WhenGenerated,"2025-07-24, 02:19:12 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-39827108.95704546,7987.725204803,-46329691.52765437,-46321703.80244957,-6494594.845404111
Net Asset Value,Data,Stock,112791376.20596,120392304.8168,0,120392304.8168,7600928.610839993
Net Asset Value,Data,Options,-707.34,382829.12,-384992.32,-2163.2,-1455.86
Net Asset Value,Data,Interest Accruals,-318835.2333337,330433.2892079,-652286.0645348,-321852.7753269,-3017.5419932
Net Asset Value,Data,Dividend Accruals,287408.7048344,277004.9548344,0,277004.9548344,-10403.75
Net Asset Value,Data,Total,72932133.38041523,121390559.90604712,-47366969.91218917,74023589.99385795,1091456.613442719
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.496537346%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,72932133.38041523
Change in NAV,Data,Mark-to-Market,1097810.35551425
Change in NAV,Data,Dividends,14862.5
Change in NAV,Data,Withholding Tax,-4458.75
Change in NAV,Data,Change in Dividend Accruals,-10403.75
Change in NAV,Data,Change in Interest Accruals,-3003.1017712
Change in NAV,Data,Commissions,-1261.539876107
Change in NAV,Data,Transaction Fees,-2074.660202267
Change in NAV,Data,Other FX Translations,-14.440222
Change in NAV,Data,Ending Value,74023589.99385795
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,29.2000,29.6000,15286.8,0,0,0,15286.8,
Mark-to-Market Performance Summary,Data,Stocks,1288,7365000,9206000,5.2900,5.3500,56293.641,7035.7497,-2031.095107644,0,61298.295592356,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.0800,6.1500,34349.4396,0,0,0,34349.4396,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,57.9500,58.4000,5732.55,0,0,0,5732.55,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,91.6500,93.1500,19490.67,0,0,0,19490.67,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.6000,26.0200,9363.165,0,0,0,9363.165,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,92.8200,94.5000,36981.82656,0,0,0,36981.82656,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.4500,22.7000,15923.75,0,0,0,15923.75,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.7700,12.0900,27883.1232,0,0,0,27883.1232,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,432.6000,439.8000,24306.012,0,0,0,24306.012,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,33.4000,34.7000,12420.525,0,0,0,12420.525,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6700,4.7400,34242.432,0,0,0,34242.432,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,526.0000,552.0000,81147.43,0,0,0,81147.43,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,616000,7.4500,7.4700,1569.4448,0,0,0,1569.4448,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.8600,18.9800,2659.9032,0,0,0,2659.9032,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,86.8000,87.3500,10089.288,0,0,0,10089.288,
Mark-to-Market Performance Summary,Data,Stocks,9633,0,132000,--,45.0000,0,-6583.5152,-1247.12050223,0,-7830.63570223,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,497.8000,504.0000,8687.998,0,0,0,8687.998,
Mark-to-Market Performance Summary,Data,Stocks,A17U,150000,150000,2.8000,2.8000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,214.4000,214.1500,-109.5,0,0,0,-109.5,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,154.7200,158.6500,28728.3,0,0,0,28728.3,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,36,350.0000,362.1200,436.32,0,0,0,436.32,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1962,1962,262.4800,272.8000,20247.84,0,0,0,20247.84,
