Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 24, 2025"
Statement,Data,WhenGenerated,"2025-07-25, 01:34:44 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-46321703.80244957,7987.667897813,-46509109.29220781,-46501121.624309994,-179417.821860425
Net Asset Value,Data,Stock,120392304.8168,120737932.94225001,0,120737932.94225001,345628.125450015
Net Asset Value,Data,Options,-2163.2,352760.88,-411411.28,-58650.4,-56487.2
Net Asset Value,Data,Interest Accruals,-321852.7753269,333594.2220403,-658607.0102268,-325012.7881865,-3160.0128596
Net Asset Value,Data,Dividend Accruals,277004.9548344,270480.2390367,0,270480.2390367,-6524.7157977
Net Asset Value,Data,Total,74023589.99385795,121702755.95122482,-47579127.58243461,74123628.36879021,100038.374932259
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.135143911%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,74023589.99385795
Change in NAV,Data,Mark-to-Market,103378.0997919
Change in NAV,Data,Dividends,7225.764624
Change in NAV,Data,Withholding Tax,-701.0488263
Change in NAV,Data,Change in Dividend Accruals,-6524.7157977
Change in NAV,Data,Change in Interest Accruals,-3174.078078
Change in NAV,Data,Commissions,-179.712
Change in NAV,Data,Other FX Translations,14.0652184
Change in NAV,Data,Ending Value,74123628.36879021
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,29.6000,29.6000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1288,9206000,9206000,5.3500,5.3400,-11727.5234,0,0,0,-11727.5234,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1500,6.1500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,58.4000,58.4500,636.95,0,0,0,636.95,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,93.1500,96.5000,43529.163,0,0,0,43529.163,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,26.0200,26.1600,3121.055,0,0,0,3121.055,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,94.5000,94.6600,3522.07872,0,0,0,3522.07872,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.7000,22.5500,-9554.25,0,0,0,-9554.25,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,12.0900,12.0700,-1742.6952,0,0,0,-1742.6952,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,439.8000,448.2000,28357.014,0,0,0,28357.014,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.7000,34.9500,2388.5625,0,0,0,2388.5625,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.7400,4.7300,-4891.776,0,0,0,-4891.776,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,552.0000,557.0000,15605.275,0,0,0,15605.275,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,616000,7.4700,7.4600,-784.7224,0,0,6524.7157977,5739.9933977,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.9800,19.0600,1773.2688,0,0,0,1773.2688,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,144000,87.3500,87.3000,-917.208,0,0,0,-917.208,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,45.0000,44.9000,-1681.548,0,0,0,-1681.548,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,504.0000,506.5000,3503.225,0,0,0,3503.225,
Mark-to-Market Performance Summary,Data,Stocks,A17U,150000,150000,2.8000,2.8000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,214.1500,213.7600,-170.82,0,0,0,-170.82,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,158.6500,162.1200,25365.7,0,0,0,25365.7,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,36,362.1200,359.9400,-78.48,0,0,0,-78.48,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1962,1962,272.8000,271.2000,-3139.2,0,0,0,-3139.2,
