Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 30, 2025"
Statement,Data,WhenGenerated,"2025-07-31, 02:42:04 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-59563684.207131416,1196110.072219993,-54289444.200726286,-53093334.128506295,6470350.07862512
Net Asset Value,Data,Stock,133970493.90965,127399092.69466001,0,127399092.69466001,-6571401.21498999
Net Asset Value,Data,Options,-70965.26,348656.96,-374666.88,-26009.92,44955.34
Net Asset Value,Data,Interest Accruals,-345183.4266799,358678.7344324,-708771.9842051,-350093.2497727,-4909.8230928
Net Asset Value,Data,Dividend Accruals,270103.9690367,253772.4590367,0,253772.4590367,-16331.51
Net Asset Value,Data,Total,74260764.98487538,129556310.92034909,-55372883.064931385,74183427.8554177,-77337.129457682
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.104142651%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,74260764.98487538
Change in NAV,Data,Mark-to-Market,-69224.99822898
Change in NAV,Data,Dividends,16560.7
Change in NAV,Data,Change in Dividend Accruals,-16331.51
Change in NAV,Data,Change in Interest Accruals,-5029.5684969
Change in NAV,Data,Commissions,-1905.129566934
Change in NAV,Data,Transaction Fees,-1526.36856896
Change in NAV,Data,Other FX Translations,119.7454041
Change in NAV,Data,Ending Value,74183427.8554177
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,30.1500,29.9500,-7643.4,0,0,0,-7643.4,
Mark-to-Market Performance Summary,Data,Stocks,1288,9206000,9206000,5.1800,5.2000,23455.0468,0,0,0,23455.0468,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.0700,6.0500,-9814.1256,0,0,0,-9814.1256,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,55.3000,54.7500,-7006.45,0,0,0,-7006.45,
Mark-to-Market Performance Summary,Data,Stocks,2359,105000,137000,111.7000,112.0000,4012.785,-729.9447,-767.494266847,0,2515.346033153,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,26.0200,25.6600,-8025.57,0,0,0,-8025.57,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,93.7000,92.4800,-26855.85024,0,0,16560.7,-10295.15024,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.4000,22.3000,-6369.5,0,0,0,-6369.5,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.8800,11.6000,-24397.7328,0,0,0,-24397.7328,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,33200,440.8000,433.2000,-25656.346,-1031.859,-608.020824006,0,-27296.225824006,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.4000,34.6500,2388.5625,0,0,0,2388.5625,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.6200,4.5800,-19567.104,0,0,0,-19567.104,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,555.0000,549.0000,-18726.33,0,0,0,-18726.33,
Mark-to-Market Performance Summary,Data,Stocks,762,1966000,2466000,9.6100,9.7000,22540.3866,-1666.2612,-1017.228406272,0,19856.896993728,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,616000,7.5300,7.8200,22756.9496,0,0,0,22756.9496,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.9000,19.1800,6206.4408,0,0,0,6206.4408,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.4000,46.6000,3363.096,0,0,0,3363.096,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,497.6000,493.8000,-5324.902,0,0,0,-5324.902,
Mark-to-Market Performance Summary,Data,Stocks,A17U,380500,403700,2.8200,2.8600,11733.859,178.8604,-47.712800304,0,11865.006599696,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,211.2700,209.0500,-972.36,0,0,0,-972.36,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,177.4400,179.5100,15131.7,0,0,0,15131.7,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,36,361.6300,363.3100,60.48,0,0,0,60.48,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1962,1962,268.3900,267.8000,-1157.58,0,0,0,-1157.58,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,5791,5791,70.1800,69.6600,-3011.32,0,0,0,-3011.32,
Mark-to-Market Performance Summary,Data,Stocks,BABA,7981,7981,119.3600,117.3800,-15802.38,0,0,0,-15802.38,
Mark-to-Market Performance Summary,Data,Stocks,BN4,143000,178800,8.1600,8.1800,2204.917,2208.0008,-209.252235816,0,4203.665564184,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,3418,3418,150.2800,152.3800,7177.8,0,0,0,7177.8,
Mark-to-Market Performance Summary,Data,Stocks,C6L,0,14100,--,6.9000,0,104.8492,-70.107220217,0,34.741979783,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,330.5200,345.2700,38276.25,0,0,0,38276.25,
Mark-to-Market Performance Summary,Data,Stocks,CME,2904,2904,274.6000,277.7400,9118.56,0,0,0,9118.56,
Mark-to-Market Performance Summary,Data,Stocks,COIN,318,318,371.4400,377.4800,1920.72,0,0,0,1920.72,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,1100,1100,181.6400,190.5000,9746,0,0,0,9746,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,1140,1140,465.5100,463.1500,-2690.4,0,0,0,-2690.4,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,11471,11471,67.9600,68.2750,3613.37,0,0,0,3613.37,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,3481,3481,222.6800,223.1300,1566.45,0,0,0,1566.45,
Mark-to-Market Performance Summary,Data,Stocks,CVX,5443,5443,157.0300,153.5600,-18887.21,0,0,0,-18887.21,
Mark-to-Market Performance Summary,Data,Stocks,D05,104300,104300,48.6000,48.2600,-27339.4289,0,0,0,-27339.4289,
Mark-to-Market Performance Summary,Data,Stocks,DAX,6337,6337,44.5000,44.1400,-2281.32,0,0,0,-2281.32,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,75,75,150.2700,148.8800,-104.25,0,0,0,-104.25,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,1118,1118,16.0700,14.8000,-1419.86,0,0,0,-1419.86,
Mark-to-Market Performance Summary,Data,Stocks,DG,4317,4317,106.8500,105.5400,-5655.27,0,0,0,-5655.27,
Mark-to-Market Performance Summary,Data,Stocks,EBND,113430,113430,21.1500,20.9800,-19283.1,0,0,0,-19283.1,
Mark-to-Market Performance Summary,Data,Stocks,EFA,8860,8860,89.1100,88.4700,-5670.4,0,0,0,-5670.4,
Mark-to-Market Performance Summary,Data,Stocks,EMR,8291,8291,147.6100,146.0600,-12851.05,0,0,0,-12851.05,
Mark-to-Market Performance Summary,Data,Stocks,ETN,1124,1124,390.0100,390.0900,89.92,0,0,0,89.92,
Mark-to-Market Performance Summary,Data,Stocks,EWW,15426,15426,60.9300,60.1700,-11723.76,0,0,0,-11723.76,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,38919,38919,26.7600,26.8800,4670.28,0,0,0,4670.28,
Mark-to-Market Performance Summary,Data,Stocks,GE,1519,1519,270.3100,273.5500,4921.56,0,0,0,4921.56,
Mark-to-Market Performance Summary,Data,Stocks,GEV,1417,1417,632.6700,655.0000,31641.61,0,0,0,31641.61,
Mark-to-Market Performance Summary,Data,Stocks,GS,1140,1140,731.9800,730.7500,-1402.2,0,0,0,-1402.2,
Mark-to-Market Performance Summary,Data,Stocks,HD,2152,2152,377.3400,372.0800,-11319.52,0,0,0,-11319.52,
Mark-to-Market Performance Summary,Data,Stocks,HO,1641,1641,235.9000,235.1000,-1497.2484,0,0,0,-1497.2484,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,98997,98997,33.1600,32.6000,-55438.32,0,0,0,-55438.32,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,17037,17037,66.7100,66.3700,-5792.58,0,0,0,-5792.58,
Mark-to-Market Performance Summary,Data,Stocks,IBM,2754,2754,262.4100,260.2600,-5921.1,0,0,0,-5921.1,
Mark-to-Market Performance Summary,Data,Stocks,ICE,2829,2829,184.7100,185.7400,2913.87,0,0,0,2913.87,
Mark-to-Market Performance Summary,Data,Stocks,JPIB,10797,10797,48.5200,48.5600,431.88,0,0,0,431.88,
Mark-to-Market Performance Summary,Data,Stocks,JPM,2754,2754,297.0400,299.6300,7132.86,0,0,0,7132.86,
Mark-to-Market Performance Summary,Data,Stocks,MCD,3945,3945,302.6700,303.6100,3708.3,0,0,0,3708.3,
Mark-to-Market Performance Summary,Data,Stocks,ME8U,662600,905600,2.0600,2.0700,5108.3147,0,-362.976643692,0,4745.338056308,
Mark-to-Market Performance Summary,Data,Stocks,MELI,309,309,"2,384.9000","2,381.3900",-1084.59,0,0,0,-1084.59,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,9119,9119,95.8300,95.9900,1459.04,0,0,0,1459.04,
Mark-to-Market Performance Summary,Data,Stocks,NOC,957,957,573.2200,572.8100,-392.37,0,0,0,-392.37,
Mark-to-Market Performance Summary,Data,Stocks,NOW,25,25,993.2000,977.4800,-393,0,0,0,-393,
Mark-to-Market Performance Summary,Data,Stocks,NTDU,813200,813200,0.9450,0.9350,-8132,0,0,0,-8132,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,7033,7033,175.5100,179.2700,26444.08,0,0,0,26444.08,
Mark-to-Market Performance Summary,Data,Stocks,NVO,4755,4755,53.9400,50.0300,-18592.05,0,0,0,-18592.05,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2983,2983,193.8400,183.0300,-32246.23,0,0,0,-32246.23,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,4890,4890,156.2400,158.6100,11589.3,0,0,0,11589.3,
Mark-to-Market Performance Summary,Data,Stocks,PM,6881,6881,162.7500,162.1700,-3990.98,0,0,0,-3990.98,
Mark-to-Market Performance Summary,Data,Stocks,PONY,18677,18677,13.5300,13.1200,-7657.57,0,0,0,-7657.57,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,25,25,567.2600,568.0200,19,0,0,0,19,
Mark-to-Market Performance Summary,Data,Stocks,RHMd,243,243,"1,735.0000","1,732.5000",-692.85375,0,0,0,-692.85375,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5589,5589,157.1200,158.4000,7153.92,0,0,0,7153.92,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,196835,196835,100.6900,100.7100,3936.7,0,0,0,3936.7,
Mark-to-Market Performance Summary,Data,Stocks,SHOP,7152,7152,124.8500,123.0100,-13159.68,0,0,0,-13159.68,
Mark-to-Market Performance Summary,Data,Stocks,SHYG,29748,29748,43.0700,42.9900,-2379.84,0,0,0,-2379.84,
