Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 1, 2025"
Statement,Data,WhenGenerated,"2025-08-03, 21:43:58 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-53210307.61544816,11336.995667555,-55163153.099866636,-55151816.10419908,-1941508.48875092
Net Asset Value,Data,Stock,126364484.90043001,124815182.04816002,0,124815182.04816002,-1549302.852269992
Net Asset Value,Data,Options,14326.26,8983370.84,-7920529.1,1062841.74,1048515.48
Net Asset Value,Data,Interest Accruals,-355819.9100567,369510.448088,-730152.9500408,-360642.5019528,-4822.5918961
Net Asset Value,Data,Dividend Accruals,245205.0790367,282208.700722,0,282208.700722,37003.6216853
Net Asset Value,Data,Total,73057888.71396185,134461609.0326376,-63813835.14990744,70647773.88273016,-2410114.831231698
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-3.298911142%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,73057888.71396185
Change in NAV,Data,Mark-to-Market,-2461770.6958349
Change in NAV,Data,Dividends,39295
Change in NAV,Data,Withholding Tax,-11788.5
Change in NAV,Data,Change in Dividend Accruals,36986.57
Change in NAV,Data,Change in Interest Accruals,-4675.270683
Change in NAV,Data,Commissions,-8031.665186018
Change in NAV,Data,Other FX Translations,-130.2695278
Change in NAV,Data,Ending Value,70647773.88273016
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,28.8500,28.6000,-9555,0,0,0,-9555,
Mark-to-Market Performance Summary,Data,Stocks,1288,9206000,9206000,5.1500,5.1100,-46913.776,0,0,0,-46913.776,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.0200,5.9800,-19629.792,0,0,0,-19629.792,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,53.1500,53.4000,3185,0,0,0,3185,
Mark-to-Market Performance Summary,Data,Stocks,2359,137000,137000,105.7000,101.7000,-69815.2,0,0,0,-69815.2,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.2600,24.9800,-6242.6,0,0,0,-6242.6,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,90.9400,90.0800,-18932.6592,0,0,0,-18932.6592,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,20.9500,21.1500,12740,0,0,0,12740,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,11.4900,11.3800,-9585.576,0,0,0,-9585.576,
Mark-to-Market Performance Summary,Data,Stocks,388,33200,33200,427.0000,417.0000,-42296.8,0,0,0,-42296.8,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,35.7500,34.0000,-16721.25,0,0,0,-16721.25,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.5400,4.5100,-14676.48,0,0,0,-14676.48,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,550.0000,535.0000,-46819.5,0,0,0,-46819.5,
Mark-to-Market Performance Summary,Data,Stocks,762,2466000,2466000,9.7600,9.6300,-40841.892,0,0,0,-40841.892,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,616000,7.6700,7.4200,-19619.6,0,0,0,-19619.6,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.9200,18.6600,-5763.576,0,0,0,-5763.576,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,45.4500,44.9500,-8408.4,0,0,0,-8408.4,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,492.0000,484.8000,-10090.08,0,0,0,-10090.08,
Mark-to-Market Performance Summary,Data,Stocks,A17U,403700,403700,2.7900,2.7400,-15663.1563,0,0,0,-15663.1563,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,329,207.5700,202.3800,-2273.22,933.04,-0.5875724,0,-1340.7675724,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,176.3100,171.7000,-33699.1,0,0,0,-33699.1,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,27,390.7000,379.1700,-415.08,-15.39,-0.36724925,0,-430.83724925,
