Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 5, 2025"
Statement,Data,WhenGenerated,"2025-08-06, 01:27:34 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-84962132.21964495,6901974.49928651,-113907130.6285957,-107005156.12930918,-22043023.90966423
Net Asset Value,Data,Stock,188308702.51652,209089519.48299003,0,209089519.48299003,20780816.966470033
Net Asset Value,Data,Options,-1264191.69,2867762.45,-4303479.36,-1435716.91,-171525.22
Net Asset Value,Data,Interest Accruals,-375279.3865204,19827.1184843,-35367.8669686,-15540.7484843,359738.6380361
Net Asset Value,Data,Dividend Accruals,303437.5811419,302052.7216773,0,302052.7216773,-1384.8594646
Net Asset Value,Data,Total,102010536.80149655,219181136.2724381,-118245977.8555643,100935158.41687381,-1075378.384622738
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.054183635%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102010536.80149655
Change in NAV,Data,Mark-to-Market,-1062974.50329815
Change in NAV,Data,Dividends,1986.97
Change in NAV,Data,Withholding Tax,-596.09
Change in NAV,Data,Change in Dividend Accruals,-1390.88
Change in NAV,Data,Interest,-360640.469517
Change in NAV,Data,Change in Interest Accruals,359743.2387478
Change in NAV,Data,Commissions,-9916.33884765
Change in NAV,Data,Transaction Fees,-1591.731531454
Change in NAV,Data,Other FX Translations,1.4198237
Change in NAV,Data,Ending Value,100935158.41687381
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,28.8600,28.9600,3821.7,0,0,0,3821.7,
Mark-to-Market Performance Summary,Data,Stocks,1288,9206000,9241000,5.2600,5.3800,140730.2808,267.519,-38.821771286,0,140958.978028714,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,4852000,6.0600,6.1600,49070.628,1304.4736,-1278.218459853,0,49096.883140147,
Mark-to-Market Performance Summary,Data,Stocks,1810,120000,120000,54.5500,54.3000,-3821.7,0,0,0,-3821.7,
Mark-to-Market Performance Summary,Data,Stocks,2359,215000,215000,100.3000,103.3000,82166.55,0,0,0,82166.55,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.2000,25.3600,3566.92,0,0,0,3566.92,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,90.9800,91.5200,11887.01568,0,0,0,11887.01568,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,21.6600,22.0200,22930.2,0,0,0,22930.2,
Mark-to-Market Performance Summary,Data,Stocks,3067,1026000,1026000,11.5300,11.6200,11763.1926,0,0,0,11763.1926,
Mark-to-Market Performance Summary,Data,Stocks,388,33200,33200,421.0000,423.4000,10150.4352,0,0,0,10150.4352,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.4000,34.4400,382.17,0,0,0,382.17,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,4840000,4.5400,4.6000,29350.656,129.9378,-957.279856999,0,28523.313943001,
Mark-to-Market Performance Summary,Data,Stocks,700,30700,30700,550.0000,559.0000,35197.857,0,0,0,35197.857,
Mark-to-Market Performance Summary,Data,Stocks,762,3028000,3028000,9.6400,9.6400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,770000,7.3800,7.3600,-1569.4448,0,-237.539913843,0,-1806.984713843,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.5600,18.6500,1994.9274,0,0,0,1994.9274,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,45.2000,45.4400,4035.7152,0,0,0,4035.7152,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,484.6000,489.0000,6165.676,0,0,0,6165.676,
Mark-to-Market Performance Summary,Data,Stocks,A17U,492500,615600,2.8000,2.7500,-19123.2825,-677.17776,-246.700511235,0,-20047.160771235,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,329,329,203.3500,202.9200,-141.47,0,0,0,-141.47,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,0,78000,--,51.2600,0,-3058.15,-130.11901,0,-3188.26901,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,176.7800,174.3100,-18055.7,0,0,0,-18055.7,
