Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 6, 2025"
Statement,Data,WhenGenerated,"2025-08-07, 01:27:47 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-107005156.12930918,6951919.367801623,-121763656.2384161,-114811736.87061448,-7806580.741305307
Net Asset Value,Data,Stock,209089519.48299003,218892796.81072003,0,218892796.81072003,9803277.32773
Net Asset Value,Data,Options,-1435716.91,4332376.33,-5793031.12,-1460654.79,-24937.88
Net Asset Value,Data,Interest Accruals,-15540.7484843,29291.9317924,-53351.8758052,-24059.9440128,-8519.1955285
Net Asset Value,Data,Dividend Accruals,302052.7216773,238988.2868539,0,238988.2868539,-63064.4348234
Net Asset Value,Data,Total,100935158.41687381,230445372.727168,-127610039.23422131,102835333.49294668,1900175.076072872
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.882570064%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,100935158.41687381
Change in NAV,Data,Mark-to-Market,1909720.624600811
Change in NAV,Data,Dividends,90145.99
Change in NAV,Data,Withholding Tax,-27043.79
Change in NAV,Data,Change in Dividend Accruals,-63102.2
Change in NAV,Data,Change in Interest Accruals,-8512.6443061
Change in NAV,Data,Commissions,-1064.11817612
Change in NAV,Data,Other FX Translations,31.2139542
Change in NAV,Data,Ending Value,102835333.49294668
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,28.9600,28.6800,-10700.76,0,0,0,-10700.76,
Mark-to-Market Performance Summary,Data,Stocks,1288,9241000,9241000,5.3800,5.2700,-129493.2089,0,0,0,-129493.2089,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,6.1600,6.1100,-30904.814,0,0,0,-30904.814,
Mark-to-Market Performance Summary,Data,Stocks,1810,120000,120000,54.3000,54.0000,-4586.04,0,0,0,-4586.04,
Mark-to-Market Performance Summary,Data,Stocks,2359,215000,215000,103.3000,104.6000,35605.505,0,0,0,35605.505,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.3600,25.4200,1337.595,0,0,0,1337.595,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,91.5200,91.3200,-4402.5984,0,0,0,-4402.5984,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.0200,22.2000,11465.1,0,0,0,11465.1,
Mark-to-Market Performance Summary,Data,Stocks,3067,1026000,1026000,11.6200,11.6600,5228.0856,0,0,0,5228.0856,
Mark-to-Market Performance Summary,Data,Stocks,388,33200,33200,423.4000,428.4000,21146.74,0,0,0,21146.74,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.4400,34.5800,1337.595,0,0,0,1337.595,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.6000,4.5300,-43159.732,0,0,0,-43159.732,
Mark-to-Market Performance Summary,Data,Stocks,700,30700,30700,559.0000,568.5000,37153.2935,0,0,0,37153.2935,
Mark-to-Market Performance Summary,Data,Stocks,762,3028000,3028000,9.6400,9.6900,19286.846,0,0,0,19286.846,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.3600,7.5000,13732.642,0,0,0,13732.642,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.6500,18.7600,2438.2446,0,0,0,2438.2446,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,45.4400,45.4000,-672.6192,0,0,0,-672.6192,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,489.0000,483.4000,-7847.224,0,0,0,-7847.224,
Mark-to-Market Performance Summary,Data,Stocks,A17U,615600,615600,2.7500,2.7200,-14367.36528,0,0,0,-14367.36528,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,329,329,202.9200,213.2500,3398.57,0,0,0,3398.57,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,78000,78000,51.2600,51.5900,25740,0,0,0,25740,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,0,174.3100,163.1200,-81798.9,-29526.0061,-18.13915428,0,-111343.04525428,
