Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 7, 2025"
Statement,Data,WhenGenerated,"2025-08-08, 01:51:15 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-114811736.87061448,6951996.674516818,-109883751.12951441,-102931754.4549976,11879982.415616885
Net Asset Value,Data,Stock,218892796.81072003,209402196.49482,0,209402196.49482,-9490600.315900028
Net Asset Value,Data,Options,-1460654.79,8340922.94,-12218589.16,-3877666.22,-2417011.43
Net Asset Value,Data,Interest Accruals,-24059.9440128,41507.428082,-76853.1483708,-35345.7202888,-11285.776276
Net Asset Value,Data,Dividend Accruals,238988.2868539,239902.2247091,0,239902.2247091,913.9378552
Net Asset Value,Data,Total,102835333.49294668,224976525.7621279,-122179193.43788521,102797332.3242427,-38001.168703988
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.036953416%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102835333.49294668
Change in NAV,Data,Mark-to-Market,-17273.63162557
Change in NAV,Data,Change in Dividend Accruals,876.72
Change in NAV,Data,Change in Interest Accruals,-11280.308669
Change in NAV,Data,Commissions,-7987.987005907
Change in NAV,Data,Transaction Fees,-2367.711651619
Change in NAV,Data,Other FX Translations,31.7502482
Change in NAV,Data,Ending Value,102797332.3242427
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,28.6800,29.6000,35159.64,0,0,0,35159.64,
Mark-to-Market Performance Summary,Data,Stocks,1288,9241000,6931000,5.2700,5.3900,141265.3188,0,-2594.388344677,0,138670.930455323,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,6.1100,6.2000,55628.6652,0,0,0,55628.6652,
Mark-to-Market Performance Summary,Data,Stocks,1810,120000,120000,54.0000,51.8500,-32866.62,0,0,0,-32866.62,
Mark-to-Market Performance Summary,Data,Stocks,2359,215000,268800,104.6000,100.1000,-123249.825,50.31905,-1133.183170947,0,-124332.689120947,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.4200,25.5600,3121.055,0,0,0,3121.055,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,91.3200,91.9200,13207.7952,0,0,0,13207.7952,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.2000,22.5000,19108.5,0,0,0,19108.5,
Mark-to-Market Performance Summary,Data,Stocks,3067,1026000,1026000,11.6600,11.6600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,388,33200,33200,428.4000,431.6000,13533.9136,0,0,0,13533.9136,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.5800,34.6000,191.085,0,0,0,191.085,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.5300,4.5900,36994.056,0,0,0,36994.056,
Mark-to-Market Performance Summary,Data,Stocks,700,30700,30700,568.5000,567.0000,-5866.3095,0,0,0,-5866.3095,
Mark-to-Market Performance Summary,Data,Stocks,762,3028000,3028000,9.6900,9.6800,-3857.3692,0,0,0,-3857.3692,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5000,7.5700,6866.321,0,0,0,6866.321,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.7600,18.8000,886.6344,0,0,0,886.6344,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,45.4000,46.4200,17151.7896,0,0,0,17151.7896,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,483.4000,493.2000,13732.642,0,0,0,13732.642,
Mark-to-Market Performance Summary,Data,Stocks,A17U,615600,615600,2.7200,2.7300,4797.49392,0,0,0,4797.49392,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,329,329,213.2500,220.0300,2230.62,0,0,0,2230.62,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,78000,78000,51.5900,53.0000,109980,0,0,0,109980,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,390.5700,437.3400,1262.79,0,0,0,1262.79,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,263.1000,259.6100,-5137.28,0,0,0,-5137.28,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,5791,5791,69.9700,70.5400,3300.87,0,0,0,3300.87,
Mark-to-Market Performance Summary,Data,Stocks,BABA,5986,5986,120.8600,120.9600,598.6,0,0,0,598.6,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,1000,1000,38.4700,41.2800,2810,0,0,0,2810,
Mark-to-Market Performance Summary,Data,Stocks,BN4,194400,194400,8.5400,8.6500,16664.97888,0,0,0,16664.97888,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,2564,2564,179.7400,179.5300,-538.44,0,0,0,-538.44,
Mark-to-Market Performance Summary,Data,Stocks,C6L,43000,43000,6.7900,6.8300,1340.4304,0,0,0,1340.4304,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,338.4600,336.4100,-5319.75,0,0,0,-5319.75,
Mark-to-Market Performance Summary,Data,Stocks,CME,3904,3904,281.3500,280.9500,-1561.6,0,0,0,-1561.6,
Mark-to-Market Performance Summary,Data,Stocks,COIN,239,239,303.5800,310.7900,1723.19,0,0,0,1723.19,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,825,825,161.7100,152.9300,-7243.5,0,0,0,-7243.5,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,855,855,451.6900,425.0000,-22819.95,0,0,0,-22819.95,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,11471,11471,69.2100,69.9000,7914.99,0,0,0,7914.99,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,3481,3481,224.2800,223.4000,-3063.28,0,0,0,-3063.28,
Mark-to-Market Performance Summary,Data,Stocks,CVX,4083,4083,152.7800,153.1600,1551.54,0,0,0,1551.54,
Mark-to-Market Performance Summary,Data,Stocks,D05,104300,2000,48.8500,49.7500,73154.7684,7260.92444,-3719.244312052,0,76696.448527948,
Mark-to-Market Performance Summary,Data,Stocks,DAX,4753,4753,44.4200,44.9100,2328.97,0,0,0,2328.97,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,57,57,136.9600,136.3800,-33.06,0,0,0,-33.06,
Mark-to-Market Performance Summary,Data,Stocks,DE,200,200,509.6400,506.6400,-600,0,0,0,-600,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,839,839,13.9200,13.4600,-385.94,0,0,0,-385.94,
Mark-to-Market Performance Summary,Data,Stocks,DG,10841,10841,113.3200,115.6300,25042.71,0,0,0,25042.71,
Mark-to-Market Performance Summary,Data,Stocks,EBND,236430,236430,21.1700,21.2100,9457.2,0,0,0,9457.2,
Mark-to-Market Performance Summary,Data,Stocks,EFA,6645,6645,89.0200,89.8200,5316,0,0,0,5316,
Mark-to-Market Performance Summary,Data,Stocks,EMR,6219,6219,133.9300,132.8300,-6840.9,0,0,0,-6840.9,
Mark-to-Market Performance Summary,Data,Stocks,ETN,1124,1124,358.1600,360.1600,2248,0,0,0,2248,
Mark-to-Market Performance Summary,Data,Stocks,EWW,11570,11570,60.7600,61.6500,10297.3,0,0,0,10297.3,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,29190,29190,27.4500,28.0500,17514,0,0,0,17514,
Mark-to-Market Performance Summary,Data,Stocks,FXE,23700,23700,107.5400,107.5000,-948,0,0,0,-948,
Mark-to-Market Performance Summary,Data,Stocks,FXY,40800,40800,62.5700,62.5900,816,0,0,0,816,
Mark-to-Market Performance Summary,Data,Stocks,GE,1519,1519,272.2800,272.0200,-394.94,0,0,0,-394.94,
Mark-to-Market Performance Summary,Data,Stocks,GEV,1417,1417,664.5500,645.8600,-26483.73,0,0,0,-26483.73,
Mark-to-Market Performance Summary,Data,Stocks,HD,2152,2152,386.8000,386.1700,-1355.76,0,0,0,-1355.76,
Mark-to-Market Performance Summary,Data,Stocks,HO,1231,1231,238.5000,231.2000,-10483.41758,0,0,0,-10483.41758,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,178897,178897,33.6200,33.8900,48302.19,0,0,0,48302.19,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,12778,12778,65.5100,66.8300,16866.96,0,0,0,16866.96,
Mark-to-Market Performance Summary,Data,Stocks,IBM,2066,2066,252.2800,250.1600,-4379.92,0,0,0,-4379.92,
Mark-to-Market Performance Summary,Data,Stocks,ICE,2829,2829,188.0500,188.0200,-84.87,0,0,0,-84.87,
Mark-to-Market Performance Summary,Data,Stocks,JPIB,134697,134697,48.6500,48.6800,4040.91,0,0,0,4040.91,
Mark-to-Market Performance Summary,Data,Stocks,LLY,7500,7500,746.3700,640.8600,-791325,0,0,0,-791325,
Mark-to-Market Performance Summary,Data,Stocks,MCD,7945,7945,307.6600,307.9100,1986.25,0,0,0,1986.25,
Mark-to-Market Performance Summary,Data,Stocks,ME8U,1317600,1317600,2.0000,2.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,MELI,964,964,"2,317.2200","2,334.8200",16966.4,0,0,0,16966.4,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,11119,11119,96.5600,96.4500,-1223.09,0,0,0,-1223.09,
Mark-to-Market Performance Summary,Data,Stocks,NOC,957,957,589.2900,587.3800,-1827.87,0,0,0,-1827.87,
Mark-to-Market Performance Summary,Data,Stocks,NOW,19,19,912.3100,874.1200,-725.61,0,0,0,-725.61,
Mark-to-Market Performance Summary,Data,Stocks,NTDU,813200,813200,0.9400,0.9400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,7733,7733,179.4200,180.7700,10439.55,0,0,0,10439.55,
Mark-to-Market Performance Summary,Data,Stocks,NVO,3567,3567,45.3800,48.7600,12056.46,0,0,0,12056.46,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2238,2238,172.8900,168.1000,-10720.02,0,0,0,-10720.02,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,4890,4890,179.5400,182.2000,13007.4,0,0,0,13007.4,
Mark-to-Market Performance Summary,Data,Stocks,PM,14081,14081,166.9900,168.1700,16615.58,0,0,0,16615.58,
Mark-to-Market Performance Summary,Data,Stocks,PONY,14008,14008,14.4000,14.9400,7564.32,0,0,0,7564.32,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,19,19,567.3200,569.2400,36.48,0,0,0,36.48,
Mark-to-Market Performance Summary,Data,Stocks,RHMd,183,183,"1,783.5000","1,641.0000",-30422.0115,0,0,0,-30422.0115,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5589,5589,155.7500,155.7600,55.89,0,0,0,55.89,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,427335,427335,100.4300,100.4300,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,SHOP,10800,10800,154.9000,151.0700,-41364,0,0,0,-41364,
Mark-to-Market Performance Summary,Data,Stocks,SHYG,54234,54234,42.9200,42.9000,-1084.68,0,0,0,-1084.68,
Mark-to-Market Performance Summary,Data,Stocks,SPLV,262,262,73.1700,73.4500,73.36,0,0,0,73.36,
Mark-to-Market Performance Summary,Data,Stocks,SPMO,42,42,116.3900,116.3800,-0.42,0,0,0,-0.42,
Mark-to-Market Performance Summary,Data,Stocks,SPXL,100,100,183.7600,183.4300,-33,0,0,0,-33,
Mark-to-Market Performance Summary,Data,Stocks,STZ,241,241,169.1600,173.2200,978.46,0,0,0,978.46,
Mark-to-Market Performance Summary,Data,Stocks,TLT,260000,260000,87.8200,87.6700,-39000,0,0,0,-39000,
