Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 8, 2025"
Statement,Data,WhenGenerated,"2025-08-10, 21:21:08 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-102931754.4549976,24434909.372739688,-38033349.0001449,-13598439.627405211,89333314.82759239
Net Asset Value,Data,Stock,209402196.49482,119268248.61705999,0,119268248.61705999,-90133947.87776001
Net Asset Value,Data,Options,-3877666.22,5549109.44,-8598875.520000001,-3049766.080000001,827900.139999999
Net Asset Value,Data,Interest Accruals,-35345.7202888,54824.2096385,-102558.1402234,-47733.9305849,-12388.2102961
Net Asset Value,Data,Dividend Accruals,239902.2247091,252330.7035146,0,252330.7035146,12428.4788055
Net Asset Value,Data,Total,102797332.3242427,149559422.3429528,-46734782.6603683,102824639.6825845,27307.358341798
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.026564268%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102797332.3242427
Change in NAV,Data,Mark-to-Market,32290.720143721
Change in NAV,Data,Change in Dividend Accruals,12465.423
Change in NAV,Data,Change in Interest Accruals,-12395.533822
Change in NAV,Data,Commissions,-3692.384818034
Change in NAV,Data,Transaction Fees,-1331.245493224
Change in NAV,Data,Other FX Translations,-29.6206686
Change in NAV,Data,Ending Value,102824639.6825845
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,29.6000,29.7800,6879.06,0,0,0,6879.06,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.3900,5.3900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,6.2000,6.1600,-24723.8512,0,0,0,-24723.8512,
Mark-to-Market Performance Summary,Data,Stocks,1810,120000,120000,51.8500,51.2500,-9172.08,0,0,0,-9172.08,
Mark-to-Market Performance Summary,Data,Stocks,2359,268800,268800,100.1000,99.1500,-32530.3104,0,0,0,-32530.3104,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,25.5600,25.3800,-4012.785,0,0,0,-4012.785,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,91.9200,91.1600,-16729.87392,0,0,0,-16729.87392,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.5000,23.0600,35669.2,0,0,0,35669.2,
Mark-to-Market Performance Summary,Data,Stocks,3067,1026000,1026000,11.6600,11.5200,-18298.2996,0,0,0,-18298.2996,
Mark-to-Market Performance Summary,Data,Stocks,3750,0,14800,--,407.0000,0,-448.4128,-1253.645530134,0,-1702.058330134,
Mark-to-Market Performance Summary,Data,Stocks,388,33200,33200,431.6000,427.4000,-17763.2616,0,0,0,-17763.2616,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.6000,33.6200,-9363.165,0,0,0,-9363.165,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.5900,4.5700,-12331.352,0,0,0,-12331.352,
Mark-to-Market Performance Summary,Data,Stocks,700,30700,38000,567.0000,561.0000,-23465.238,1484.0935,-848.474540785,0,-22829.619040785,
Mark-to-Market Performance Summary,Data,Stocks,762,3028000,3028000,9.6800,9.9100,88719.4916,0,0,0,88719.4916,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5700,7.5700,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.8000,18.7000,-2216.586,0,0,0,-2216.586,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.4200,46.5200,1681.548,0,0,0,1681.548,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,493.2000,482.0000,-15694.448,0,0,0,-15694.448,
Mark-to-Market Performance Summary,Data,Stocks,A17U,615600,615600,2.7300,2.7200,-4789.18332,0,0,0,-4789.18332,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,329,29,220.0300,229.3500,3066.28,72,-0.17673075,0,3138.10326925,
