Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 12, 2025"
Statement,Data,WhenGenerated,"2025-08-13, 01:24:34 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,2763012.185079917,31445780.609309252,-29496650.05491394,1949130.554395311,-813881.630684607
Net Asset Value,Data,Stock,105147069.28038,105785120.58819,0,105785120.58819,638051.307810009
Net Asset Value,Data,Options,-5340786.08,9617011.36,-15302035.079999998,-5685023.719999999,-344237.639999999
Net Asset Value,Data,Interest Accruals,-82552.4078895,98763.5407451,-180756.4286005,-81992.8878554,559.5200341
Net Asset Value,Data,Dividend Accruals,279292.6025311,281486.4430095,0,281486.4430095,2193.8404784
Net Asset Value,Data,Total,102766035.58010152,147228162.54125383,-44979441.563514434,102248720.9777394,-517314.602362126
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.503390638%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102766035.58010152
Change in NAV,Data,Mark-to-Market,-517019.07432386
Change in NAV,Data,Change in Dividend Accruals,2010.0576729
Change in NAV,Data,Change in Interest Accruals,583.8133022
Change in NAV,Data,Commissions,-3048.88855073
Change in NAV,Data,Other FX Translations,159.4895374
Change in NAV,Data,Ending Value,102248720.9777394
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,150000,150000,30.3400,31.0600,13758.12,0,0,0,13758.12,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.3800,5.4700,79464.6081,0,0,0,79464.6081,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,6.0800,6.1000,12361.9256,0,0,0,12361.9256,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,50.8000,51.7000,6879.06,0,0,0,6879.06,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,101.5000,100.1000,-11984.8512,0,0,0,-11984.8512,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.4000,25.4800,891.73,0,0,0,891.73,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,90.9200,91.2400,3522.07872,0,0,0,3522.07872,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,22.8600,22.8800,636.95,0,0,0,636.95,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.5100,11.4800,-1960.5321,0,0,0,-1960.5321,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,416.4000,415.8000,-1131.2232,0,0,0,-1131.2232,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,430.6000,430.0000,-1268.8044,0,0,0,-1268.8044,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.5400,4.5500,6165.676,0,0,0,6165.676,
Mark-to-Market Performance Summary,Data,Stocks,700,19000,19000,561.0000,559.5000,-3630.615,0,0,0,-3630.615,
Mark-to-Market Performance Summary,Data,Stocks,762,4542000,4542000,10.1100,10.1900,46288.4304,0,0,0,46288.4304,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5400,7.6700,12751.739,0,0,0,12751.739,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.5600,18.7900,5098.1478,0,0,0,5098.1478,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.5000,47.0200,8744.0496,0,0,0,8744.0496,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,471.0000,472.4000,1961.806,0,0,0,1961.806,
Mark-to-Market Performance Summary,Data,Stocks,A17U,615600,615600,2.7000,2.6800,-9596.09592,0,0,0,-9596.09592,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,227.1800,229.6500,71.63,0,0,0,71.63,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,39000,39000,50.9400,51.5200,22620,0,0,0,22620,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,465.5800,467.0000,38.34,0,0,0,38.34,
