Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 13, 2025"
Statement,Data,WhenGenerated,"2025-08-14, 01:17:44 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,1949130.554395311,31282909.833151184,-23869111.735720105,7413798.097431079,5464667.543035768
Net Asset Value,Data,Stock,105785120.58819,101067225.34653999,0,101067225.34653999,-4717895.241650015
Net Asset Value,Data,Options,-5685023.719999999,9602075.92,-15330747.42,-5728671.5,-43647.780000001
Net Asset Value,Data,Interest Accruals,-81992.8878554,107368.3205797,-188159.3169791,-80790.9963994,1201.891456
Net Asset Value,Data,Dividend Accruals,281486.4430095,281669.221786,0,281669.221786,182.7787765
Net Asset Value,Data,Total,102248720.9777394,142341248.64205685,-39388018.47269921,102953230.16935764,704509.191618249
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.689015163%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102248720.9777394
Change in NAV,Data,Mark-to-Market,704879.33481039
Change in NAV,Data,Change in Dividend Accruals,57.5076677
Change in NAV,Data,Change in Interest Accruals,1219.12789
Change in NAV,Data,Commissions,-1754.81342464
Change in NAV,Data,Other FX Translations,108.0346748
Change in NAV,Data,Ending Value,102953230.16935764
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,150000,150000,31.0600,31.8000,14140.29,0,0,0,14140.29,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.4700,5.5400,61805.8063,0,0,0,61805.8063,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,6.1000,6.1600,37085.7768,0,0,0,37085.7768,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,51.7000,53.2500,11847.27,0,0,0,11847.27,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,100.1000,106.3000,53075.7696,0,0,0,53075.7696,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.4800,26.0800,6687.975,0,0,0,6687.975,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,91.2400,93.7600,27736.36992,0,0,0,27736.36992,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,22.8800,23.7000,26114.95,0,0,0,26114.95,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.4800,11.8500,24179.8959,0,0,0,24179.8959,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,415.8000,422.6000,12820.5296,0,0,0,12820.5296,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,430.0000,439.8000,20723.8052,0,0,0,20723.8052,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.5500,4.6000,30828.38,0,0,0,30828.38,
Mark-to-Market Performance Summary,Data,Stocks,700,19000,19000,559.5000,586.0000,64140.865,0,0,0,64140.865,
Mark-to-Market Performance Summary,Data,Stocks,762,4542000,4542000,10.1900,10.2600,40502.3766,0,0,0,40502.3766,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.6700,7.7000,2942.709,0,0,0,2942.709,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.7900,19.0100,4876.4892,0,0,0,4876.4892,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,47.0200,47.8600,14125.0032,0,0,0,14125.0032,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,472.4000,484.6000,17095.738,0,0,0,17095.738,
Mark-to-Market Performance Summary,Data,Stocks,A17U,615600,615600,2.6800,2.7300,24041.6424,0,0,0,24041.6424,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,229.6500,233.3300,106.72,0,0,0,106.72,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,39000,39000,51.5200,53.3400,70980,0,0,0,70980,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,467.0000,446.4000,-556.2,0,0,0,-556.2,
