Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 18, 2025"
Statement,Data,WhenGenerated,"2025-08-19, 02:21:57 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,1209869.920512021,25146613.071653042,-24434875.349588137,711737.722064905,-498132.198447116
Net Asset Value,Data,Stock,106490588.18083,106587209.46886,0,106587209.46886,96621.288029999
Net Asset Value,Data,Options,-5945286.300999999,9684749.521499999,-15548666.67,-5863917.148500001,81369.152499998
Net Asset Value,Data,Interest Accruals,-76945.7371199,146321.1739489,-218153.8795489,-71832.7056,5113.0315199
Net Asset Value,Data,Dividend Accruals,305609.1043702,306608.4008407,0,306608.4008407,999.2964705
Net Asset Value,Data,Total,101983835.16759232,141871501.63680264,-40201695.899137035,101669805.73766561,-314029.429926708
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.307920789%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,101983835.16759232
Change in NAV,Data,Mark-to-Market,-319627.71150799
Change in NAV,Data,Dividends,354.25
Change in NAV,Data,Withholding Tax,-106.28
Change in NAV,Data,Change in Dividend Accruals,928.88
Change in NAV,Data,Change in Interest Accruals,5113.5210756
Change in NAV,Data,Commissions,-296.828644334
Change in NAV,Data,Transaction Fees,-465.18776479
Change in NAV,Data,Other FX Translations,69.9269148
Change in NAV,Data,Ending Value,101669805.73766561
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,150000,188000,33.1000,32.1000,-19180.5,-1378.4386,-263.101943904,0,-20822.040543904,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.4100,5.3700,-35450.6788,0,0,0,-35450.6788,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,5.9600,5.8800,-49634.0192,0,0,0,-49634.0192,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,52.8500,53.0500,1534.44,0,0,0,1534.44,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,107.6000,106.5000,-9452.1504,0,0,0,-9452.1504,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.8000,25.6600,-1566.4075,0,0,0,-1566.4075,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,92.4000,92.4000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,24.1000,23.4800,-19819.85,0,0,0,-19819.85,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.6900,11.7600,4591.8117,0,0,0,4591.8117,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,415.8000,414.0000,-3406.4568,0,0,0,-3406.4568,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,439.4000,439.6000,424.5284,0,0,0,424.5284,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.4500,4.3900,-37133.448,0,0,0,-37133.448,
Mark-to-Market Performance Summary,Data,Stocks,700,19000,22800,592.0000,587.0000,-12147.65,-1483.292,-467.858351478,0,-14098.800351478,
Mark-to-Market Performance Summary,Data,Stocks,762,4542000,4542000,10.1900,10.2200,17423.5662,0,0,0,17423.5662,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.6800,7.5100,-16738.183,0,0,0,-16738.183,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.9000,18.5900,-6897.3078,0,0,0,-6897.3078,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.6800,46.4000,-4726.0752,0,0,0,-4726.0752,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,489.0000,497.8000,12377.816,0,0,0,12377.816,
Mark-to-Market Performance Summary,Data,Stocks,A17U,738700,753500,2.6900,2.6800,-5751.07498,-130.79472,-29.026113742,0,-5910.895813742,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,231.5900,230.8900,-20.3,0,0,0,-20.3,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,1000,1000,51.7600,51.9900,230,0,0,0,230,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,438.6800,438.5400,-3.78,0,0,0,-3.78,
Mark-to-Market Performance Summary,Data,Stocks,ARKK,26000,26000,77.0100,77.1100,2600,0,0,0,2600,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,246.6500,247.1300,706.56,0,0,0,706.56,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,5791,5791,71.2300,71.6700,2548.04,0,0,0,2548.04,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6,6,121.2600,121.4000,0.84,0,0,0,0.84,
Mark-to-Market Performance Summary,Data,Stocks,BLSH,12600,12600,69.5400,63.3700,-77742,0,0,0,-77742,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,200,200,57.8100,54.8700,-588,0,0,0,-588,
Mark-to-Market Performance Summary,Data,Stocks,BN4,194400,194400,8.4500,8.2700,-27242.67168,0,0,0,-27242.67168,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,2564,2564,173.5000,170.9400,-6563.84,0,0,0,-6563.84,
Mark-to-Market Performance Summary,Data,Stocks,C6L,43000,43000,6.5900,6.5600,-1004.3166,0,0,0,-1004.3166,
Mark-to-Market Performance Summary,Data,Stocks,CACI,10000,10000,488.7100,486.2200,-24900,0,0,0,-24900,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,322.2300,322.7700,1401.3,0,0,0,1401.3,
Mark-to-Market Performance Summary,Data,Stocks,CME,1900,1900,273.9200,270.4100,-6669,0,0,0,-6669,
Mark-to-Market Performance Summary,Data,Stocks,COIN,39,39,317.5500,320.7300,124.02,0,0,0,124.02,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,25,25,149.2600,141.5800,-192,0,0,0,-192,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,5,5,427.9000,426.3400,-7.8,0,0,0,-7.8,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,100,100,66.2000,66.9500,75,0,0,0,75,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,3481,3481,216.5500,214.2800,-7901.87,0,0,0,-7901.87,
Mark-to-Market Performance Summary,Data,Stocks,CVX,4083,4083,156.5500,155.3200,-5022.09,0,0,0,-5022.09,
Mark-to-Market Performance Summary,Data,Stocks,D05,1000,1000,49.9000,49.6000,-233.562,0,0,0,-233.562,
Mark-to-Market Performance Summary,Data,Stocks,DAX,4653,4653,45.3800,45.2500,-604.89,0,0,0,-604.89,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,57,57,127.2500,129.0700,103.74,0,0,0,103.74,
Mark-to-Market Performance Summary,Data,Stocks,DE,10,10,488.8000,491.1300,23.3,0,0,0,23.3,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,839,839,18.6900,18.0500,-536.96,0,0,0,-536.96,
Mark-to-Market Performance Summary,Data,Stocks,DG,10841,10841,112.7700,112.3000,-5095.27,0,0,0,-5095.27,
Mark-to-Market Performance Summary,Data,Stocks,EFA,5,5,92.1900,92.0900,-0.5,0,0,0,-0.5,
Mark-to-Market Performance Summary,Data,Stocks,EMR,6219,6219,131.7500,131.8300,497.52,0,0,0,497.52,
Mark-to-Market Performance Summary,Data,Stocks,ETN,1124,1124,351.0300,353.5000,2776.28,0,0,0,2776.28,
Mark-to-Market Performance Summary,Data,Stocks,EWW,11297,11297,61.3400,61.1900,-1694.55,0,0,0,-1694.55,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,10,10,28.2000,28.2900,0.9,0,0,0,0.9,
Mark-to-Market Performance Summary,Data,Stocks,FXE,23700,23700,107.9600,107.6500,-7347,0,0,0,-7347,
Mark-to-Market Performance Summary,Data,Stocks,FXY,40800,40800,62.5400,62.2700,-11016,0,0,0,-11016,
Mark-to-Market Performance Summary,Data,Stocks,GE,1519,1519,267.8500,268.4500,911.4,0,0,0,911.4,
Mark-to-Market Performance Summary,Data,Stocks,GEV,100,100,621.9100,625.0200,311,0,0,247.97,558.97,
Mark-to-Market Performance Summary,Data,Stocks,HD,100,100,399.3800,394.7000,-468,0,0,0,-468,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,250697,250697,33.3000,33.2500,-12534.85,0,0,0,-12534.85,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,12778,12778,66.4400,66.0500,-4983.42,0,0,0,-4983.42,
Mark-to-Market Performance Summary,Data,Stocks,IBM,500,500,239.7200,239.4500,-135,0,0,0,-135,
Mark-to-Market Performance Summary,Data,Stocks,ICE,2829,2829,181.2000,177.9400,-9222.54,0,0,0,-9222.54,
Mark-to-Market Performance Summary,Data,Stocks,LLY,3800,3800,701.2300,698.0500,-12084,0,0,0,-12084,
Mark-to-Market Performance Summary,Data,Stocks,ME8U,1581100,1581100,1.9900,2.0000,12309.49594,0,0,0,12309.49594,
Mark-to-Market Performance Summary,Data,Stocks,MELI,1,1,"2,392.3000","2,364.0100",-28.29,0,0,0,-28.29,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,11119,11119,94.6800,94.3400,-3780.46,0,0,0,-3780.46,
Mark-to-Market Performance Summary,Data,Stocks,NOC,957,957,583.9600,584.8200,823.02,0,0,0,823.02,
Mark-to-Market Performance Summary,Data,Stocks,NOW,9,9,867.2400,892.0500,223.29,0,0,0,223.29,
Mark-to-Market Performance Summary,Data,Stocks,NTDU,813200,813200,0.9350,0.9450,8132,0,0,0,8132,
Mark-to-Market Performance Summary,Data,Stocks,NUE,13100,13100,145.4100,144.6500,-9956,0,0,0,-9956,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,33,33,180.4500,182.0100,51.48,0,0,0,51.48,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2238,2238,177.0900,176.1700,-2058.96,0,0,0,-2058.96,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,100,100,177.1700,174.0300,-314,0,0,0,-314,
Mark-to-Market Performance Summary,Data,Stocks,PM,15381,15381,166.1900,166.6000,6306.21,0,0,0,6306.21,
Mark-to-Market Performance Summary,Data,Stocks,PONY,100,100,15.8600,16.0300,17,0,0,0,17,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,19,19,577.3400,577.1100,-4.37,0,0,0,-4.37,
Mark-to-Market Performance Summary,Data,Stocks,RTX,8089,8089,154.0900,155.5000,11405.49,0,0,0,11405.49,
Mark-to-Market Performance Summary,Data,Stocks,S68,25200,25200,16.1600,16.2000,784.76832,0,0,0,784.76832,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,237605,237605,100.5500,100.5800,7128.15,0,0,0,7128.15,
