Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 19, 2025"
Statement,Data,WhenGenerated,"2025-08-20, 02:30:40 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,711737.722064905,25146870.334584307,-24501656.085579723,645214.249004584,-66523.473060321
Net Asset Value,Data,Stock,106587209.46886,106327672.90651,0,106327672.90651,-259536.562350005
Net Asset Value,Data,Options,-5863917.148500001,8263898.697,-14024250.058,-5760351.361,103565.787500001
Net Asset Value,Data,Interest Accruals,-71832.7056,153751.2027374,-225194.0606871,-71442.8579497,389.8476503
Net Asset Value,Data,Dividend Accruals,306608.4008407,312061.0129738,0,312061.0129738,5452.6121331
Net Asset Value,Data,Total,101669805.73766561,140204254.1538055,-38751100.204266824,101453153.94953868,-216651.788126931
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.21309354%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,101669805.73766561
Change in NAV,Data,Mark-to-Market,-222494.24791033
Change in NAV,Data,Change in Dividend Accruals,4887.35
Change in NAV,Data,Change in Interest Accruals,447.2467166
Change in NAV,Data,Other FX Translations,507.8630668
Change in NAV,Data,Ending Value,101453153.94953868
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,32.1000,31.5600,-13016.8944,0,0,0,-13016.8944,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.3700,5.4100,35547.7128,0,0,0,35547.7128,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,5.8800,5.8800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,53.0500,52.4000,-5000.58,0,0,0,-5000.58,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,106.5000,101.0000,-47390.112,0,0,0,-47390.112,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.6600,25.6200,-448.77,0,0,0,-448.77,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,92.4000,92.0600,-3766.59072,0,0,0,-3766.59072,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,23.4800,23.1200,-11539.8,0,0,0,-11539.8,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.7600,11.6800,-5262.1488,0,0,0,-5262.1488,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,414.0000,404.8000,-17458.4352,0,0,0,-17458.4352,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,439.6000,433.8000,-12345.0216,0,0,0,-12345.0216,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.3900,4.3900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,22800,22800,587.0000,592.5000,16078.788,0,0,0,16078.788,
Mark-to-Market Performance Summary,Data,Stocks,762,4542000,4542000,10.2200,10.1200,-58237.524,0,0,0,-58237.524,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5100,7.4700,-3949.176,0,0,0,-3949.176,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.5900,18.5600,-669.3084,0,0,0,-669.3084,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.4000,47.1000,11847.528,0,0,0,11847.528,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,497.8000,505.0000,10155.024,0,0,0,10155.024,
Mark-to-Market Performance Summary,Data,Stocks,A17U,753500,753500,2.6800,2.7000,11726.4191,0,0,0,11726.4191,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,230.8900,230.5600,-9.57,0,0,0,-9.57,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,1000,1000,51.9900,49.7300,-2260,0,0,0,-2260,
