Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 20, 2025"
Statement,Data,WhenGenerated,"2025-08-21, 02:02:32 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,645214.249004584,2417657.966540129,-189848.973511765,2227808.993028364,1582594.74402378
Net Asset Value,Data,Stock,106327672.90651,105606104.47362,0,105606104.47362,-721568.432889998
Net Asset Value,Data,Options,-5760351.361,8346328.4,-14416307.469999999,-6069979.069999998,-309627.708999998
Net Asset Value,Data,Interest Accruals,-71442.8579497,161093.9030874,-232354.8113181,-71260.9082307,181.949719
Net Asset Value,Data,Dividend Accruals,312061.0129738,311673.1921092,0,311673.1921092,-387.8208646
Net Asset Value,Data,Total,101453153.94953868,116842857.93535674,-14838511.254829863,102004346.68052687,551192.73098819
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.543297778%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,101453153.94953868
Change in NAV,Data,Mark-to-Market,557123.33207931
Change in NAV,Data,Change in Interest Accruals,137.8244
Change in NAV,Data,Commissions,-2656.566034317
Change in NAV,Data,Transaction Fees,-3068.16391104
Change in NAV,Data,Other FX Translations,-343.6955456
Change in NAV,Data,Ending Value,102004346.68052687
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,31.5600,31.6200,1443.84,0,0,0,1443.84,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.4100,5.4600,44358.4,0,0,0,44358.4,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,5.8800,5.9300,31052.8,0,0,0,31052.8,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,52.4000,52.5500,1152,0,0,0,1152,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,101.0000,101.3000,2580.48,0,0,0,2580.48,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.6200,25.6600,448,0,0,0,448,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,92.0600,92.0800,221.184,0,0,0,221.184,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,23.1200,23.2600,4480,0,0,0,4480,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.6800,11.6500,-1969.92,0,0,0,-1969.92,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,404.8000,406.8000,3788.8,0,0,0,3788.8,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,433.8000,441.2000,15723.52,0,0,0,15723.52,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.3900,4.4300,24780.8,0,0,0,24780.8,
Mark-to-Market Performance Summary,Data,Stocks,700,22800,24000,592.5000,590.5000,-5836.8,134.4,-147.6651328,0,-5850.0651328,
Mark-to-Market Performance Summary,Data,Stocks,762,4542000,2270000,10.1200,10.0200,-58137.6,-26721.28,-4702.72491008,0,-89561.60491008,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,0,29300,--,393.0000,0,0,-25.577297965,0,-25.577297965,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.4700,7.4500,-1971.2,0,0,0,-1971.2,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.5600,18.6500,2004.48,0,0,0,2004.48,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,47.1000,47.1800,1351.68,0,0,0,1351.68,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,505.0000,500.5000,-6336,0,0,0,-6336,
Mark-to-Market Performance Summary,Data,Stocks,A17U,753500,753500,2.7000,2.6800,-11724.9121,0,0,0,-11724.9121,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,230.5600,226.0100,-131.95,0,0,0,-131.95,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,1000,1000,49.7300,51.4400,1710,0,0,0,1710,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,412.6000,412.3800,-5.94,0,0,0,-5.94,
Mark-to-Market Performance Summary,Data,Stocks,ARKK,26000,26900,74.0300,73.7800,-6500,737,-0.420829,0,-5763.420829,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,235.1800,232.2400,-4327.68,0,0,0,-4327.68,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,5791,5791,70.9300,70.7800,-868.65,0,0,0,-868.65,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6,6,119.9900,119.4900,-3,0,0,0,-3,
Mark-to-Market Performance Summary,Data,Stocks,BLSH,12600,12600,59.5100,62.8900,42588,0,0,0,42588,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,200,200,49.7800,52.0600,456,0,0,0,456,
Mark-to-Market Performance Summary,Data,Stocks,BN4,194400,194400,8.3500,8.3000,-7562.4516,0,0,0,-7562.4516,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,2564,2564,165.7600,163.5600,-5640.8,0,0,0,-5640.8,
Mark-to-Market Performance Summary,Data,Stocks,C6L,43000,43000,6.6000,6.6200,669.1058,0,0,0,669.1058,
Mark-to-Market Performance Summary,Data,Stocks,CACI,10000,10000,486.8500,486.6300,-2200,0,0,0,-2200,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,317.2350,314.2100,-7849.88,0,0,0,-7849.88,
Mark-to-Market Performance Summary,Data,Stocks,CME,1900,1900,271.4900,274.6100,5928,0,0,0,5928,
Mark-to-Market Performance Summary,Data,Stocks,COIN,39,39,302.0700,304.3900,90.48,0,0,0,90.48,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,25,25,135.2300,137.8100,64.5,0,0,0,64.5,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,5,5,418.6000,419.1700,2.85,0,0,0,2.85,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,100,100,66.7600,67.1100,35,0,0,0,35,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,3481,3481,216.4300,216.7300,1044.3,0,0,0,1044.3,
Mark-to-Market Performance Summary,Data,Stocks,CVX,4083,4083,152.0000,153.2200,4981.26,0,0,0,4981.26,
Mark-to-Market Performance Summary,Data,Stocks,D05,1000,1000,49.8600,50.0000,108.9242,0,0,0,108.9242,
Mark-to-Market Performance Summary,Data,Stocks,DAX,4653,4653,45.1700,45.0600,-511.83,0,0,0,-511.83,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,57,57,128.9900,128.4600,-30.21,0,0,0,-30.21,
Mark-to-Market Performance Summary,Data,Stocks,DE,10,10,489.4400,492.7200,32.8,0,0,0,32.8,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,839,839,15.5700,17.5850,1690.59,0,0,0,1690.59,
Mark-to-Market Performance Summary,Data,Stocks,DG,10841,10841,112.7800,114.8500,22440.87,0,0,0,22440.87,
Mark-to-Market Performance Summary,Data,Stocks,EFA,5,5,92.1000,92.4300,1.65,0,0,0,1.65,
Mark-to-Market Performance Summary,Data,Stocks,EMR,6219,6219,131.5900,130.8900,-4353.3,0,0,0,-4353.3,
Mark-to-Market Performance Summary,Data,Stocks,ETN,1124,1124,349.0000,346.2200,-3124.72,0,0,0,-3124.72,
Mark-to-Market Performance Summary,Data,Stocks,EWW,11297,11297,61.2500,61.1700,-903.76,0,0,0,-903.76,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,10,10,27.3600,27.6900,3.3,0,0,0,3.3,
Mark-to-Market Performance Summary,Data,Stocks,FXE,23700,23700,107.4600,107.5200,1422,0,0,0,1422,
Mark-to-Market Performance Summary,Data,Stocks,FXY,40800,40800,62.3900,62.4800,3672,0,0,0,3672,
Mark-to-Market Performance Summary,Data,Stocks,GE,1519,1519,265.9300,266.4400,774.69,0,0,0,774.69,
Mark-to-Market Performance Summary,Data,Stocks,GEV,100,100,603.1300,604.5900,146,0,0,0,146,
Mark-to-Market Performance Summary,Data,Stocks,HD,100,100,407.2000,401.7400,-546,0,0,0,-546,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,250697,250697,33.0600,33.4000,85236.98,0,0,0,85236.98,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,12778,12778,64.1900,64.9000,9072.38,0,0,0,9072.38,
Mark-to-Market Performance Summary,Data,Stocks,IBM,500,500,241.2800,242.5500,635,0,0,0,635,
Mark-to-Market Performance Summary,Data,Stocks,ICE,2829,2829,178.2700,181.3000,8571.87,0,0,0,8571.87,
Mark-to-Market Performance Summary,Data,Stocks,LLY,3800,3800,703.2100,705.4400,8474,0,0,0,8474,
Mark-to-Market Performance Summary,Data,Stocks,ME8U,1581100,1581100,2.0100,2.0100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,MELI,1,1,"2,342.9400","2,335.9800",-6.96,0,0,0,-6.96,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,11119,11119,93.8300,94.5000,7449.73,0,0,0,7449.73,
Mark-to-Market Performance Summary,Data,Stocks,NOC,957,957,586.2300,592.5400,6038.67,0,0,0,6038.67,
Mark-to-Market Performance Summary,Data,Stocks,NOW,9,9,886.7800,890.2500,31.23,0,0,0,31.23,
Mark-to-Market Performance Summary,Data,Stocks,NTDU,813200,813200,0.9450,0.9350,-8132,0,0,0,-8132,
Mark-to-Market Performance Summary,Data,Stocks,NUE,13100,13100,145.9100,143.4700,-31964,0,0,0,-31964,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,33,33,175.6400,175.4000,-7.92,0,0,0,-7.92,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2238,2238,181.5600,184.4300,6423.06,0,0,0,6423.06,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,100,100,157.7500,156.0100,-174,0,0,0,-174,
Mark-to-Market Performance Summary,Data,Stocks,PM,15381,15381,168.7700,172.8500,62754.48,0,0,0,62754.48,
Mark-to-Market Performance Summary,Data,Stocks,PONY,100,100,15.5900,14.8900,-70,0,0,0,-70,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,19,19,569.2800,565.9000,-64.22,0,0,0,-64.22,
Mark-to-Market Performance Summary,Data,Stocks,RTX,8089,8089,153.6600,156.5900,23700.77,0,0,0,23700.77,
Mark-to-Market Performance Summary,Data,Stocks,S68,25200,25500,16.2500,16.2800,588.19068,31.1212,-3.527575572,0,615.784304428,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,237605,237605,100.5800,100.6000,4752.1,0,0,0,4752.1,
Mark-to-Market Performance Summary,Data,Stocks,SHOP,100,100,139.2500,137.2900,-196,0,0,0,-196,
Mark-to-Market Performance Summary,Data,Stocks,SHYG,104,104,42.9600,42.9600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,SPLV,262,262,73.9000,74.4400,141.48,0,0,0,141.48,
Mark-to-Market Performance Summary,Data,Stocks,SPMO,17242,17842,115.6900,115.5200,-2931.14,313,-0.0538615,0,-2618.1938615,
Mark-to-Market Performance Summary,Data,Stocks,SPXL,100,100,189.2100,187.5300,-168,0,0,0,-168,
Mark-to-Market Performance Summary,Data,Stocks,SQQQ,0,86000,--,18.3300,0,6020,-240.870015,0,5779.129985,
Mark-to-Market Performance Summary,Data,Stocks,STZ,241,241,165.9000,166.3000,96.4,0,0,0,96.4,
Mark-to-Market Performance Summary,Data,Stocks,TQQQ,13901,14701,89.3400,87.7100,-22658.63,710.5,-0.35001875,0,-21948.48001875,
Mark-to-Market Performance Summary,Data,Stocks,TSM,100,100,232.7000,228.6000,-410,0,0,0,-410,
Mark-to-Market Performance Summary,Data,Stocks,U96,168100,168100,6.1000,6.0600,-5231.47372,0,0,0,-5231.47372,
