Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 21, 2025"
Statement,Data,WhenGenerated,"2025-08-22, 01:59:26 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,2227808.993028364,1587166.834875144,-333672.09518081,1253494.739694333,-974314.253334031
Net Asset Value,Data,Stock,105606104.47362,106695009.87853,0,106695009.87853,1088905.404909998
Net Asset Value,Data,Options,-6069979.069999998,8027856.822,-13991264.797,-5963407.975000001,106571.094999998
Net Asset Value,Data,Interest Accruals,-71260.9082307,169058.08136,-240758.8122681,-71700.7309081,-439.8226774
Net Asset Value,Data,Dividend Accruals,311673.1921092,288818.0668122,0,288818.0668122,-22855.125297
Net Asset Value,Data,Total,102004346.68052687,116767909.68357733,-14565695.70444891,102202213.97912842,197867.298601553
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.193979281%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102004346.68052687
Change in NAV,Data,Mark-to-Market,199457.2189752
Change in NAV,Data,Dividends,22624.3692
Change in NAV,Data,Change in Dividend Accruals,-22624.3692
Change in NAV,Data,Change in Interest Accruals,-470.4106562
Change in NAV,Data,Commissions,-919.341599037
Change in NAV,Data,Other FX Translations,-200.1681182
Change in NAV,Data,Ending Value,102202213.97912842
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,31.6200,31.6400,481.2048,0,0,0,481.2048,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.4600,5.5300,62092.0566,0,0,0,62092.0566,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,5.9300,5.9400,6209.5896,0,0,0,6209.5896,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,52.5500,51.3500,-9214.56,0,0,0,-9214.56,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,101.3000,102.4000,9460.2816,0,0,0,9460.2816,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.6600,25.6200,-447.93,0,0,0,-447.93,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,92.0800,91.8000,-3096.09216,0,0,0,-3096.09216,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,23.2600,22.9000,-11518.2,0,0,0,-11518.2,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.6500,11.5900,-3939.2244,0,0,0,-3939.2244,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,406.8000,406.0000,-1515.2832,0,0,0,-1515.2832,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,441.2000,442.2000,2124.468,0,0,0,2124.468,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.4300,4.4200,-6194.232,0,0,0,-6194.232,
Mark-to-Market Performance Summary,Data,Stocks,700,24000,24000,590.5000,593.0000,7678.8,0,0,0,7678.8,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,10.0200,10.3600,98774.964,0,0,0,98774.964,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,29300,29300,393.0000,398.0000,987.30745,0,0,0,987.30745,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,0,3800,--,"3,045.0000",0,-98.124208,-25.511142468,0,-123.635350468,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.4500,7.5500,9854.46,0,0,0,9854.46,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.6500,18.7600,2449.5372,0,0,0,2449.5372,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,47.1800,46.2400,-15879.7584,0,0,0,-15879.7584,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,500.5000,495.8000,-6616.566,0,0,0,-6616.566,
Mark-to-Market Performance Summary,Data,Stocks,A17U,753500,904200,2.6800,2.6700,-5846.18045,-806.9048,-292.961392617,0,-6946.046642617,
