Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 22, 2025"
Statement,Data,WhenGenerated,"2025-08-24, 22:41:44 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,1253494.739694333,444647.734820376,-88588786.99408615,-88144139.25926577,-89397633.9989601
Net Asset Value,Data,Stock,106695009.87853,194741326.8187,0,194741326.8187,88046316.94016999
Net Asset Value,Data,Options,-5963407.975000001,6793440.9985,-10911943.095,-4118502.096500001,1844905.8785
Net Asset Value,Data,Interest Accruals,-71700.7309081,176809.7789158,-249103.7828058,-72294.00389,-593.2729819
Net Asset Value,Data,Dividend Accruals,288818.0668122,288183.7599625,0,288183.7599625,-634.3068497
Net Asset Value,Data,Total,102202213.97912842,202444409.09089863,-99749833.87189195,102694575.21900669,492361.239878267
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.481752029%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102202213.97912842
Change in NAV,Data,Mark-to-Market,496165.52207084
Change in NAV,Data,Dividends,1202.84
Change in NAV,Data,Withholding Tax,-302.4
Change in NAV,Data,Change in Dividend Accruals,-900.44
Change in NAV,Data,Change in Interest Accruals,-538.1922866
Change in NAV,Data,Commissions,-3477.142360915
Change in NAV,Data,Other FX Translations,211.052455
Change in NAV,Data,Ending Value,102694575.21900669
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,31.6400,31.4600,-4330.5048,0,0,0,-4330.5048,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,6931000,5.5300,5.5000,-26608.8021,0,0,0,-26608.8021,
Mark-to-Market Performance Summary,Data,Stocks,1398,4852000,4852000,5.9400,5.9600,12418.2088,0,0,0,12418.2088,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,51.3500,52.5500,9213.84,0,0,0,9213.84,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,102.4000,103.2000,6879.6672,0,0,0,6879.6672,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.6200,25.8400,2463.4225,0,0,0,2463.4225,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,91.8000,92.8400,11498.87232,0,0,0,11498.87232,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,22.9000,22.8800,-639.85,0,0,0,-639.85,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.5900,11.8700,18381.6108,0,0,0,18381.6108,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,406.0000,418.0000,22727.472,0,0,0,22727.472,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,16600,442.2000,448.0000,12320.9516,0,0,0,12320.9516,
Mark-to-Market Performance Summary,Data,Stocks,3988,4840000,4840000,4.4200,4.4300,6193.748,0,0,0,6193.748,
Mark-to-Market Performance Summary,Data,Stocks,700,24000,24000,593.0000,600.0000,21498.96,0,0,0,21498.96,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,10.3600,10.4000,11619.676,0,0,0,11619.676,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,29300,29300,398.0000,403.0000,997.0497,0,0,0,997.0497,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,3800,3800,"3,045.0000","3,150.0000",2715.5142,0,0,0,2715.5142,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5500,7.5100,-3941.476,0,0,0,-3941.476,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.7600,18.7300,-668.0034,0,0,0,-668.0034,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.2400,46.4400,3378.408,0,0,0,3378.408,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,495.8000,505.0000,12950.564,0,0,0,12950.564,
Mark-to-Market Performance Summary,Data,Stocks,A17U,904200,904200,2.6700,2.6700,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,224.9000,227.7600,82.94,0,0,0,82.94,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,1000,1000,52.0000,54.1400,2140,0,0,0,2140,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,418.7600,441.6800,618.84,0,0,0,618.84,
Mark-to-Market Performance Summary,Data,Stocks,ARKK,30400,287200,73.5100,76.5200,91504.00000001,-11738.7051,-425.70340199,0,79339.59149802,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,235.0700,239.8400,7021.44,0,0,0,7021.44,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,5791,5791,70.7700,72.0900,7644.12,0,0,0,7644.12,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6,6,118.0900,122.9400,29.1,0,0,0,29.1,
Mark-to-Market Performance Summary,Data,Stocks,BLSH,16300,16300,69.8000,70.8200,16626,0,0,0,16626,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,200,200,47.7300,53.4900,1152,0,0,0,1152,
Mark-to-Market Performance Summary,Data,Stocks,BN4,194400,194400,8.3500,8.3600,1517.21424,0,0,0,1517.21424,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,2564,2564,165.3400,163.0900,-5769,0,0,0,-5769,
Mark-to-Market Performance Summary,Data,Stocks,C6L,43000,43000,6.6200,6.6300,335.5978,0,0,0,335.5978,
Mark-to-Market Performance Summary,Data,Stocks,CACI,10000,10000,486.0200,481.4200,-46000,0,0,0,-46000,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,312.5200,310.1600,-6124.2,0,0,0,-6124.2,
Mark-to-Market Performance Summary,Data,Stocks,CME,1900,1900,273.3200,269.5200,-7220,0,0,0,-7220,
