Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 27, 2025"
Statement,Data,WhenGenerated,"2025-08-28, 01:30:55 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-77623490.79327707,1788448.087496976,-80436531.55379237,-78648083.46629539,-1024592.673018321
Net Asset Value,Data,Stock,183901315.42603,185895359.70689,0,185895359.70689,1994044.280859977
Net Asset Value,Data,Options,-4420841.459999999,7661689.649999999,-13450363.413999999,-5788673.764,-1367832.304
Net Asset Value,Data,Interest Accruals,-84355.3652637,199559.3178418,-293988.8114608,-94429.493619,-10074.1283553
Net Asset Value,Data,Dividend Accruals,187294.1395184,47425.919712,0,47425.919712,-139868.2198064
Net Asset Value,Data,Total,101959921.94700763,195592482.68194076,-94180883.77925317,101411598.9026876,-548323.044320032
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.537782919%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,101959921.94700763
Change in NAV,Data,Mark-to-Market,-520877.50029282
Change in NAV,Data,Dividends,139968.194438
Change in NAV,Data,Withholding Tax,-10606.5739156
Change in NAV,Data,Change in Dividend Accruals,-139968.194438
Change in NAV,Data,Change in Interest Accruals,-10048.4352716
Change in NAV,Data,Commissions,-3113.483497321
Change in NAV,Data,Transaction Fees,-3751.332890591
Change in NAV,Data,Other FX Translations,74.2815479
Change in NAV,Data,Ending Value,101411598.9026876
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,31.1000,30.4000,-16902.704,0,0,0,-16902.704,
Mark-to-Market Performance Summary,Data,Stocks,1258,0,174000,--,9.6200,0,2241.278,-350.330581988,0,1890.947418012,
Mark-to-Market Performance Summary,Data,Stocks,1288,6931000,5198000,5.4200,5.2900,-115728.2932,-1627.3348,-1760.816365412,119330.5805224,214.136156988,
Mark-to-Market Performance Summary,Data,Stocks,1398,4826000,3620000,5.8500,5.7700,-49588.1152,-1548.9864,-1300.390923853,0,-52437.492523853,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,53.5000,53.2000,-2311.92,0,0,0,-2311.92,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,104.7000,102.0000,-23304.1536,0,0,0,-23304.1536,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,26.0200,25.7000,-3596.32,0,0,0,-3596.32,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,93.5000,92.3000,-13316.6592,0,0,0,-13316.6592,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,24.8000,24.7400,-1926.6,0,0,0,-1926.6,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,12.1800,12.0000,-11860.1496,0,0,0,-11860.1496,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,414.6000,410.2000,-8364.0128,0,0,0,-8364.0128,
Mark-to-Market Performance Summary,Data,Stocks,388,16600,22000,455.4000,447.6000,-16630.4112,-2070.4528,-505.012634901,0,-19205.876634901,
Mark-to-Market Performance Summary,Data,Stocks,3988,4046000,3876000,4.3300,4.3100,-10393.3648,0,-149.272826716,0,-10542.637626716,
Mark-to-Market Performance Summary,Data,Stocks,700,51200,63400,609.5000,599.0000,-69049.344,3198.156,-1338.062013652,0,-67189.250013652,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,10.0500,9.8000,-72889.7,0,0,0,-72889.7,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,29300,29300,397.0000,397.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,3800,3800,"3,105.0000","3,085.0000",-515.5764,0,0,0,-515.5764,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.4300,7.3900,-3955.952,0,0,0,-3955.952,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.9900,18.6400,-7821.996,0,0,0,-7821.996,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,46.9600,50.3000,56626.6272,0,0,0,56626.6272,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,512.5000,512.5000,0,0,0,0,0,
