Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 28, 2025"
Statement,Data,WhenGenerated,"2025-08-29, 01:21:47 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-78648083.46629539,1874160.483599988,-81315641.39705375,-79441480.91345376,-793397.447158366
Net Asset Value,Data,Stock,185895359.70689,188114337.2868,0,188114337.2868,2218977.57991001
Net Asset Value,Data,Options,-5788673.764,8464861.135,-15052017.115,-6587155.98,-798482.216000001
Net Asset Value,Data,Interest Accruals,-94429.493619,209997.5326601,-314990.0159962,-104992.4833361,-10562.9897171
Net Asset Value,Data,Dividend Accruals,47425.919712,47496.128032,0,47496.128032,70.20832
Net Asset Value,Data,Total,101411598.9026876,198710852.56609207,-96682648.52804995,102028204.03804213,616605.135354534
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.608022299%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,101411598.9026876
Change in NAV,Data,Mark-to-Market,628440.35833289
Change in NAV,Data,Change in Interest Accruals,-10572.691885
Change in NAV,Data,Commissions,-1171.599724856
Change in NAV,Data,Transaction Fees,-170.841856413
Change in NAV,Data,Other FX Translations,79.9104879
Change in NAV,Data,Ending Value,102028204.03804213
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,30.4000,30.4800,1929.632,0,0,0,1929.632,
Mark-to-Market Performance Summary,Data,Stocks,1258,174000,306000,9.6200,9.5600,-1339.452,1726.918,-234.672557486,0,152.793442514,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.2900,5.3000,6669.034,0,0,0,6669.034,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,5.7700,5.7900,9288.92,0,0,0,9288.92,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,53.2000,53.1000,-769.8,0,0,0,-769.8,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,102.0000,101.3000,-6035.232,0,0,0,-6035.232,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.7000,25.5000,-2245.25,0,0,0,-2245.25,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,92.3000,91.2400,-11750.2272,0,0,0,-11750.2272,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,250000,24.7400,24.6800,-1924.5,0,0,0,-1924.5,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,12.0000,11.9000,-6581.79,0,0,0,-6581.79,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,410.2000,407.2000,-5696.52,0,0,0,-5696.52,
Mark-to-Market Performance Summary,Data,Stocks,388,22000,22000,447.6000,449.8000,6209.72,0,0,0,6209.72,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.3100,4.3200,4972.908,0,0,0,4972.908,
Mark-to-Market Performance Summary,Data,Stocks,700,63400,63400,599.0000,594.0000,-40671.1,0,0,0,-40671.1,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.8000,9.8800,23299.28,0,0,0,23299.28,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,29300,29300,397.0000,400.0000,598.19466,0,0,0,598.19466,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,3800,3800,"3,085.0000","3,095.0000",258.6052,0,0,0,258.6052,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.3900,7.3800,-987.91,0,0,0,-987.91,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,18.6400,19.4000,16966.392,0,0,0,16966.392,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,50.3000,49.5600,-12532.344,0,0,0,-12532.344,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,512.5000,552.0000,55746.35,0,0,0,55746.35,
