Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"August 29, 2025"
Statement,Data,WhenGenerated,"2025-08-31, 21:30:28 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-79441480.91345376,1947677.800688216,-90661012.10025397,-88713334.29956575,-9271853.38611199
Net Asset Value,Data,Stock,188114337.2868,196263404.74464,0,196263404.74464,8149067.457839996
Net Asset Value,Data,Options,-6587155.98,8058322.98,-14880356.3475,-6822033.367500001,-234877.3875
Net Asset Value,Data,Interest Accruals,-104992.4833361,220438.6353892,-336096.2223739,-115657.5869847,-10665.1036486
Net Asset Value,Data,Dividend Accruals,47496.128032,47468.2899072,0,47468.2899072,-27.8381248
Net Asset Value,Data,Total,102028204.03804213,206537312.4506246,-105877464.67012787,100659847.78049672,-1368356.257545412
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.3411549%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,102028204.03804213
Change in NAV,Data,Mark-to-Market,-1355275.28750584
Change in NAV,Data,Change in Interest Accruals,-10687.0564282
Change in NAV,Data,Commissions,-1098.841009139
Change in NAV,Data,Transaction Fees,-1289.187257029
Change in NAV,Data,Other FX Translations,-5.8853452
Change in NAV,Data,Ending Value,100659847.78049672
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,30.4800,30.5600,1928.88,0,0,0,1928.88,
Mark-to-Market Performance Summary,Data,Stocks,1258,306000,612000,9.5600,10.3600,31395.6,-3394.7775,-598.922499532,0,27401.900000468,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.3000,5.2500,-33332.175,0,0,0,-33332.175,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,5.7900,5.7700,-9285.3,0,0,0,-9285.3,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,53.1000,52.8500,-1923.75,0,0,0,-1923.75,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,101.3000,107.9000,56881.44,0,0,0,56881.44,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.5000,25.6200,1346.625,0,0,0,1346.625,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,91.2400,91.6200,4210.704,0,0,0,4210.704,
Mark-to-Market Performance Summary,Data,Stocks,2899,250000,500000,24.6800,25.5800,28856.25,-3514.05,-1181.8705356,0,24160.3294644,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.9000,11.9700,4605.4575,0,0,0,4605.4575,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,407.2000,424.2000,32267.7,0,0,0,32267.7,
Mark-to-Market Performance Summary,Data,Stocks,388,22000,22000,449.8000,451.0000,3385.8,0,0,0,3385.8,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.3200,4.2600,-29825.82,0,0,0,-29825.82,
Mark-to-Market Performance Summary,Data,Stocks,700,63400,63400,594.0000,596.5000,20327.625,0,0,0,20327.625,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.8800,9.9000,5822.55,0,0,0,5822.55,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,29300,58600,400.0000,398.0000,-398.49758,-395.165433,-26.06065212,0,-819.72366512,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,3800,7600,"3,095.0000","3,095.0000",0,214.957483,-26.082622257,0,188.874860743,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.3800,7.5100,12837.825,0,0,0,12837.825,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,19.4000,19.5100,2454.705,0,0,0,2454.705,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,49.5600,49.9800,7110.18,0,0,0,7110.18,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,552.0000,578.0000,36679.5,0,0,0,36679.5,
