Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"September 1, 2025"
Statement,Data,WhenGenerated,"2025-09-02, 01:26:19 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-88713334.29956575,1947677.955674867,-90975699.61453845,-89028021.65886357,-314687.359297827
Net Asset Value,Data,Stock,196263404.74464,197053747.155,0,197053747.155,790342.410360008
Net Asset Value,Data,Options,-6822033.367500001,8058998.882999999,-14879024.187,-6820025.304000001,2008.063499999
Net Asset Value,Data,Interest Accruals,-115657.5869847,220440.0995326,-336099.1533858,-115659.0538532,-1.4668685
Net Asset Value,Data,Dividend Accruals,47468.2899072,47459.8856128,0,47459.8856128,-8.4042944
Net Asset Value,Data,Total,100659847.78049672,207328323.97882023,-106190822.95492426,101137501.02389598,477653.243399262
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.47452212%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,100659847.78049672
Change in NAV,Data,Mark-to-Market,478050.74376199
Change in NAV,Data,Commissions,-387.629199797
Change in NAV,Data,Other FX Translations,-9.8711629
Change in NAV,Data,Ending Value,101137501.02389598
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,188000,30.5600,31.5600,24112.88,0,0,0,24112.88,
Mark-to-Market Performance Summary,Data,Stocks,1258,612000,612000,10.3600,10.9500,46312.1208,0,0,0,46312.1208,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.2500,5.2000,-33334.774,0,0,0,-33334.774,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,5.7700,5.7300,-18572.048,0,0,0,-18572.048,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,52.8500,54.0000,8849.94,0,0,0,8849.94,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,107.9000,116.0000,69814.4832,0,0,0,69814.4832,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.6200,26.1600,6060.285,0,0,0,6060.285,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,91.6200,93.4400,20168.62848,0,0,0,20168.62848,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,25.5800,27.5600,126977.4,0,0,0,126977.4,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.9700,12.2100,15791.3712,0,0,0,15791.3712,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,424.2000,421.0000,-6074.3936,0,0,0,-6074.3936,
Mark-to-Market Performance Summary,Data,Stocks,388,22000,22000,451.0000,454.0000,8465.16,0,0,0,8465.16,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.2600,4.3100,24856.788,0,0,0,24856.788,
Mark-to-Market Performance Summary,Data,Stocks,700,63400,63400,596.5000,605.0000,69119.314,0,0,0,69119.314,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.9000,9.8000,-29115.02,0,0,0,-29115.02,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,58600,60400,398.0000,400.0000,796.32712,36.69084,-2.558806951,0,830.459153049,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,7600,7600,"3,095.0000","3,070.0000",-1290.974,0,0,0,-1290.974,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.5100,7.6300,11851.224,0,0,0,11851.224,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,19.5100,19.9500,9819.5856,0,0,0,9819.5856,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,49.9800,50.2000,3724.6704,0,0,0,3724.6704,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,578.0000,576.0000,-2821.72,0,0,0,-2821.72,
Mark-to-Market Performance Summary,Data,Stocks,A17U,2236800,2236800,2.7200,2.7600,69673.63584,0,0,0,69673.63584,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,232.1400,232.1400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,1000,1000,58.1900,58.1900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,478.5900,478.5900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,ARKK,341200,341200,74.9600,74.9600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,241.3500,241.3500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,5791,5791,71.0900,71.0900,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6,6,135.0000,135.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,200,200,43.6200,43.6200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BN4,194400,194400,8.7500,8.7400,-1513.83168,0,0,0,-1513.83168,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,2564,2564,162.0400,162.0400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,C6L,43000,43000,6.5800,6.5800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,CACI,10000,10000,479.7200,479.7200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,307.9800,307.9800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,CME,1900,1900,266.5100,266.5100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,COIN,39,39,304.5400,304.5400,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,25,25,131.9800,131.9800,0,0,0,0,0,
