Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"September 2, 2025"
Statement,Data,WhenGenerated,"2025-09-03, 01:27:27 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-89028021.65886357,3930087.430244891,-106276196.76201165,-102346109.33176675,-13318087.67290318
Net Asset Value,Data,Stock,197053747.155,210424279.41268998,0,210424279.41268998,13370532.257689983
Net Asset Value,Data,Options,-6820025.304000001,8218759.8,-15938897.969,-7720138.169000001,-900112.864999999
Net Asset Value,Data,Interest Accruals,-115659.0538532,262459.9402395,-420671.7025062,-158211.7622667,-42552.7084135
Net Asset Value,Data,Dividend Accruals,47459.8856128,214444.3534745,-488.64,213955.7134745,166495.8278617
Net Asset Value,Data,Total,101137501.02389598,223050030.93664888,-122636255.07351784,100413775.86313103,-723725.160764948
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.71558537%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,101137501.02389598
Change in NAV,Data,Mark-to-Market,-839025.48939494
Change in NAV,Data,Change in Dividend Accruals,166583.9528633
Change in NAV,Data,Change in Interest Accruals,-42631.8560312
Change in NAV,Data,Commissions,-5915.373988977
Change in NAV,Data,Transaction Fees,-2727.416829272
Change in NAV,Data,Other FX Translations,-8.9773839
Change in NAV,Data,Ending Value,100413775.86313103
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,188000,235000,31.5600,31.0000,-13485.3152,-589.214,-309.391557688,0,-14383.920757688,
Mark-to-Market Performance Summary,Data,Stocks,1258,612000,993000,10.9500,11.5900,50170.2912,8780.5695,-921.571618193,0,58029.289081807,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.2000,5.3500,99871.773,0,0,0,99871.773,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,5.7300,5.8100,37094.864,0,0,0,37094.864,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,54.0000,55.8500,14217.99,0,0,0,14217.99,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,116.0000,117.0000,8607.648,0,0,0,8607.648,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,26.1600,26.0400,-1344.945,0,0,0,-1344.945,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,93.4400,93.2200,-2434.73472,0,0,0,-2434.73472,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,626000,27.5600,27.1000,-29460.7,-240.8092,-716.680580846,0,-30418.189780846,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,12.2100,12.0800,-8542.3221,0,0,0,-8542.3221,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,421.0000,417.6000,-6445.4888,0,0,0,-6445.4888,
Mark-to-Market Performance Summary,Data,Stocks,388,22000,22000,454.0000,443.6000,-29306.992,0,0,0,-29306.992,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.3100,4.3500,19859.0736,0,0,0,19859.0736,
Mark-to-Market Performance Summary,Data,Stocks,700,63400,79300,605.0000,600.5000,-36544.077,-2260.7885,-2006.994970408,0,-40811.860470408,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.8000,9.3700,-125028.649,0,0,0,-125028.649,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,60400,60400,400.0000,410.0000,4071.4432,0,0,0,4071.4432,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,7600,7600,"3,070.0000","3,150.0000",4098.4064,0,0,0,4098.4064,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.6300,7.6700,3945.172,0,0,0,3945.172,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,19.9500,20.0600,2451.6426,0,0,0,2451.6426,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,50.2000,49.7200,-8115.7824,0,0,0,-8115.7824,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,13800,576.0000,569.5000,-9158.435,67.24725,-335.529836852,0,-9426.717586852,
