Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"September 5, 2025"
Statement,Data,WhenGenerated,"2025-09-07, 22:08:08 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-109747673.8781656,3734034.781207391,-114695040.82786928,-110961006.04666188,-1213332.168496281
Net Asset Value,Data,Stock,217824821.12366,220684395.11584,0,220684395.11584,2859573.99217999
Net Asset Value,Data,Options,-8590999.568999998,9529005.669,-18962257.691,-9433252.022,-842252.453000002
Net Asset Value,Data,Interest Accruals,-35848.7582599,48811.1659426,-98756.4702541,-49945.3043115,-14096.5460516
Net Asset Value,Data,Dividend Accruals,203880.8243059,139667.4296389,0,139667.4296389,-64213.394667
Net Asset Value,Data,Total,99654179.74254043,234135914.16162887,-133756054.98912337,100379859.1725055,725679.429965064
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.728197685%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,99654179.74254043
Change in NAV,Data,Mark-to-Market,740202.32414471
Change in NAV,Data,Dividends,91932.09
Change in NAV,Data,Withholding Tax,-27579.62
Change in NAV,Data,Change in Dividend Accruals,-64352.47
Change in NAV,Data,Change in Interest Accruals,-14092.0331555
Change in NAV,Data,Commissions,-308.221062608
Change in NAV,Data,Transaction Fees,-257.202398352
Change in NAV,Data,Other FX Translations,134.5624369
Change in NAV,Data,Ending Value,100379859.1725055
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,235000,235000,30.7200,31.3200,18084.66,0,0,0,18084.66,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.4300,5.4800,33334.774,0,0,0,33334.774,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,5.7300,5.7700,18572.048,0,0,0,18572.048,
Mark-to-Market Performance Summary,Data,Stocks,1698,0,19800,--,96.6000,0,859.342,-403.51230374,0,455.82969626,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,53.4500,53.6500,1539.12,0,0,0,1539.12,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,109.0000,113.6000,39647.7312,0,0,0,39647.7312,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,25.6200,25.9800,4040.19,0,0,0,4040.19,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,91.6000,92.8400,13741.26336,0,0,0,13741.26336,
Mark-to-Market Performance Summary,Data,Stocks,2899,626000,626000,26.6800,28.2400,125253.5856,0,0,0,125253.5856,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,11.7700,11.9800,13817.4498,0,0,0,13817.4498,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,420.0000,432.2000,23158.6256,0,0,0,23158.6256,
Mark-to-Market Performance Summary,Data,Stocks,388,27500,27500,432.2000,435.6000,11992.31,0,0,0,11992.31,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.3200,4.3300,4971.3576,0,0,0,4971.3576,
Mark-to-Market Performance Summary,Data,Stocks,700,79300,79300,592.5000,605.5000,132223.234,0,0,0,132223.234,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.3600,9.4400,23292.016,0,0,0,23292.016,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,75100,75100,418.0000,416.0000,-1018.94178,0,0,0,-1018.94178,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,9500,9500,"3,100.0000","3,100.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.6300,7.6900,5925.612,0,0,0,5925.612,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,19.7900,20.0000,4686.6204,0,0,0,4686.6204,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,49.9200,50.9500,17438.2296,0,0,0,17438.2296,
Mark-to-Market Performance Summary,Data,Stocks,9961,13800,13800,562.0000,572.0000,17699.88,0,0,0,17699.88,
Mark-to-Market Performance Summary,Data,Stocks,A17U,3478400,3478400,2.7500,2.7700,54146.86144,0,0,0,54146.86144,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,239.7800,239.6900,-2.61,0,0,0,-2.61,
