Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"September 11, 2025"
Statement,Data,WhenGenerated,"2025-09-12, 01:19:24 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-110799725.6129048,3743495.88392567,-118054188.30691698,-114310692.4229913,-3510966.810086504
Net Asset Value,Data,Stock,223986105.72948,229440582.08169,0,229440582.08169,5454476.352210015
Net Asset Value,Data,Options,-8457393.483000001,11651399.286,-20213356.46,-8561957.174,-104563.691
Net Asset Value,Data,Interest Accruals,-121986.7781887,134033.1506562,-270755.4898284,-136722.3391722,-14735.5609835
Net Asset Value,Data,Dividend Accruals,154548.0482306,169890.8068916,0,169890.8068916,15342.758661
Net Asset Value,Data,Total,104761547.90361707,245139401.2091635,-138538300.2567454,106601100.95241809,1839553.04880102
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.755942983%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,104761547.90361707
Change in NAV,Data,Mark-to-Market,1840705.270109181
Change in NAV,Data,Change in Dividend Accruals,15331.0683223
Change in NAV,Data,Change in Interest Accruals,-14731.0830909
Change in NAV,Data,Commissions,-1123.779662927
Change in NAV,Data,Transaction Fees,-635.639322722
Change in NAV,Data,Other FX Translations,7.2124461
Change in NAV,Data,Ending Value,106601100.95241809
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,235000,235000,32.6600,32.5000,-4827.464,0,0,0,-4827.464,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.6300,5.6200,-6673.7122,0,0,0,-6673.7122,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,6.0000,6.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1698,35000,35000,99.4000,100.5000,4943.015,0,0,0,4943.015,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,54.9500,54.6500,-2311.02,0,0,0,-2311.02,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,115.1000,108.6000,-56080.752,0,0,0,-56080.752,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,26.8000,26.7200,-898.73,0,0,0,-898.73,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,95.7200,95.2000,-5768.30592,0,0,0,-5768.30592,
Mark-to-Market Performance Summary,Data,Stocks,2899,626000,626000,29.0000,29.3600,28933.9704,0,0,0,28933.9704,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,12.4300,12.4100,-1317.2814,0,0,0,-1317.2814,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,426.0000,428.8000,5320.4816,0,0,0,5320.4816,
Mark-to-Market Performance Summary,Data,Stocks,388,27500,27700,444.6000,444.0000,-2118.435,35.9492,-18.681006916,0,-2101.166806916,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.4600,4.4600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,79300,86800,633.5000,629.5000,-40725.308,1039.959,-985.92543297,0,-40671.27443297,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.8400,9.8700,8743.359,0,0,0,8743.359,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,93900,93900,424.0000,426.0000,1275.55638,0,0,0,1275.55638,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,9500,9500,"3,160.0000","3,135.0000",-1613.12375,0,0,0,-1613.12375,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.4500,7.4500,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,20.1800,19.5300,-14520.909,0,0,0,-14520.909,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,52.7000,52.7000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,9961,13800,13800,570.0000,574.0000,7087.128,0,0,0,7087.128,
Mark-to-Market Performance Summary,Data,Stocks,A17U,3480200,3480200,2.8000,2.8200,54313.39328,0,0,0,54313.39328,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,226.7900,230.0300,93.96,0,0,0,93.96,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,1040,1040,60.5300,61.8000,1320.8,0,0,0,1320.8,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,567.1200,571.3100,113.13,0,0,0,113.13,
Mark-to-Market Performance Summary,Data,Stocks,ARKK,326650,326650,75.5600,78.3000,895021,0,0,0,895021,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,247.0500,241.8100,-7713.28,0,0,0,-7713.28,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,13091,13091,73.7300,74.4200,9032.79,0,0,0,9032.79,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6,6,143.9300,155.4400,69.06,0,0,0,69.06,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,200,200,45.6000,47.7900,438,0,0,0,438,
Mark-to-Market Performance Summary,Data,Stocks,BN4,194400,194400,8.6100,8.6400,4550.82624,0,0,0,4550.82624,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,4564,4564,166.1300,170.1000,18119.08,0,0,0,18119.08,
Mark-to-Market Performance Summary,Data,Stocks,C6L,43000,43000,6.5500,6.5300,-671.0752,0,0,0,-671.0752,
Mark-to-Market Performance Summary,Data,Stocks,CACI,10000,10000,486.2400,493.1200,68800,0,0,0,68800,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,320.0000,318.0000,-5190,0,0,0,-5190,
Mark-to-Market Performance Summary,Data,Stocks,CME,1900,1900,259.9100,262.3800,4693,0,0,0,4693,
Mark-to-Market Performance Summary,Data,Stocks,COIN,39,39,315.3400,323.9500,335.79,0,0,0,335.79,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,25,25,113.6900,133.7000,500.25,0,0,0,500.25,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,5,5,424.8700,433.3800,42.55,0,0,0,42.55,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,100,100,68.1300,67.6900,-44,0,0,0,-44,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,4781,4781,201.4000,204.5000,14821.1,0,0,0,14821.1,
Mark-to-Market Performance Summary,Data,Stocks,CVX,4083,4083,157.7900,158.2500,1878.18,0,0,0,1878.18,
Mark-to-Market Performance Summary,Data,Stocks,D05,1000,1000,52.7300,52.5700,-124.8512,0,0,0,-124.8512,
Mark-to-Market Performance Summary,Data,Stocks,DAX,4653,4653,43.9600,44.3900,2000.79,0,0,0,2000.79,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,57,57,139.1300,139.1500,1.14,0,0,0,1.14,
Mark-to-Market Performance Summary,Data,Stocks,DE,10,10,471.3500,476.4600,51.1,0,0,0,51.1,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,839,839,16.0300,16.0200,-8.39,0,0,0,-8.39,
Mark-to-Market Performance Summary,Data,Stocks,DG,21641,21641,106.4700,105.3900,-23372.28,0,0,0,-23372.28,
Mark-to-Market Performance Summary,Data,Stocks,EBND,72700,197700,21.3600,21.4600,7270,10000,-558.19437898,0,16711.80562102,
Mark-to-Market Performance Summary,Data,Stocks,EFA,5,5,92.3800,93.3600,4.9,0,0,0,4.9,
Mark-to-Market Performance Summary,Data,Stocks,EMLC,56300,56300,25.3800,25.5100,7319,0,0,0,7319,
Mark-to-Market Performance Summary,Data,Stocks,EMR,6219,6219,133.6700,137.4700,23632.2,0,0,0,23632.2,
Mark-to-Market Performance Summary,Data,Stocks,ETN,1124,1124,362.2500,360.0800,-2439.08,0,0,0,-2439.08,
Mark-to-Market Performance Summary,Data,Stocks,EWW,11297,11297,64.2800,65.7100,16154.71,0,0,0,16154.71,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,10,10,29.7900,30.0500,2.6,0,0,0,2.6,
Mark-to-Market Performance Summary,Data,Stocks,FXE,23700,23700,107.9600,108.2900,7821,0,0,0,7821,
Mark-to-Market Performance Summary,Data,Stocks,FXY,40800,40800,62.4300,62.5700,5712,0,0,0,5712,
Mark-to-Market Performance Summary,Data,Stocks,GE,1519,1519,283.4100,281.5600,-2810.15,0,0,0,-2810.15,
Mark-to-Market Performance Summary,Data,Stocks,GEV,100,100,643.5600,634.1500,-941,0,0,0,-941,
Mark-to-Market Performance Summary,Data,Stocks,HD,100,100,413.2300,423.4200,1019,0,0,0,1019,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,299697,299697,36.3200,36.2600,-17981.82,0,0,0,-17981.82,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,101778,101778,64.5300,65.0300,50889,0,0,0,50889,
Mark-to-Market Performance Summary,Data,Stocks,IBM,500,500,256.8800,257.0100,65,0,0,0,65,
Mark-to-Market Performance Summary,Data,Stocks,ICE,2829,2829,172.2300,176.1700,11146.26,0,0,0,11146.26,
Mark-to-Market Performance Summary,Data,Stocks,IDMO,40696,40696,53.4100,53.9400,21568.88,0,0,0,21568.88,
Mark-to-Market Performance Summary,Data,Stocks,LLY,3800,3800,754.6200,756.2800,6308,0,0,0,6308,
Mark-to-Market Performance Summary,Data,Stocks,ME8U,3940800,3940800,2.1100,2.1300,61501.70112,0,0,0,61501.70112,
Mark-to-Market Performance Summary,Data,Stocks,MELI,1,1,"2,348.9900","2,338.2000",-10.79,0,0,0,-10.79,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,34119,34119,94.6600,95.8800,41625.18,0,0,0,41625.18,
Mark-to-Market Performance Summary,Data,Stocks,NOC,1817,1817,579.8700,582.9500,5596.36,0,0,0,5596.36,
