Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"September 12, 2025"
Statement,Data,WhenGenerated,"2025-09-14, 21:02:27 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-114310692.4229913,3744494.588898119,-118048372.93261972,-114303878.3437216,6814.079269707
Net Asset Value,Data,Stock,229440582.08169,230339396.74907,0,230339396.74907,898814.667379975
Net Asset Value,Data,Options,-8561957.174,12302838.1965,-20946258.129,-8643419.932500001,-81462.7585
Net Asset Value,Data,Interest Accruals,-136722.3391722,148238.1429685,-299270.4953858,-151032.3524173,-14310.0132451
Net Asset Value,Data,Dividend Accruals,169890.8068916,176680.2308851,0,176680.2308851,6789.4239935
Net Asset Value,Data,Total,106601100.95241809,246711647.9083217,-139293901.55700552,107417746.35131618,816645.398898095
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.766075952%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,106601100.95241809
Change in NAV,Data,Mark-to-Market,824165.98814974
Change in NAV,Data,Change in Dividend Accruals,6609.0535319
Change in NAV,Data,Change in Interest Accruals,-14311.074308
Change in NAV,Data,Other FX Translations,181.4315245
Change in NAV,Data,Ending Value,107417746.35131618
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,235000,235000,32.5000,32.9400,13290.002,0,0,0,13290.002,
Mark-to-Market Performance Summary,Data,Stocks,1288,5198000,5198000,5.6200,5.5800,-26723.9576,0,0,0,-26723.9576,
Mark-to-Market Performance Summary,Data,Stocks,1398,3620000,3620000,6.0000,6.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1698,35000,35000,100.5000,99.1500,-6073.0425,0,0,0,-6073.0425,
Mark-to-Market Performance Summary,Data,Stocks,1810,60000,60000,54.6500,55.1500,3855.9,0,0,0,3855.9,
Mark-to-Market Performance Summary,Data,Stocks,2359,67200,67200,108.6000,110.7000,18138.1536,0,0,0,18138.1536,
Mark-to-Market Performance Summary,Data,Stocks,2800,87500,87500,26.7200,27.0000,3148.985,0,0,0,3148.985,
Mark-to-Market Performance Summary,Data,Stocks,2828,86400,86400,95.2000,96.0800,9772.39296,0,0,0,9772.39296,
Mark-to-Market Performance Summary,Data,Stocks,2899,626000,626000,29.3600,29.7800,33793.1076,0,0,0,33793.1076,
Mark-to-Market Performance Summary,Data,Stocks,3067,513000,513000,12.4100,12.6200,13846.5369,0,0,0,13846.5369,
Mark-to-Market Performance Summary,Data,Stocks,3750,14800,14800,428.8000,432.8000,7608.976,0,0,0,7608.976,
Mark-to-Market Performance Summary,Data,Stocks,388,27700,27700,444.0000,448.4000,15665.2364,0,0,0,15665.2364,
Mark-to-Market Performance Summary,Data,Stocks,3988,3876000,3876000,4.4600,4.4600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,86800,86800,629.5000,643.5000,156189.656,0,0,0,156189.656,
Mark-to-Market Performance Summary,Data,Stocks,762,2270000,2270000,9.8700,9.8400,-8752.893,0,0,0,-8752.893,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,93900,93900,426.0000,434.0000,5087.05128,0,0,0,5087.05128,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,9500,9500,"3,135.0000","3,180.0000",2894.98725,0,0,0,2894.98725,
Mark-to-Market Performance Summary,Data,Stocks,857,770000,770000,7.4500,7.3900,-5938.086,0,0,0,-5938.086,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,19.5300,19.4200,-2460.0642,0,0,0,-2460.0642,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,52.7000,52.3000,-6786.384,0,0,0,-6786.384,
Mark-to-Market Performance Summary,Data,Stocks,9961,13800,13800,574.0000,577.5000,6207.999,0,0,0,6207.999,
Mark-to-Market Performance Summary,Data,Stocks,A17U,3480200,3480200,2.8200,2.8400,54268.15068,0,0,0,54268.15068,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,29,29,230.0300,234.0700,117.16,0,0,0,117.16,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,1040,1040,61.8000,63.6600,1934.4,0,0,0,1934.4,
Mark-to-Market Performance Summary,Data,Stocks,APP,27,27,571.3100,582.0000,288.63,0,0,0,288.63,
Mark-to-Market Performance Summary,Data,Stocks,ARKK,326650,326650,78.3000,78.5700,88195.5,0,0,0,88195.5,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1472,1472,241.8100,243.0000,1751.68,0,0,0,1751.68,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,13091,13091,74.4200,74.3400,-1047.28,0,0,0,-1047.28,
Mark-to-Market Performance Summary,Data,Stocks,BABA,6,6,155.4400,155.0600,-2.28,0,0,0,-2.28,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,200,200,47.7900,55.0900,1460,0,0,0,1460,
Mark-to-Market Performance Summary,Data,Stocks,BN4,194400,194400,8.6400,8.6500,1515.67848,0,0,0,1515.67848,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,4564,4564,170.1000,168.3300,-8078.28,0,0,0,-8078.28,
Mark-to-Market Performance Summary,Data,Stocks,C6L,43000,43000,6.5300,6.5400,335.2581,0,0,0,335.2581,
Mark-to-Market Performance Summary,Data,Stocks,CACI,10000,10000,493.1200,495.9600,28400,0,0,0,28400,
Mark-to-Market Performance Summary,Data,Stocks,CEG,2595,2595,318.0000,323.4800,14220.6,0,0,0,14220.6,
Mark-to-Market Performance Summary,Data,Stocks,CME,1900,1900,262.3800,262.3000,-152,0,0,0,-152,
Mark-to-Market Performance Summary,Data,Stocks,COIN,39,39,323.9500,323.0400,-35.49,0,0,0,-35.49,
Mark-to-Market Performance Summary,Data,Stocks,CRCL,25,25,133.7000,125.3200,-209.5,0,0,0,-209.5,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,5,5,433.3800,436.1000,13.6,0,0,0,13.6,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,100,100,67.6900,66.5300,-116,0,0,0,-116,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,4781,4781,204.5000,202.3700,-10183.53,0,0,0,-10183.53,
Mark-to-Market Performance Summary,Data,Stocks,CVX,4083,4083,158.2500,157.1100,-4654.62,0,0,0,-4654.62,
Mark-to-Market Performance Summary,Data,Stocks,D05,1000,1000,52.5700,51.7900,-608.1426,0,0,0,-608.1426,
Mark-to-Market Performance Summary,Data,Stocks,DAX,4653,4653,44.3900,44.2600,-604.89,0,0,0,-604.89,
Mark-to-Market Performance Summary,Data,Stocks,DDOG,57,57,139.1500,136.5000,-151.05,0,0,0,-151.05,
Mark-to-Market Performance Summary,Data,Stocks,DE,10,10,476.4600,470.5100,-59.5,0,0,0,-59.5,
Mark-to-Market Performance Summary,Data,Stocks,DFDV,839,839,16.0200,17.5900,1317.23,0,0,0,1317.23,
Mark-to-Market Performance Summary,Data,Stocks,DG,21641,21641,105.3900,104.4000,-21424.59,0,0,0,-21424.59,
Mark-to-Market Performance Summary,Data,Stocks,EBND,197700,197700,21.4600,21.4300,-5931,0,0,0,-5931,
Mark-to-Market Performance Summary,Data,Stocks,EFA,5,5,93.3600,92.9900,-1.85,0,0,0,-1.85,
Mark-to-Market Performance Summary,Data,Stocks,EMLC,56300,56300,25.5100,25.5000,-563,0,0,0,-563,
Mark-to-Market Performance Summary,Data,Stocks,EMR,6219,6219,137.4700,135.1000,-14739.03,0,0,0,-14739.03,
Mark-to-Market Performance Summary,Data,Stocks,ETN,1124,1124,360.0800,365.9000,6541.68,0,0,0,6541.68,
Mark-to-Market Performance Summary,Data,Stocks,EWW,11297,11297,65.7100,66.1200,4631.77,0,0,0,4631.77,
Mark-to-Market Performance Summary,Data,Stocks,EWZ,10,10,30.0500,30.0300,-0.2,0,0,0,-0.2,
Mark-to-Market Performance Summary,Data,Stocks,FXE,23700,23700,108.2900,108.3200,711,0,0,0,711,
Mark-to-Market Performance Summary,Data,Stocks,FXY,40800,40800,62.5700,62.3500,-8976,0,0,0,-8976,
Mark-to-Market Performance Summary,Data,Stocks,GE,1519,1519,281.5600,281.6900,197.47,0,0,0,197.47,
Mark-to-Market Performance Summary,Data,Stocks,GEV,100,100,634.1500,625.5500,-860,0,0,0,-860,
Mark-to-Market Performance Summary,Data,Stocks,HD,100,100,423.4200,422.6900,-73,0,0,0,-73,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,299697,299697,36.2600,36.3400,23975.76,0,0,0,23975.76,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,101778,101778,65.0300,66.3800,137400.3,0,0,0,137400.3,
Mark-to-Market Performance Summary,Data,Stocks,IBM,500,500,257.0100,253.4400,-1785,0,0,0,-1785,
Mark-to-Market Performance Summary,Data,Stocks,ICE,2829,2829,176.1700,173.9700,-6223.8,0,0,0,-6223.8,
Mark-to-Market Performance Summary,Data,Stocks,IDMO,40696,40696,53.9400,53.7500,-7732.24,0,0,0,-7732.24,
Mark-to-Market Performance Summary,Data,Stocks,LLY,3800,3800,756.2800,755.3900,-3382,0,0,0,-3382,
Mark-to-Market Performance Summary,Data,Stocks,ME8U,3940800,3940800,2.1300,2.1400,30725.23536,0,0,0,30725.23536,
Mark-to-Market Performance Summary,Data,Stocks,MELI,1,1,"2,338.2000","2,339.3600",1.16,0,0,0,1.16,
Mark-to-Market Performance Summary,Data,Stocks,NDAQ,34119,34119,95.8800,93.9500,-65849.67,0,0,0,-65849.67,
Mark-to-Market Performance Summary,Data,Stocks,NOC,1817,1817,582.9500,575.9600,-12700.83,0,0,0,-12700.83,
Mark-to-Market Performance Summary,Data,Stocks,NOW,9,9,938.2800,928.9600,-83.88,0,0,0,-83.88,
Mark-to-Market Performance Summary,Data,Stocks,NTDU,813200,813200,0.9500,0.9550,4066,0,0,0,4066,
Mark-to-Market Performance Summary,Data,Stocks,NUE,13100,13100,143.7500,141.3500,-31440,0,0,0,-31440,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,1533,1533,177.1700,177.8200,996.45,0,0,0,996.45,
Mark-to-Market Performance Summary,Data,Stocks,O,17348,17348,60.1600,60.4100,4337,0,0,0,4337,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2238,2238,198.3300,196.2900,-4565.52,0,0,0,-4565.52,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,100,100,164.3600,171.4300,707,0,0,0,707,
Mark-to-Market Performance Summary,Data,Stocks,PM,15881,15881,167.9000,166.1100,-28426.99,0,0,0,-28426.99,
Mark-to-Market Performance Summary,Data,Stocks,PONY,100,100,15.2400,14.9900,-25,0,0,0,-25,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,19,19,584.0800,586.6600,49.02,0,0,0,49.02,
Mark-to-Market Performance Summary,Data,Stocks,RTX,8089,8089,157.6500,155.8500,-14560.2,0,0,0,-14560.2,
Mark-to-Market Performance Summary,Data,Stocks,S68,147600,147600,16.5300,16.5700,4603.17168,0,0,0,4603.17168,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,199975,199975,100.5000,100.5300,5999.25,0,0,0,5999.25,
Mark-to-Market Performance Summary,Data,Stocks,SHOP,100,100,145.0300,143.3800,-165,0,0,0,-165,
Mark-to-Market Performance Summary,Data,Stocks,SHYG,104,104,43.2400,43.2200,-2.08,0,0,0,-2.08,
Mark-to-Market Performance Summary,Data,Stocks,SPLV,262,262,73.8000,73.3500,-117.9,0,0,0,-117.9,
Mark-to-Market Performance Summary,Data,Stocks,SPMO,250693,250693,120.1300,120.4800,87742.55,0,0,0,87742.55,
Mark-to-Market Performance Summary,Data,Stocks,SPXL,100,100,203.6400,203.3500,-29,0,0,0,-29,
Mark-to-Market Performance Summary,Data,Stocks,STZ,241,241,142.9800,139.4900,-841.09,0,0,0,-841.09,
Mark-to-Market Performance Summary,Data,Stocks,TQQQ,271001,271001,95.5700,96.7600,322491.19,0,0,0,322491.19,
Mark-to-Market Performance Summary,Data,Stocks,TSM,100,100,258.9100,259.3300,42,0,0,0,42,
Mark-to-Market Performance Summary,Data,Stocks,U96,778300,778300,6.1100,6.1300,12136.34322,0,0,0,12136.34322,
Mark-to-Market Performance Summary,Data,Stocks,URA,4000,4000,42.6500,42.0500,-2400,0,0,0,-2400,
Mark-to-Market Performance Summary,Data,Stocks,USMV,19,19,94.9100,94.1400,-14.63,0,0,0,-14.63,
Mark-to-Market Performance Summary,Data,Stocks,UTES,69074,69074,81.0300,81.8200,54568.46,0,0,0,54568.46,
Mark-to-Market Performance Summary,Data,Stocks,VRT,5,5,135.7100,134.8400,-4.35,0,0,0,-4.35,
Mark-to-Market Performance Summary,Data,Stocks,VST,11900,11900,204.0500,209.7000,67235,0,0,0,67235,
Mark-to-Market Performance Summary,Data,Stocks,VZ,22952,22952,44.1400,43.9700,-3901.84,0,0,0,-3901.84,
Mark-to-Market Performance Summary,Data,Stocks,XSMO,43600,43600,74.2900,73.1600,-49268,0,0,0,-49268,
Mark-to-Market Performance Summary,Data,Total,,,,,,883750.00161,0,0,0,883750.00161,
