Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 29, 2026"
Statement,Data,WhenGenerated,"2026-04-30, 01:02:35 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U8251256, U18135473F, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-137248533.9165753,27041.690226322,-137241035.438711,-137213993.74848467,34540.168090641
Net Asset Value,Data,Stock,228652644.7670396,229132074.2304569,0,229132074.2304569,479429.463417292
Net Asset Value,Data,Interest Accruals,-389006.8372086,455963.6144198,-860492.5590485,-404528.9446287,-15522.1074201
Net Asset Value,Data,Dividend Accruals,79846.7087286,79656.214999,-35.52,79620.694999,-226.0137296
Net Asset Value,Data,Total,91094950.72198427,229694735.75010198,-138101563.5177595,91593172.23234248,498221.510358214
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.546925495%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,91094950.72198427
Change in NAV,Data,Mark-to-Market,513969.63150797
Change in NAV,Data,Change in Dividend Accruals,48.488
Change in NAV,Data,Change in Interest Accruals,-15563.0603716
Change in NAV,Data,Other FX Translations,-233.5487781
Change in NAV,Data,Ending Value,91593172.23234248
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Forex,EUR,-15.51,-15.51,1.1713,1.1675,0.058938,0,0,0,0.058938,
Mark-to-Market Performance Summary,Data,Forex,HKD,12076.01003306,12076.01003306,0.12762,0.1276,-0.2415202,0,0,0,-0.2415202,
Mark-to-Market Performance Summary,Data,Forex,JPY,0.0015055,0.0015055,0.006265,0.0062325,-0.00000005,0,0,0,-0.00000005,
Mark-to-Market Performance Summary,Data,Forex,SGD,-0.00005944,-0.00005944,0.78308,0.78037,0.00000016,0,0,0,0.00000016,
Mark-to-Market Performance Summary,Data,Forex,USD,-1421.936961216,-1421.936961216,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,-0.18258209,0,0,0,-0.18258209,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,513969.63150797,0,0,0,513969.63150797,
Mark-to-Market Performance Summary,Data,Stocks,1109,2000,2000,30.9400,32.9600,515.504,0,0,0,515.504,
Mark-to-Market Performance Summary,Data,Stocks,1258,427000,427000,13.1700,13.6900,28332.304,0,0,0,28332.304,
Mark-to-Market Performance Summary,Data,Stocks,1288,6000,6000,6.1700,6.1700,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1398,6000,6000,7.1800,7.2200,30.624,0,0,0,30.624,
Mark-to-Market Performance Summary,Data,Stocks,1698,2000,2000,35.9200,36.5800,168.432,0,0,0,168.432,
Mark-to-Market Performance Summary,Data,Stocks,1810,200,200,29.9200,30.1400,5.6144,0,0,0,5.6144,
Mark-to-Market Performance Summary,Data,Stocks,2359,300,300,143.1000,137.8000,-202.884,0,0,0,-202.884,
Mark-to-Market Performance Summary,Data,Stocks,2800,2000,2000,25.9800,26.2400,66.352,0,0,0,66.352,
Mark-to-Market Performance Summary,Data,Stocks,2828,600,600,88.4600,91.0000,194.4624,0,0,0,194.4624,
Mark-to-Market Performance Summary,Data,Stocks,2899,110000,110000,35.3600,36.4600,15439.6,0,0,0,15439.6,
Mark-to-Market Performance Summary,Data,Stocks,3067,700,700,10.1500,10.3100,14.2912,0,0,0,14.2912,
Mark-to-Market Performance Summary,Data,Stocks,3750,4700,4700,629.0000,627.5000,-899.58,0,0,0,-899.58,
Mark-to-Market Performance Summary,Data,Stocks,388,23500,23500,407.6000,419.8000,36582.92,0,0,0,36582.92,
Mark-to-Market Performance Summary,Data,Stocks,3988,4000,4000,5.1200,5.1800,30.624,0,0,0,30.624,
Mark-to-Market Performance Summary,Data,Stocks,6301.T,35300,35300,"6,856.0000","6,856.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,200,200,473.8000,479.2000,137.808,0,0,0,137.808,
Mark-to-Market Performance Summary,Data,Stocks,762,16000,16000,7.3000,7.4200,244.992,0,0,0,244.992,
Mark-to-Market Performance Summary,Data,Stocks,7974.T,18700,18700,"7,922.0000","7,922.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,8346.T,18000,18000,689.0000,689.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,2100,2100,"5,500.0000","5,500.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,342000,342000,11.6700,11.9800,13528.152,0,0,0,13528.152,
Mark-to-Market Performance Summary,Data,Stocks,883,106000,106000,28.9800,29.3800,5410.24,0,0,0,5410.24,
Mark-to-Market Performance Summary,Data,Stocks,9633,1800,1800,46.5000,48.1800,385.8624,0,0,0,385.8624,
Mark-to-Market Performance Summary,Data,Stocks,A17U,6000,6000,2.5200,2.4900,-140.4666,0,0,0,-140.4666,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,790,790,110.6100,106.1700,-3507.6,0,0,0,-3507.6,
Mark-to-Market Performance Summary,Data,Stocks,APD,3520,3520,303.3500,302.5000,-2992,0,0,0,-2992,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1362,1362,192.3400,183.5000,-12040.08,0,0,0,-12040.08,
Mark-to-Market Performance Summary,Data,Stocks,AVDV,18900,18900,104.6500,103.6600,-18711,0,0,0,-18711,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,22075,22075,88.8200,88.5700,-5518.75,0,0,0,-5518.75,
Mark-to-Market Performance Summary,Data,Stocks,AVUV,14660,14660,119.4400,118.6000,-12314.4,0,0,0,-12314.4,
Mark-to-Market Performance Summary,Data,Stocks,BABA,14901,14901,130.8500,130.4300,-6258.42,0,0,0,-6258.42,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,70,70,21.4800,20.6600,-57.4,0,0,0,-57.4,
Mark-to-Market Performance Summary,Data,Stocks,BN4,3000,3000,10.8900,10.8000,-210.6999,0,0,0,-210.6999,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,821,821,216.1800,208.0800,-6650.1,0,0,0,-6650.1,
Mark-to-Market Performance Summary,Data,Stocks,C6L,200,200,6.3600,6.3100,-7.8037,0,0,0,-7.8037,
Mark-to-Market Performance Summary,Data,Stocks,CEG,15,15,305.7100,297.0000,-130.65,0,0,0,-130.65,
Mark-to-Market Performance Summary,Data,Stocks,CF,8000,8000,122.3100,126.7800,35760,0,0,0,35760,
Mark-to-Market Performance Summary,Data,Stocks,CLSE,659624,659624,31.0200,31.0200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,CME,29,29,284.5300,287.2700,79.46,0,0,0,79.46,
Mark-to-Market Performance Summary,Data,Stocks,CNQ,27000,27000,46.3600,47.2100,22950,0,0,0,22950,
Mark-to-Market Performance Summary,Data,Stocks,CNXT,103455,103455,50.8000,51.8500,108627.75,0,0,0,108627.75,
Mark-to-Market Performance Summary,Data,Stocks,COIN,5,5,194.1000,181.7300,-61.85,0,0,0,-61.85,
Mark-to-Market Performance Summary,Data,Stocks,COLO,45862,45862,38.6800,38.4300,-11465.5,0,0,0,-11465.5,
Mark-to-Market Performance Summary,Data,Stocks,COPX,22500,22500,78.6900,77.7300,-21600,0,0,0,-21600,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,13,13,86.8600,89.5700,35.23,0,0,0,35.23,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10,10,174.2200,173.9500,-2.7,0,0,0,-2.7,
