Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"April 30, 2026"
Statement,Data,WhenGenerated,"2026-05-03, 21:22:01 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U8251256, U18135473F, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-137213993.74848467,27042.897009381,-120536138.48872973,-120509095.59172034,16704898.156764328
Net Asset Value,Data,Stock,229132074.2304569,213520426.22406352,0,213520426.22406352,-15611648.006393373
Net Asset Value,Data,Interest Accruals,-404528.9446287,471738.234335,-892038.860864,-420300.626529,-15771.6819003
Net Asset Value,Data,Dividend Accruals,79620.694999,80723.796737,-35.52,80688.276737,1067.581738
Net Asset Value,Data,Total,91593172.23234248,214099931.15214488,-121428212.86959372,92671718.28255115,1078546.050208673
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.177539792%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,91593172.23234248
Change in NAV,Data,Mark-to-Market,1094393.35869045
Change in NAV,Data,Dividends,30
Change in NAV,Data,Withholding Tax,-9
Change in NAV,Data,Change in Dividend Accruals,62.9880672
Change in NAV,Data,Change in Interest Accruals,-15642.2682065
Change in NAV,Data,Commissions,-1164.20831953
Change in NAV,Data,Other FX Translations,875.179977
Change in NAV,Data,Ending Value,92671718.28255115
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Forex,EUR,-15.51,-15.51,1.1675,1.1732,-0.088407,0,0,0,-0.088407,
Mark-to-Market Performance Summary,Data,Forex,HKD,12076.01003306,12076.01003306,0.1276,0.12768,0.9660808,0,0,0,0.9660808,
Mark-to-Market Performance Summary,Data,Forex,JPY,0.0015055,0.0015055,0.0062325,0.0063849,0.00000023,0,0,0,0.00000023,
Mark-to-Market Performance Summary,Data,Forex,SGD,-0.00005944,-0.00005944,0.78037,0.78555,-0.00000031,0,0,0,-0.00000031,
Mark-to-Market Performance Summary,Data,Forex,USD,-1421.936961216,-1421.936961216,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0.87767372,0,0,0,0.87767372,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,1052977.03480245,41416.323888,-1164.20831953,21,1093250.15037092,
Mark-to-Market Performance Summary,Data,Stocks,1109,2000,2000,32.9600,32.5000,-117.4656,0,0,0,-117.4656,
Mark-to-Market Performance Summary,Data,Stocks,1258,427000,427000,13.6900,13.4000,-15810.6144,0,0,0,-15810.6144,
Mark-to-Market Performance Summary,Data,Stocks,1288,6000,6000,6.1700,6.0800,-68.9472,0,0,0,-68.9472,
Mark-to-Market Performance Summary,Data,Stocks,1398,6000,6000,7.2200,7.0300,-145.5552,0,0,0,-145.5552,
Mark-to-Market Performance Summary,Data,Stocks,1698,2000,2000,36.5800,35.0800,-383.04,0,0,0,-383.04,
Mark-to-Market Performance Summary,Data,Stocks,1810,200,200,30.1400,29.0200,-28.60032,0,0,0,-28.60032,
Mark-to-Market Performance Summary,Data,Stocks,2359,300,300,137.8000,136.0000,-68.9472,0,0,0,-68.9472,
Mark-to-Market Performance Summary,Data,Stocks,2800,2000,2000,26.2400,25.9000,-86.8224,0,0,0,-86.8224,
Mark-to-Market Performance Summary,Data,Stocks,2828,600,600,91.0000,88.8800,-162.40896,0,0,0,-162.40896,
Mark-to-Market Performance Summary,Data,Stocks,2899,110000,110000,36.4600,35.6800,-10954.944,0,0,0,-10954.944,
Mark-to-Market Performance Summary,Data,Stocks,3067,700,700,10.3100,10.2600,-4.4688,0,0,0,-4.4688,
Mark-to-Market Performance Summary,Data,Stocks,3750,4700,4700,627.5000,608.0000,-11701.872,0,0,0,-11701.872,
Mark-to-Market Performance Summary,Data,Stocks,388,23500,23500,419.8000,412.4000,-22203.552,0,0,0,-22203.552,
Mark-to-Market Performance Summary,Data,Stocks,3988,4000,4000,5.1800,5.0600,-61.2864,0,0,0,-61.2864,
