Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"May 1, 2026"
Statement,Data,WhenGenerated,"2026-05-03, 21:24:09 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U8251256, U18135473F, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-120509095.59172034,6959.683271643,-122024777.74516435,-122017818.0618927,-1508722.470172361
Net Asset Value,Data,Stock,213520426.22406352,214676774.5637966,0,214676774.5637966,1156348.339733094
Net Asset Value,Data,Interest Accruals,-420300.626529,487354.1204754,-923268.3731616,-435914.2526862,-15613.6261572
Net Asset Value,Data,Dividend Accruals,80688.276737,312680.8070904,-101829.24,210851.5670904,130163.2903534
Net Asset Value,Data,Total,92671718.28255115,215483769.17463407,-123049875.35832594,92433893.81630813,-237824.466243029
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.256631118%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,92671718.28255115
Change in NAV,Data,Mark-to-Market,-364460.07277956
Change in NAV,Data,Dividends,17416.7955
Change in NAV,Data,Withholding Tax,-5186.722866
Change in NAV,Data,Change in Dividend Accruals,130271.3458784
Change in NAV,Data,Change in Interest Accruals,-15629.1965868
Change in NAV,Data,Commissions,-144.1302937
Change in NAV,Data,Other FX Translations,-92.4850954
Change in NAV,Data,Ending Value,92433893.81630813
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Forex,EUR,-15.51,-15.51,1.1732,1.1721,0.017061,0,0,0,0.017061,
Mark-to-Market Performance Summary,Data,Forex,HKD,12076.01003306,12076.01003306,0.12768,0.12764,-0.4830404,0,0,0,-0.4830404,
Mark-to-Market Performance Summary,Data,Forex,JPY,0.0015055,0.0015055,0.0063849,0.0063672,-0.00000003,0,0,0,-0.00000003,
Mark-to-Market Performance Summary,Data,Forex,SGD,-0.00005944,-0.00005944,0.78555,0.78518,0.00000002,0,0,0,0.00000002,
Mark-to-Market Performance Summary,Data,Forex,USD,-1421.936961216,-1421.936961216,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,-0.46597941,0,0,0,-0.46597941,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,-366300.93277956,1840.86,-144.1302937,12230.072634,-352374.13043926,
Mark-to-Market Performance Summary,Data,Stocks,1109,2000,2000,32.5000,32.5000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1258,427000,427000,13.4000,13.4000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1288,6000,6000,6.0800,6.0800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1398,6000,6000,7.0300,7.0300,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1698,2000,2000,35.0800,35.0800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,1810,200,200,29.0200,29.0200,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2359,300,300,136.0000,136.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2800,2000,2000,25.9000,25.9000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2828,600,600,88.8800,88.8800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,2899,110000,110000,35.6800,35.6800,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3067,700,700,10.2600,10.2600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3750,4700,4700,608.0000,608.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,388,23500,23500,412.4000,412.4000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,3988,4000,4000,5.0600,5.0600,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,6301.T,35300,35300,"6,557.0000","6,514.0000",-9664.77288,0,0,0,-9664.77288,
Mark-to-Market Performance Summary,Data,Stocks,700,200,200,467.8000,467.8000,0,0,0,0,0,
