Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"May 4, 2026"
Statement,Data,WhenGenerated,"2026-05-05, 21:21:38 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U8251256, U18135473F, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122017818.0618927,6959.931627048,-122007152.2617377,-122000192.33011065,17625.731782049
Net Asset Value,Data,Stock,214676774.5637966,214819276.8032641,0,214819276.8032641,142502.239467502
Net Asset Value,Data,Interest Accruals,-435914.2526862,528764.2682932,-1006079.8788857,-477315.6105925,-41401.3579063
Net Asset Value,Data,Dividend Accruals,210851.5670904,312749.1852003,-101829.25,210919.9352003,68.3681099
Net Asset Value,Data,Total,92433893.81630813,215667750.18838465,-123115061.3906234,92552688.79776125,118794.981453121
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.128518854%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,92433893.81630813
Change in NAV,Data,Mark-to-Market,160127.97124954
Change in NAV,Data,Change in Dividend Accruals,194.8152695
Change in NAV,Data,Change in Interest Accruals,-41426.4359094
Change in NAV,Data,Other FX Translations,-101.3691565
Change in NAV,Data,Ending Value,92552688.79776125
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Forex,EUR,-15.51,-15.51,1.1721,1.1691,0.04653,0,0,0,0.04653,
Mark-to-Market Performance Summary,Data,Forex,HKD,12076.01003306,12076.01003306,0.12764,0.12767,0.3622803,0,0,0,0.3622803,
Mark-to-Market Performance Summary,Data,Forex,JPY,0.0015055,0.0015055,0.0063672,0.0063592,-0.00000001,0,0,0,-0.00000001,
Mark-to-Market Performance Summary,Data,Forex,SGD,-0.00005944,-0.00005944,0.78518,0.78293,0.00000013,0,0,0,0.00000013,
Mark-to-Market Performance Summary,Data,Forex,USD,-1421.936961216,-1421.936961216,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0.40881042,0,0,0,0.40881042,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,160127.97124954,0,0,0,160127.97124954,
Mark-to-Market Performance Summary,Data,Stocks,1109,2000,2000,32.5000,33.0400,137.8836,0,0,0,137.8836,
Mark-to-Market Performance Summary,Data,Stocks,1258,427000,427000,13.4000,12.8700,-28892.9977,0,0,0,-28892.9977,
Mark-to-Market Performance Summary,Data,Stocks,1288,6000,6000,6.0800,5.9400,-107.2428,0,0,0,-107.2428,
Mark-to-Market Performance Summary,Data,Stocks,1398,6000,6000,7.0300,6.9200,-84.2622,0,0,0,-84.2622,
Mark-to-Market Performance Summary,Data,Stocks,1698,2000,2000,35.0800,35.7200,163.4176,0,0,0,163.4176,
Mark-to-Market Performance Summary,Data,Stocks,1810,200,200,29.0200,30.9800,50.04664,0,0,0,50.04664,
Mark-to-Market Performance Summary,Data,Stocks,2359,300,300,136.0000,137.4000,53.6214,0,0,0,53.6214,
Mark-to-Market Performance Summary,Data,Stocks,2800,2000,2000,25.9000,26.2400,86.8156,0,0,0,86.8156,
Mark-to-Market Performance Summary,Data,Stocks,2828,600,600,88.8800,89.9800,84.2622,0,0,0,84.2622,
Mark-to-Market Performance Summary,Data,Stocks,2899,110000,110000,35.6800,35.8000,1685.244,0,0,0,1685.244,
Mark-to-Market Performance Summary,Data,Stocks,3067,700,700,10.2600,10.4600,17.8738,0,0,0,17.8738,
Mark-to-Market Performance Summary,Data,Stocks,3750,4700,4700,608.0000,631.5000,14101.1515,0,0,0,14101.1515,
Mark-to-Market Performance Summary,Data,Stocks,388,23500,23500,412.4000,415.0000,7800.637,0,0,0,7800.637,
Mark-to-Market Performance Summary,Data,Stocks,3988,4000,4000,5.0600,5.0900,15.3204,0,0,0,15.3204,
Mark-to-Market Performance Summary,Data,Stocks,6301.T,35300,35300,"6,514.0000","6,514.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,200,200,467.8000,473.0000,132.7768,0,0,0,132.7768,
Mark-to-Market Performance Summary,Data,Stocks,762,16000,16000,7.3200,7.3400,40.8544,0,0,0,40.8544,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,2100,2100,"5,390.0000","5,390.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,342000,342000,12.0300,11.7000,-14408.8362,0,0,0,-14408.8362,
Mark-to-Market Performance Summary,Data,Stocks,883,106000,106000,29.3800,28.6200,-10285.0952,0,0,0,-10285.0952,
Mark-to-Market Performance Summary,Data,Stocks,9633,1800,1800,46.8000,46.3600,-101.11464,0,0,0,-101.11464,
Mark-to-Market Performance Summary,Data,Stocks,A17U,6000,6000,2.4900,2.5100,93.9516,0,0,0,93.9516,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,790,790,117.5000,109.2200,-6541.2,0,0,0,-6541.2,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1362,1362,184.9700,180.2600,-6415.02,0,0,0,-6415.02,
Mark-to-Market Performance Summary,Data,Stocks,AVDV,18900,18900,105.6100,104.7400,-16443,0,0,0,-16443,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,22075,22075,90.5300,90.3800,-3311.25,0,0,0,-3311.25,
Mark-to-Market Performance Summary,Data,Stocks,AVUV,14660,14660,119.9600,118.5600,-20524,0,0,0,-20524,
Mark-to-Market Performance Summary,Data,Stocks,BABA,14901,14901,131.5000,133.2700,26374.77,0,0,0,26374.77,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,70,70,21.8800,22.7900,63.7,0,0,0,63.7,
Mark-to-Market Performance Summary,Data,Stocks,BN4,3000,3000,10.8700,10.8700,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,821,821,216.3100,216.6800,303.77,0,0,0,303.77,
Mark-to-Market Performance Summary,Data,Stocks,C6L,200,200,6.2900,6.2700,-3.13172,0,0,0,-3.13172,
Mark-to-Market Performance Summary,Data,Stocks,CEG,15,15,307.8100,321.0500,198.6,0,0,0,198.6,
Mark-to-Market Performance Summary,Data,Stocks,CLSE,659624,659624,31.4200,31.4500,19788.72,0,0,0,19788.72,
Mark-to-Market Performance Summary,Data,Stocks,CME,29,29,289.5400,290.2900,21.75,0,0,0,21.75,
Mark-to-Market Performance Summary,Data,Stocks,CNXT,103455,103455,53.3900,52.8800,-52762.05,0,0,0,-52762.05,
Mark-to-Market Performance Summary,Data,Stocks,COIN,5,5,191.2500,202.9900,58.7,0,0,0,58.7,
Mark-to-Market Performance Summary,Data,Stocks,COLO,45862,45862,38.2300,37.4500,-35772.36,0,0,0,-35772.36,
