Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"May 5, 2026"
Statement,Data,WhenGenerated,"2026-05-06, 01:47:27 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U8251256, U18135473F, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122000192.33011065,7033.290399961,-121777414.15787771,-121770380.86747774,229811.462632909
Net Asset Value,Data,Stock,214819276.8032641,215898977.7126563,0,215898977.7126563,1079700.909392178
Net Asset Value,Data,Interest Accruals,-477315.6105925,55383.7859938,-110758.1507115,-55374.3647177,421941.2458748
Net Asset Value,Data,Dividend Accruals,210919.9352003,312643.7772396,-101829.25,210814.5272396,-105.4079607
Net Asset Value,Data,Total,92552688.79776125,216274038.56628966,-121990001.55858922,94284037.00770044,1731348.209939197
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.870662249%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,92552688.79776125
Change in NAV,Data,Mark-to-Market,1745438.65919072
Change in NAV,Data,Change in Dividend Accruals,-7.1014965
Change in NAV,Data,Interest,-435881.8557924
Change in NAV,Data,Change in Interest Accruals,421933.6237879
Change in NAV,Data,Commissions,-44.43137325
Change in NAV,Data,Other FX Translations,-90.6843773
Change in NAV,Data,Ending Value,94284037.00770044
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Forex,EUR,-15.51,-15.51,1.1691,1.1693,-0.003102,0,0,0,-0.003102,
Mark-to-Market Performance Summary,Data,Forex,HKD,12076.01003306,12076.01003306,0.12767,0.12761,-0.7245606,0,0,0,-0.7245606,
Mark-to-Market Performance Summary,Data,Forex,JPY,0.0015055,0.0015055,0.0063592,0.0063333,-0.00000004,0,0,0,-0.00000004,
Mark-to-Market Performance Summary,Data,Forex,SGD,-0.00005944,-0.00005944,0.78293,0.78399,-0.00000006,0,0,0,-0.00000006,
Mark-to-Market Performance Summary,Data,Forex,USD,-1421.936961216,-1427.016961216,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,-0.7276627,0,0,0,-0.7276627,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,1710946.71919072,34491.94,-44.43137325,0,1745394.22781747,
Mark-to-Market Performance Summary,Data,Stocks,1109,2000,2000,33.0400,33.1200,20.4176,0,0,0,20.4176,
Mark-to-Market Performance Summary,Data,Stocks,1258,427000,427000,12.8700,12.6800,-10352.9993,0,0,0,-10352.9993,
Mark-to-Market Performance Summary,Data,Stocks,1288,6000,6000,5.9400,5.8700,-53.5962,0,0,0,-53.5962,
Mark-to-Market Performance Summary,Data,Stocks,1398,6000,6000,6.9200,6.9000,-15.3132,0,0,0,-15.3132,
Mark-to-Market Performance Summary,Data,Stocks,1698,2000,2000,35.7200,35.8600,35.7308,0,0,0,35.7308,
Mark-to-Market Performance Summary,Data,Stocks,1810,200,200,30.9800,30.4600,-13.27144,0,0,0,-13.27144,
Mark-to-Market Performance Summary,Data,Stocks,2359,300,300,137.4000,137.3000,-3.8283,0,0,0,-3.8283,
Mark-to-Market Performance Summary,Data,Stocks,2800,2000,2000,26.2400,26.0200,-56.1484,0,0,0,-56.1484,
Mark-to-Market Performance Summary,Data,Stocks,2828,600,600,89.9800,89.5400,-33.68904,0,0,0,-33.68904,
Mark-to-Market Performance Summary,Data,Stocks,2899,110000,110000,35.8000,35.5000,-4211.13,0,0,0,-4211.13,
Mark-to-Market Performance Summary,Data,Stocks,3067,700,700,10.4600,10.3300,-11.61251,0,0,0,-11.61251,
Mark-to-Market Performance Summary,Data,Stocks,3750,4700,4700,631.5000,655.0000,14094.5245,0,0,0,14094.5245,
Mark-to-Market Performance Summary,Data,Stocks,388,23500,23500,415.0000,418.2000,9596.272,0,0,0,9596.272,
Mark-to-Market Performance Summary,Data,Stocks,3988,4000,4000,5.0900,5.0500,-20.4176,0,0,0,-20.4176,
Mark-to-Market Performance Summary,Data,Stocks,6301.T,35300,35300,"6,514.0000","6,514.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,700,200,200,473.0000,472.2000,-20.4176,0,0,0,-20.4176,
Mark-to-Market Performance Summary,Data,Stocks,762,16000,16000,7.3400,7.3200,-40.8352,0,0,0,-40.8352,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,2100,2100,"5,390.0000","5,390.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,857,342000,342000,11.7000,11.6800,-872.8524,0,0,0,-872.8524,
Mark-to-Market Performance Summary,Data,Stocks,883,106000,106000,28.6200,28.5600,-811.5996,0,0,0,-811.5996,
Mark-to-Market Performance Summary,Data,Stocks,9633,1800,1800,46.3600,45.7000,-151.60068,0,0,0,-151.60068,
Mark-to-Market Performance Summary,Data,Stocks,A17U,6000,6000,2.5100,2.5100,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,AGQ,790,0,109.2200,109.1700,-39.5,2370,-6.09190686,0,2324.40809314,
Mark-to-Market Performance Summary,Data,Stocks,AVAV,1362,0,180.2600,166.6900,-18482.34,20920.32,-12.46339301,0,2425.51660699,
Mark-to-Market Performance Summary,Data,Stocks,AVDV,18900,18900,104.7400,106.1000,25704,0,0,0,25704,
Mark-to-Market Performance Summary,Data,Stocks,AVEM,22075,22075,90.3800,92.2300,40838.75,0,0,0,40838.75,
Mark-to-Market Performance Summary,Data,Stocks,AVUV,14660,14660,118.5600,120.1600,23456,0,0,0,23456,
Mark-to-Market Performance Summary,Data,Stocks,BABA,14901,14901,133.2700,132.2600,-15050.01,0,0,0,-15050.01,
Mark-to-Market Performance Summary,Data,Stocks,BMNR,70,70,22.7900,23.1000,21.7,0,0,0,21.7,
Mark-to-Market Performance Summary,Data,Stocks,BN4,3000,3000,10.8700,10.9700,235.197,0,0,0,235.197,
Mark-to-Market Performance Summary,Data,Stocks,BWXT,821,821,216.6800,206.1500,-8645.13,0,0,0,-8645.13,
Mark-to-Market Performance Summary,Data,Stocks,C6L,200,200,6.2700,6.2600,-1.56798,0,0,0,-1.56798,
Mark-to-Market Performance Summary,Data,Stocks,CEG,15,15,321.0500,320.4200,-9.45,0,0,0,-9.45,
Mark-to-Market Performance Summary,Data,Stocks,CLSE,659624,659624,31.4500,31.9600,336408.24,0,0,0,336408.24,
Mark-to-Market Performance Summary,Data,Stocks,CME,29,29,290.2900,286.8200,-100.63,0,0,0,-100.63,
Mark-to-Market Performance Summary,Data,Stocks,CNXT,103455,103455,52.8800,53.2261,35805.78,0,0,0,35805.78,
Mark-to-Market Performance Summary,Data,Stocks,COIN,5,5,202.9900,197.7500,-26.2,0,0,0,-26.2,
Mark-to-Market Performance Summary,Data,Stocks,COLO,45862,45862,37.4500,37.9900,24765.48,0,0,0,24765.48,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,13,13,92.6300,94.3000,21.71,0,0,0,21.71,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10,10,166.8900,169.2500,23.6,0,0,0,23.6,
Mark-to-Market Performance Summary,Data,Stocks,CVX,361,361,192.2800,192.6400,129.96,0,0,0,129.96,
Mark-to-Market Performance Summary,Data,Stocks,D05,800,800,58.6000,58.5500,-31.3596,0,0,0,-31.3596,
Mark-to-Market Performance Summary,Data,Stocks,DBMF,612026,612026,30.7000,30.7400,24481.04,0,0,0,24481.04,
Mark-to-Market Performance Summary,Data,Stocks,DE,401,401,578.3900,575.7900,-1042.6,0,0,0,-1042.6,
Mark-to-Market Performance Summary,Data,Stocks,DG,5000,5000,114.4800,117.0100,12650,0,0,0,12650,
Mark-to-Market Performance Summary,Data,Stocks,EBND,271664,271664,20.8000,20.9000,27166.4,0,0,0,27166.4,
Mark-to-Market Performance Summary,Data,Stocks,EFA,1,1,100.7000,102.0400,1.34,0,0,0,1.34,
Mark-to-Market Performance Summary,Data,Stocks,EMLC,224882,224882,25.2700,25.3600,20239.38,0,0,0,20239.38,
