Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 2, 2026"
Statement,Data,WhenGenerated,"2026-06-03, 01:25:19 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U8251256, U18135473F, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-97792930.62892285,4578.842686956,-97264842.35408342,-97260263.51139647,532667.117526382
Net Asset Value,Data,Stock,197706286.33717197,197858229.9173872,0,197858229.9173872,151943.580215216
Net Asset Value,Data,Interest Accruals,-392920.9188438,404668.1673446,-809365.7197599,-404697.5524153,-11776.6335715
Net Asset Value,Data,Dividend Accruals,145690.3182562,227269.7913541,-81639.72,145630.0713541,-60.2469021
Net Asset Value,Data,Total,99666125.10766153,198494746.71877283,-98155847.79384331,100338898.92492951,672773.817267984
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.675027565%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,99666125.10766153
Change in NAV,Data,Mark-to-Market,684670.00534905
Change in NAV,Data,Change in Interest Accruals,-11786.0665446
Change in NAV,Data,Commissions,-59.30760751
Change in NAV,Data,Other FX Translations,-50.813929
Change in NAV,Data,Ending Value,100338898.92492951
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Forex,EUR,-15.51,-15.51,1.1632,1.1631,0.001551,0,0,0,0.001551,
Mark-to-Market Performance Summary,Data,Forex,HKD,12076.01003306,12076.01003306,0.12759,0.1276,0.1207601,0,0,0,0.1207601,
Mark-to-Market Performance Summary,Data,Forex,JPY,0.0015055,0.0015055,0.0062628,0.0062527,-0.00000001,0,0,0,-0.00000001,
Mark-to-Market Performance Summary,Data,Forex,SGD,-0.00005944,-0.00005944,0.78204,0.78151,0.00000003,0,0,0,0.00000003,
Mark-to-Market Performance Summary,Data,Forex,USD,-1427.016961216,-1427.016961216,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0.12231112,0,0,0,0.12231112,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,684294.64714905,375.3582,-59.30760751,0,684610.69774154,
Mark-to-Market Performance Summary,Data,Stocks,1109,2000,2000,36.4200,36.1600,-66.352,0,0,0,-66.352,
Mark-to-Market Performance Summary,Data,Stocks,1258,471000,471000,14.3500,15.2200,52286.652,0,0,0,52286.652,
Mark-to-Market Performance Summary,Data,Stocks,1288,6000,6000,5.7600,5.8500,68.904,0,0,0,68.904,
Mark-to-Market Performance Summary,Data,Stocks,1398,1306000,1306000,6.6500,6.8000,24996.84,0,0,0,24996.84,
Mark-to-Market Performance Summary,Data,Stocks,1698,2000,2000,36.1400,38.0200,479.776,0,0,0,479.776,
Mark-to-Market Performance Summary,Data,Stocks,1810,200,200,28.7200,29.6200,22.968,0,0,0,22.968,
Mark-to-Market Performance Summary,Data,Stocks,2359,300,300,128.2000,129.7000,57.42,0,0,0,57.42,
Mark-to-Market Performance Summary,Data,Stocks,2800,2000,2000,25.6800,26.3200,163.328,0,0,0,163.328,
Mark-to-Market Performance Summary,Data,Stocks,2828,600,600,87.3200,90.1600,217.4304,0,0,0,217.4304,
Mark-to-Market Performance Summary,Data,Stocks,2899,210000,210000,32.7600,34.4400,45017.28,0,0,0,45017.28,
Mark-to-Market Performance Summary,Data,Stocks,3067,700,700,10.4300,10.9400,45.5532,0,0,0,45.5532,
Mark-to-Market Performance Summary,Data,Stocks,3750,4700,4700,753.5000,779.5000,15592.72,0,0,0,15592.72,
Mark-to-Market Performance Summary,Data,Stocks,388,33000,33000,400.2000,410.4000,42950.16,0,0,0,42950.16,
Mark-to-Market Performance Summary,Data,Stocks,3988,4000,4000,5.2200,5.3100,45.936,0,0,0,45.936,
Mark-to-Market Performance Summary,Data,Stocks,6301.T,35300,35300,"6,470.0000","6,544.0000",16333.30294,0,0,0,16333.30294,
Mark-to-Market Performance Summary,Data,Stocks,700,200,200,436.0000,481.6000,1163.712,0,0,0,1163.712,
Mark-to-Market Performance Summary,Data,Stocks,762,16000,16000,7.7500,7.8300,163.328,0,0,0,163.328,
Mark-to-Market Performance Summary,Data,Stocks,8360.T,2100,2100,"5,630.0000","5,790.0000",2100.9072,0,0,0,2100.9072,
Mark-to-Market Performance Summary,Data,Stocks,9633,1800,1800,43.5600,44.0400,110.2464,0,0,0,110.2464,
Mark-to-Market Performance Summary,Data,Stocks,A17U,6000,6000,2.5000,2.5000,0,0,0,0,0,
