Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 3, 2025"
Statement,Data,WhenGenerated,"2025-01-05, 20:35:50 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,1686339.481053195,-133410990.94660401,-131724651.46555082,-9386900.869690314
Net Asset Value,Data,Stock,194133060.80600002,198672382.696,0,198672382.696,4539321.889999986
Net Asset Value,Data,Options,-107017.55,131350.1,-233346.26,-101996.16,5021.39
Net Asset Value,Data,Interest Accruals,-523154.9986953,0,-577631.2614377,-577631.2614377,-54476.2627424
Net Asset Value,Data,Dividend Accruals,39694.96,80284.8493672,-226.18,80058.6693672,40363.7093672
Net Asset Value,Data,Total,71204832.62144418,200570357.1264204,-134222194.64804173,66348162.47837868,-4856670.143065497
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,6.660759336%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,4158389.03421299
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Change in Dividend Accruals,40372.7172875
Change in NAV,Data,Change in Interest Accruals,-54592.6749337
Change in NAV,Data,Other Fees,-188.39
Change in NAV,Data,Commissions,-664.62300357
Change in NAV,Data,Transaction Fees,-93.61089972
Change in NAV,Data,Other FX Translations,107.404271
Change in NAV,Data,Ending Value,66348162.47837868
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,22.4500,-2444.635,0,0,0,-2444.635,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,258.0000,-28199.634,0,0,0,-28199.634,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.2500,-60763.5,0,0,0,-60763.5,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,100000,34.5000,36.2500,17997.2,2314.08,-146.04907099,0,20165.23092901,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,75.9500,-1221.575,0,0,0,-1221.575,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,44.0500,-32146.9375,0,0,0,-32146.9375,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,52.8000,-9515.45,0,0,0,-9515.45,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,73.2400,-58185.6,0,0,0,-58185.6,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.2150,-13503.66,0,0,0,-13503.66,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,153.7000,3213.5875,0,0,0,3213.5875,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,490.5000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,937.0000",0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.3000,-3087.024,0,0,0,-3087.024,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,414.2000,-14939.917,0,0,0,-14939.917,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,19.0200,-6431.6,0,0,0,-6431.6,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,75.8500,-12056.25,0,0,0,-12056.25,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,134.2000,-2893.9125,0,0,0,-2893.9125,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,10.0800,9.8300,-1607.435,0,0,0,-1607.435,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,540.0000,516.5000,-28706.72,0,0,0,-28706.72,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,82.4000,82.6000,770.37,0,0,0,770.37,
Mark-to-Market Performance Summary,Data,Stocks,9CI,500000,500000,2.6200,2.6800,21896.85,0,0,0,21896.85,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,2000,250.4200,243.3600,-14120,0,0,0,-14120,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,2000,219.3900,224.1900,9600,0,0,0,9600,
Mark-to-Market Performance Summary,Data,Stocks,ANF,1000,1000,149.4700,158.9200,9450,0,0,0,9450,
Mark-to-Market Performance Summary,Data,Stocks,ASML,500,500,693.0800,714.3600,10640,0,0,0,10640,
Mark-to-Market Performance Summary,Data,Stocks,BILI,2500,2500,18.1100,17.1200,-2475,0,0,0,-2475,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,2000,2000,453.2800,453.5600,560,0,0,0,560,
Mark-to-Market Performance Summary,Data,Stocks,BX,1500,1500,172.4200,175.9100,5235,0,0,0,5235,
Mark-to-Market Performance Summary,Data,Stocks,CAT,0,800,--,363.7900,0,3040,-2.075058,0,3037.924942,
Mark-to-Market Performance Summary,Data,Stocks,CCJ,2000,2000,51.3900,53.1200,3460,0,0,0,3460,
Mark-to-Market Performance Summary,Data,Stocks,CRM,1000,1000,334.3300,332.9000,-1430,0,0,0,-1430,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10000,10000,182.7000,185.8500,31500,0,0,0,31500,
Mark-to-Market Performance Summary,Data,Stocks,CWB,38350,38350,77.8900,79.0200,43335.5,0,0,0,43335.5,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,50000,43.7200,43.6200,-3649.91,0,0,0,-3649.91,
Mark-to-Market Performance Summary,Data,Stocks,DBA,55000,55000,26.5900,26.4900,-5500,0,0,0,-5500,
Mark-to-Market Performance Summary,Data,Stocks,DIA,2000,2000,425.5000,427.1600,3320,0,0,0,3320,
Mark-to-Market Performance Summary,Data,Stocks,EPI,50000,50000,45.2700,45.8400,28500,0,0,0,28500,
Mark-to-Market Performance Summary,Data,Stocks,FPE,200000,200000,17.7000,17.8000,20000,0,0,0,20000,
Mark-to-Market Performance Summary,Data,Stocks,GLD,69481,69481,242.1300,243.4900,94494.16,0,0,0,94494.16,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,2000,3000,190.4400,193.1300,5380,21.99,-3.3435725,0,5398.6464275,
Mark-to-Market Performance Summary,Data,Stocks,GS,2000,2000,572.6200,580.1300,15020,0,0,0,15020,
Mark-to-Market Performance Summary,Data,Stocks,HES,11100,11100,133.0100,136.3900,37518,0,0,0,37518,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,55000,55000,26.1700,26.3200,8250,0,0,0,8250,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,53000,53000,53.0500,55.9600,154230,0,0,0,154230,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1000,1000,149.0100,149.8400,830,0,0,0,830,
Mark-to-Market Performance Summary,Data,Stocks,IGV,10000,11000,100.1200,101.4700,13500,-2030,0,0,11470,
Mark-to-Market Performance Summary,Data,Stocks,IJH,63000,63000,62.3100,62.9100,37800,0,0,0,37800,
Mark-to-Market Performance Summary,Data,Stocks,ISTB,21013,21013,47.7700,47.7500,-420.26,0,0,0,-420.26,
Mark-to-Market Performance Summary,Data,Stocks,IWM,36000,36000,220.9600,224.4300,124920,0,0,0,124920,
Mark-to-Market Performance Summary,Data,Stocks,JPM,3000,3000,239.7100,243.2800,10710,0,0,0,10710,
Mark-to-Market Performance Summary,Data,Stocks,KO,5000,5000,62.2600,61.7500,-2550,0,0,0,-2550,
Mark-to-Market Performance Summary,Data,Stocks,LLY,400,400,772.0000,781.9800,3992,0,0,0,3992,
Mark-to-Market Performance Summary,Data,Stocks,LQD,20000,20000,106.8400,106.6000,-4800,0,0,0,-4800,
Mark-to-Market Performance Summary,Data,Stocks,MBB,4000,4000,91.6800,91.4800,-800,0,0,0,-800,
Mark-to-Market Performance Summary,Data,Stocks,MCD,10500,10500,289.8900,294.7800,51345,0,0,0,51345,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,1400,1400,421.5000,423.3500,2590,0,0,0,2590,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,167800,167800,134.2900,144.4700,1708204,0,0,0,1708204,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,1500,1500,166.6400,166.3200,-480,0,0,0,-480,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2000,2000,181.9600,183.2500,2580,0,0,0,2580,
Mark-to-Market Performance Summary,Data,Stocks,PDD,11400,11400,96.9900,96.8200,-1938,0,0,0,-1938,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,1500,1500,75.6300,79.8900,6390,0,0,0,6390,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,62000,62000,511.2300,518.5800,455700,0,0,0,455700,
Mark-to-Market Performance Summary,Data,Stocks,RSP,10000,10000,175.2300,176.3200,10900,0,0,0,10900,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5000,5000,115.7200,115.8700,750,0,0,0,750,
Mark-to-Market Performance Summary,Data,Stocks,SE,5500,5500,106.1000,106.3200,1210,0,0,0,1210,
Mark-to-Market Performance Summary,Data,Stocks,SHYD,12000,12000,22.4800,22.5400,720,0,0,0,720,
Mark-to-Market Performance Summary,Data,Stocks,STIP,15000,15000,100.6000,100.5900,-150,0,0,0,-150,
Mark-to-Market Performance Summary,Data,Stocks,TLT,52500,52500,87.3300,87.2900,-2100,0,0,0,-2100,
Mark-to-Market Performance Summary,Data,Stocks,TSM,81500,81500,197.4900,208.6100,906280,0,0,0,906280,
Mark-to-Market Performance Summary,Data,Stocks,USHY,40000,40000,36.7900,36.9600,6800,0,0,0,6800,
Mark-to-Market Performance Summary,Data,Stocks,VCIT,30000,30000,80.2700,80.1400,-3900,0,0,0,-3900,
Mark-to-Market Performance Summary,Data,Stocks,VKTX,2000,2000,40.2400,42.8900,5300,0,0,0,5300,
Mark-to-Market Performance Summary,Data,Stocks,XHB,5500,5500,104.5000,104.7700,1485,0,0,0,1485,
Mark-to-Market Performance Summary,Data,Stocks,XLE,67500,67500,85.6600,87.4700,122175,0,0,0,122175,
Mark-to-Market Performance Summary,Data,Stocks,XLF,199563,199563,48.3300,48.5900,51886.38,0,0,0,51886.38,
Mark-to-Market Performance Summary,Data,Stocks,XLK,24100,24100,232.5200,235.7500,77843,0,0,0,77843,
Mark-to-Market Performance Summary,Data,Stocks,XLU,6000,6000,75.6900,77.0800,8340,0,0,0,8340,
Mark-to-Market Performance Summary,Data,Stocks,XLV,31500,31500,137.5700,138.9600,43785,0,0,0,43785,
Mark-to-Market Performance Summary,Data,Stocks,XME,13500,13500,56.7500,57.3800,8505,0,0,0,8505,
Mark-to-Market Performance Summary,Data,Stocks,XSW,4300,4300,188.9600,193.8500,21027,0,0,0,21027,
Mark-to-Market Performance Summary,Data,Stocks,Z74,200000,200000,3.0800,3.0900,1459.76,0,0,0,1459.76,
