Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 7, 2025"
Statement,Data,WhenGenerated,"2025-01-08, 01:26:39 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,1175181.451053185,-133086791.71831103,-131911610.26725784,-9573859.671397328
Net Asset Value,Data,Stock,194133060.80600002,196935241.18949997,0,196935241.18949997,2802180.38349995
Net Asset Value,Data,Options,-107017.55,98122.6,-308762.95025,-210640.35025,-103622.80025
Net Asset Value,Data,Interest Accruals,-523154.9986953,0,-110295.6169759,-110295.6169759,412859.3817194
Net Asset Value,Data,Dividend Accruals,39694.96,82309.5198973,-234.28,82075.2398973,42380.2798973
Net Asset Value,Data,Total,71204832.62144418,198290854.76045045,-133506084.56553693,64784770.19491352,-6420062.426530659
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,4.147462783%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,2667490.061932221
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Change in Dividend Accruals,42379.8473135
Change in NAV,Data,Interest,-540990.4926907
Change in NAV,Data,Change in Interest Accruals,412819.0763067
Change in NAV,Data,Other Fees,-188.39
Change in NAV,Data,Commissions,-1290.47905123
Change in NAV,Data,Transaction Fees,-322.78833763
Change in NAV,Data,Other FX Translations,40.7379965
Change in NAV,Data,Ending Value,64784770.19491352
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,22.1500,-9775.405,0,0,0,-9775.405,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,259.2000,-24265.494,0,0,0,-24265.494,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.2600,-57388.5375,0,0,0,-57388.5375,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,150000,34.5000,34.1500,-9006.6,-257.72,-503.87449656,0,-9768.19449656,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,76.6000,-803.7375,0,0,0,-803.7375,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,43.2500,-45006.3125,0,0,0,-45006.3125,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,51.5000,-12859.03,0,0,0,-12859.03,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,72.0600,-124192.587,0,0,0,-124192.587,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.1200,-20833.35,0,0,0,-20833.35,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,148.7000,-4824.0375,0,0,0,-4824.0375,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,549.5000",3735.765,0,0,0,3735.765,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","4,038.0000",9593.265,0,0,0,9593.265,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.3400,-1852.464,0,0,0,-1852.464,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,379.6000,-199586.282,0,0,0,-199586.282,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,18.9800,-9002.2,0,0,0,-9002.2,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,75.6000,-16074.5625,0,0,0,-16074.5625,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,135.0000,-1607.6375,0,0,0,-1607.6375,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,10.0800,9.7200,-2314.65,0,0,0,-2314.65,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,540.0000,507.5000,-39700.405,0,0,0,-39700.405,
