Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 14, 2025"
Statement,Data,WhenGenerated,"2025-01-15, 00:46:30 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,1224965.581053053,-133647905.1295394,-132422939.54848635,-10085188.95262584
Net Asset Value,Data,Stock,194133060.80600002,193205798.51,0,193205798.51,-927262.296000034
Net Asset Value,Data,Options,-107017.55,492043.4,-43931.8159,448111.5841,555129.1341
Net Asset Value,Data,Interest Accruals,-523154.9986953,0,-239801.721563,-239801.721563,283353.2771323
Net Asset Value,Data,Dividend Accruals,39694.96,43226.9078374,-234.28,42992.6278374,3297.6678374
Net Asset Value,Data,Total,71204832.62144418,194966034.39889044,-133931872.9470024,61034161.45188804,-10170671.16955614
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-1.88198493%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,-953360.78695729
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Dividends,49967.11
Change in NAV,Data,Withholding Tax,-10420.46
Change in NAV,Data,Change in Dividend Accruals,3350.4273135
Change in NAV,Data,Interest,-540990.4926907
Change in NAV,Data,Change in Interest Accruals,283293.82164
Change in NAV,Data,Other Fees,-188.39
Change in NAV,Data,Commissions,-1926.8120184
Change in NAV,Data,Transaction Fees,-402.28285943
Change in NAV,Data,Other FX Translations,6.6960162
Change in NAV,Data,Ending Value,61034161.45188804
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,22.0500,-12219.66,0,0,0,-12219.66,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,257.0000,-31482.708,0,0,0,-31482.708,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.1900,-80985.45,0,0,0,-80985.45,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,150000,34.5000,33.7500,-16728.975,-257.72,-503.87449656,0,-17490.56949656,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,78.5000,416.5675,0,0,0,416.5675,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,41.4000,-74706.6875,0,0,0,-74706.6875,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,54.1500,-6051.93,0,0,0,-6051.93,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,71.5600,-152159.607,0,0,0,-152159.607,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.1250,-20454.75,0,0,0,-20454.75,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,144.3000,-11892.2,0,0,0,-11892.2,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,518.5000",1771.94,0,0,0,1771.94,
Mark-to-Market Performance Summary,Data,Stocks,6181,0,2000,--,292.0000,-102.656,-1589.7918,-125.77489184,0,-1818.22269184,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,739.0000",-18790.8735,0,0,0,-18790.8735,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.2800,-3707.424,0,0,0,-3707.424,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,375.0000,-224145.484,0,0,0,-224145.484,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,19.4800,23102.9,0,0,0,23102.9,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,74.3000,-36948.375,0,0,0,-36948.375,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,135.9000,-164.2125,0,0,0,-164.2125,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,10.0800,9.2800,-5139.905,0,0,0,-5139.905,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,9500,540.0000,504.5000,-43360.1945,0,0,0,-43360.1945,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,30000,82.4000,79.9500,-9448.14,0,0,0,-9448.14,
Mark-to-Market Performance Summary,Data,Stocks,9CI,500000,500000,2.6200,2.4600,-58591.1,0,0,0,-58591.1,
