Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 16, 2025"
Statement,Data,WhenGenerated,"2025-01-17, 00:18:49 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,1222685.521053098,-132955210.0736729,-131732524.55261981,-9394773.956759304
Net Asset Value,Data,Stock,194133060.80600002,197252118.667,0,197252118.667,3119057.860999972
Net Asset Value,Data,Options,-107017.55,353183.1,-36898.2776,316284.8224,423302.3724
Net Asset Value,Data,Interest Accruals,-523154.9986953,0,-276374.5126028,-276374.5126028,246780.4860925
Net Asset Value,Data,Dividend Accruals,39694.96,43226.9078374,-234.28,42992.6278374,3297.6678374
Net Asset Value,Data,Total,71204832.62144418,198871214.1958905,-133268717.14387572,65602497.05201477,-5602335.569429412
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,5.462033741%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,3651956.20040784
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Dividends,49967.11
Change in NAV,Data,Withholding Tax,-10420.46
Change in NAV,Data,Change in Dividend Accruals,3350.4273135
Change in NAV,Data,Interest,-540990.4926907
Change in NAV,Data,Change in Interest Accruals,246725.0957611
Change in NAV,Data,Other Fees,-188.39
Change in NAV,Data,Commissions,-2335.408217
Change in NAV,Data,Transaction Fees,-402.28285943
Change in NAV,Data,Other FX Translations,2.6308553
Change in NAV,Data,Ending Value,65602497.05201477
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,22.6000,1200.895,0,0,0,1200.895,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,261.0000,-18383.409,0,0,0,-18383.409,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.2400,-64129.8,0,0,0,-64129.8,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,150000,34.5000,34.3500,-5171.4,-257.72,-503.87449656,0,-5932.99449656,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,79.2000,866.025,0,0,0,866.025,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,41.7000,-69891.25,0,0,0,-69891.25,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,52.4500,-10418.59,0,0,0,-10418.59,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,72.7200,-87357.918,0,0,0,-87357.918,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.2450,-11208.45,0,0,0,-11208.45,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,147.6000,-6594.85,0,0,0,-6594.85,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,533.5000",2723.412,0,0,0,2723.412,
Mark-to-Market Performance Summary,Data,Stocks,6181,0,2000,--,295.0000,667.644,-1589.7918,-125.77489184,0,-1047.92269184,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,688.0000",-23710.4925,0,0,0,-23710.4925,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.6200,6771.984,0,0,0,6771.984,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,382.4000,-184705.627,0,0,0,-184705.627,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,19.7800,42366,0,0,0,42366,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,75.3500,-20093,0,0,0,-20093,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,140.1000,6577.9875,0,0,0,6577.9875,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,10.0800,9.2900,-5075.745,0,0,0,-5075.745,
