Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 20, 2025"
Statement,Data,WhenGenerated,"2025-01-21, 00:18:25 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,1372151.051053464,-132315617.20491195,-130943466.15385848,-8605715.557997972
Net Asset Value,Data,Stock,194133060.80600002,198808692.08449998,0,198808692.08449998,4675631.278499961
Net Asset Value,Data,Options,-107017.55,221471,-85206.3468,136264.6532,243282.2032
Net Asset Value,Data,Interest Accruals,-523154.9986953,0,-294321.0584866,-294321.0584866,228833.9402087
Net Asset Value,Data,Dividend Accruals,39694.96,43488.6962291,-8.1,43480.5962291,3785.6362291
Net Asset Value,Data,Total,71204832.62144418,200445802.83178255,-132695152.71019854,67750650.12158401,-3454182.499860168
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,8.915386916%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,5818395.232493181
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Dividends,49967.11
Change in NAV,Data,Withholding Tax,-10420.46
Change in NAV,Data,Change in Dividend Accruals,3803.9773135
Change in NAV,Data,Interest,-540990.4926907
Change in NAV,Data,Change in Interest Accruals,228843.1453964
Change in NAV,Data,Other Fees,-414.57
Change in NAV,Data,Commissions,-2936.613241
Change in NAV,Data,Transaction Fees,-402.28285943
Change in NAV,Data,Other FX Translations,-27.5462721
Change in NAV,Data,Ending Value,67750650.12158401
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,190000,22.5500,23.4500,21949.94,0,0,0,21949.94,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,25500,266.6000,275.0000,27495.375,0,0,0,27495.375,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,2625000,4.4300,4.1700,-87733.0125,0,0,0,-87733.0125,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,150000,34.5000,34.7000,1568.325,-257.72,-503.87449656,0,806.73050344,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,5000,77.8500,81.0500,2055.4225,0,0,0,2055.4225,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,125000,46.0500,42.7000,-53825,0,0,0,-53825,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,20000,56.5000,55.6500,-2191.68,0,0,0,-2191.68,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,435000,74.2800,74.0800,-11319.57,0,0,0,-11319.57,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,600000,9.3900,9.6300,18474.69,0,0,0,18474.69,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,12500,151.7000,155.5000,6097.2625,0,0,0,6097.2625,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,10000,"1,490.5000","1,532.5000",2661.611,0,0,0,2661.611,
Mark-to-Market Performance Summary,Data,Stocks,6181,0,2000,--,304.8000,3188.2,-1589.7918,-125.77489184,0,1472.63330816,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,15000,"3,937.0000","3,799.0000",-13016.706,0,0,0,-13016.706,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,240000,12.4000,12.5000,3066.432,0,0,0,3066.432,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,41500,417.0000,389.8000,-145224.353,0,0,0,-145224.353,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,500000,19.1200,19.0800,-2611.4,0,0,0,-2611.4,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,125000,76.6000,75.4000,-19286.875,0,0,0,-19286.875,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,12500,136.0000,157.4000,34365.175,0,0,0,34365.175,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,50000,10.0800,9.4000,-4368.56,0,0,0,-4368.56,
