Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 30, 2025"
Statement,Data,WhenGenerated,"2025-01-31, 10:03:38 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-122337750.59586051,66622040.65391708,-0.000216828,66622040.653700255,188959791.24956077
Net Asset Value,Data,Stock,194133060.80600002,124650,0,124650,-194008410.80600002
Net Asset Value,Data,Options,-107017.55,34200,-4216.9,29983.1,137000.65
Net Asset Value,Data,Interest Accruals,-523154.9986953,13514.6,-494486.5964856,-480971.9964856,42183.0022097
Net Asset Value,Data,Dividend Accruals,39694.96,11495.97,-8.1,11487.87,-28207.09
Net Asset Value,Data,Total,71204832.62144418,66805901.22391708,-498711.596702428,66307189.627214655,-4897642.994229525
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,6.594907055%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,71204832.62144418
Change in NAV,Data,Mark-to-Market,4586526.40225023
Change in NAV,Data,Deposits & Withdrawals,-9000000
Change in NAV,Data,Internal Transfers,-10.1312549
Change in NAV,Data,Dividends,93053.9590706
Change in NAV,Data,Withholding Tax,-11725.1212332
Change in NAV,Data,Change in Dividend Accruals,-28154.3305239
Change in NAV,Data,Interest,-540990.4926907
Change in NAV,Data,Change in Interest Accruals,42138.5485102
Change in NAV,Data,Other Fees,-414.57
Change in NAV,Data,Commissions,-26056.25535006
Change in NAV,Data,Transaction Fees,-12002.69723124
Change in NAV,Data,Other FX Translations,-8.3057766
Change in NAV,Data,Ending Value,66307189.627214655
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,190000,0,22.5500,--,26835.98,-597.06,-931.6586193,0,25307.2613807,
Mark-to-Market Performance Summary,Data,Stocks,1211,25500,0,266.6000,--,26852.163,-1938.84,-1441.9758486,0,23471.3471514,
Mark-to-Market Performance Summary,Data,Stocks,1288,2625000,0,4.4300,--,-30429.2625,-6741,-2337.92907936,40181.9078374,673.71625804,
Mark-to-Market Performance Summary,Data,Stocks,1810,80000,0,34.5000,--,47811.675,-1220.72,-1654.10348604,0,44936.85151396,
Mark-to-Market Performance Summary,Data,Stocks,2020,5000,0,77.8500,--,2762.375,-152.796,-86.48045592,0,2523.09854408,
Mark-to-Market Performance Summary,Data,Stocks,2318,125000,0,46.0500,--,-32955.8125,2407.5,-1140.3754515,0,-31688.6879515,
Mark-to-Market Performance Summary,Data,Stocks,2359,20000,0,56.5000,--,-1291.72,591.924,-235.05027906,0,-934.84627906,
Mark-to-Market Performance Summary,Data,Stocks,2828,435000,0,74.2800,--,75852.168,9488.76,-2545.0418155,0,82795.8861845,
Mark-to-Market Performance Summary,Data,Stocks,3067,600000,0,9.3900,--,31969.47,5392.8,-460.319778,0,36901.950222,
Mark-to-Market Performance Summary,Data,Stocks,3690,12500,0,151.7000,--,-3209.0375,3691.5,-395.84436,0,86.61814,
Mark-to-Market Performance Summary,Data,Stocks,6178.T,10000,0,"1,490.5000",--,6689.3815,259.846785,-43.97218291,0,6905.25610209,
Mark-to-Market Performance Summary,Data,Stocks,6181,0,0,--,--,29590.46,-5647.2318,-287.31210704,0,23655.91609296,
Mark-to-Market Performance Summary,Data,Stocks,6501.T,15000,0,"3,937.0000",--,-5433.1845,5849.173782,-162.31947634,0,253.66980566,
Mark-to-Market Performance Summary,Data,Stocks,688,240000,0,12.4000,--,-4328.112,0,-608.65030848,0,-4936.76230848,
Mark-to-Market Performance Summary,Data,Stocks,700,41500,0,417.0000,--,-114312.165,-1692.312,-3386.00890956,0,-119390.48590956,
Mark-to-Market Performance Summary,Data,Stocks,883,500000,0,19.1200,--,-28294.3,-1448.352,-1926.66783408,0,-31669.31983408,
Mark-to-Market Performance Summary,Data,Stocks,941,125000,0,76.6000,--,-11259.875,-3168.27,-1952.31944806,0,-16380.46444806,
Mark-to-Market Performance Summary,Data,Stocks,9618,12500,0,136.0000,--,34207.375,937.962,-408.37316655,0,34736.96383345,
Mark-to-Market Performance Summary,Data,Stocks,992,50000,0,10.0800,--,-3790.385,64.2,-98.525814,0,-3824.710814,
Mark-to-Market Performance Summary,Data,Stocks,9961,9500,0,540.0000,--,12787.038,5591.82,-1089.020106,0,17289.837894,
Mark-to-Market Performance Summary,Data,Stocks,9988,30000,0,82.4000,--,18688.785,1347.558,-546.13597899,0,19490.20702101,
Mark-to-Market Performance Summary,Data,Stocks,9CI,500000,0,2.6200,--,-61578.38,-5949.6,-899.8583076,0,-68427.8383076,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,2000,0,250.4200,--,-41120,-20419.85,-18.95088917,0,-61558.80088917,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,2000,0,219.3900,--,32060,-12105.28,-20.02197022,0,19934.69802978,
Mark-to-Market Performance Summary,Data,Stocks,ANF,1000,0,149.4700,--,-21845,8897.51,-9.25299828,0,-12956.74299828,
Mark-to-Market Performance Summary,Data,Stocks,ASML,500,0,693.0800,--,-1465,10370.97,-12.06585702,0,8893.90414298,
Mark-to-Market Performance Summary,Data,Stocks,BILI,2500,0,18.1100,--,-2825,-213.52,-9.46060539,0,-3047.98060539,
Mark-to-Market Performance Summary,Data,Stocks,BRK B,2000,0,453.2800,--,42840,-33650.63,-31.74823709,0,9157.62176291,
Mark-to-Market Performance Summary,Data,Stocks,BX,1500,0,172.4200,--,23525,-9155,-16.651045,97.23,14450.578955,
Mark-to-Market Performance Summary,Data,Stocks,CAT,0,0,--,--,24952,9055.11,-13.88829126,0,33993.22170874,
Mark-to-Market Performance Summary,Data,Stocks,CCJ,2000,0,51.3900,--,-7760,13280.35,-9.68669473,0,5510.66330527,
Mark-to-Market Performance Summary,Data,Stocks,CRM,1000,0,334.3300,--,12770,-22049.75,-13.43283445,280,-9013.18283445,
Mark-to-Market Performance Summary,Data,Stocks,CTAS,10000,0,182.7000,--,198600,-75525.77,-87.94753813,0,122986.28246187,
Mark-to-Market Performance Summary,Data,Stocks,CWB,38350,0,77.8900,--,76316.5,-4103.32,-224.2658166,0.01,71988.9241834,
Mark-to-Market Performance Summary,Data,Stocks,D05,50000,0,43.7200,--,-4333.92,-897.6459,-1516.66477944,0,-6748.23067944,
Mark-to-Market Performance Summary,Data,Stocks,DBA,55000,0,26.5900,--,40150,-6697.4,-154.39902228,0,33298.20097772,
Mark-to-Market Performance Summary,Data,Stocks,DIA,2000,0,425.5000,--,43240,-13030,-28.577108,855.88,31037.302892,
Mark-to-Market Performance Summary,Data,Stocks,DXJ,0,0,--,--,0,0,0,0.02,0.02,
Mark-to-Market Performance Summary,Data,Stocks,EPI,50000,0,45.2700,--,-108500,-4467.123,-265.76396573,0,-113232.88696573,
Mark-to-Market Performance Summary,Data,Stocks,FPE,200000,0,17.7000,--,-4000,-134.1828,-917.13103672,1196.32,-3854.99383672,
Mark-to-Market Performance Summary,Data,Stocks,GLD,69481,0,242.1300,--,754563.66,70162.88,-684.570976,0,824041.969024,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,2000,0,190.4400,--,7300,10855.25,-28.86467906,0,18126.38532094,
Mark-to-Market Performance Summary,Data,Stocks,GS,2000,0,572.6200,--,121320,-4889.74,-41.84397823,0,116388.41602177,
Mark-to-Market Performance Summary,Data,Stocks,HES,11100,0,133.0100,--,145410,-67266,-80.00838375,0,78063.99161625,
Mark-to-Market Performance Summary,Data,Stocks,HYD,0,0,--,--,0,0,0,-2.56,-2.56,
Mark-to-Market Performance Summary,Data,Stocks,IAUM,55000,0,26.1700,--,64900,8250,-332.3489875,0,72817.6510125,
Mark-to-Market Performance Summary,Data,Stocks,IBIT,53000,0,53.0500,--,250619.99999999,-8586.09,-239.12631922,0,241794.78368077,
Mark-to-Market Performance Summary,Data,Stocks,ICE,1000,0,149.0100,--,11820,-6440.29,-8.57500644,0,5371.13499356,
Mark-to-Market Performance Summary,Data,Stocks,IGV,10000,0,100.1200,--,20760,-21930.46,-64.10512508,0,-1234.56512508,
Mark-to-Market Performance Summary,Data,Stocks,IJH,63000,0,62.3100,--,151185,10402.48,-252.67246819,0,161334.80753181,
Mark-to-Market Performance Summary,Data,Stocks,ISTB,21013,0,47.7700,--,5463.38,-6724.16,-66.3849855,0,-1327.1649855,
Mark-to-Market Performance Summary,Data,Stocks,IWM,36000,0,220.9600,--,199440,23475.5,-319.75590515,0,222595.74409485,
Mark-to-Market Performance Summary,Data,Stocks,JPM,3000,0,239.7100,--,100060,-9481.33,-42.67869103,0,90535.99130897,
Mark-to-Market Performance Summary,Data,Stocks,KO,5000,0,62.2600,--,8050,-11487.78,-28.22633525,0,-3466.00633525,
Mark-to-Market Performance Summary,Data,Stocks,LLY,400,0,772.0000,--,14468,-12952.4,-10.52434543,0,1505.07565457,
Mark-to-Market Performance Summary,Data,Stocks,LQD,20000,0,106.8400,--,20400,-5589.16,-108.08418135,0,14702.75581865,
Mark-to-Market Performance Summary,Data,Stocks,MBB,4000,0,91.6800,--,1960,-480,-30.9195,0,1449.0805,
Mark-to-Market Performance Summary,Data,Stocks,MCD,10500,0,289.8900,--,-18430,-62504.75,-107.76215695,0,-81042.51215695,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,1400,0,421.5000,--,23495,-3691.78,-24.93672791,0,19778.28327209,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,167800,1000,134.2900,124.6500,-2655086.00000002,1921549.88,-1013.20366467,0,-734549.32366469,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,1500,0,166.6400,--,-10360,37368.4,-16.97983798,420,27411.42016202,
Mark-to-Market Performance Summary,Data,Stocks,PANW,2000,0,181.9600,--,22915,-18052.72,-18.6630281,0,4843.6169719,
Mark-to-Market Performance Summary,Data,Stocks,PDD,11400,0,96.9900,--,150912,-23329.49,-64.65337207,0,127517.85662793,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,1500,0,75.6300,--,7895,-7386.33,-13.57314328,0,495.09685672,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,62000,0,511.2300,--,219359.99999999,330486.02,-1069.77016641,0,548776.24983358,
Mark-to-Market Performance Summary,Data,Stocks,RSP,10000,0,175.2300,--,-5600,-14684.27,-97.01259229,0,-20381.28259229,
Mark-to-Market Performance Summary,Data,Stocks,RTX,5000,0,115.7200,--,46650,-3686.71,-27.59101673,0,42935.69898327,
Mark-to-Market Performance Summary,Data,Stocks,SE,5500,0,106.1000,--,4235,-6348.71,-35.42912324,0,-2149.13912324,
Mark-to-Market Performance Summary,Data,Stocks,SHYD,12000,0,22.4800,--,3240,-4080,-29.666616,-13.51,-883.176616,
Mark-to-Market Performance Summary,Data,Stocks,SNOW,0,0,--,--,6545,-4438.54,-5.12385421,0,2101.33614579,
Mark-to-Market Performance Summary,Data,Stocks,STIP,15000,0,100.6000,--,10500,227,-79.7800106,0,10647.2199894,
Mark-to-Market Performance Summary,Data,Stocks,TLT,52500,0,87.3300,--,48300,-32970.79,-265.05134505,0,15064.15865495,
Mark-to-Market Performance Summary,Data,Stocks,TSM,81500,0,197.4900,--,-557919.99999999,1123347.07,-735.92314356,38313.54,603004.68685645,
Mark-to-Market Performance Summary,Data,Stocks,USHY,40000,0,36.7900,--,22200,-1188.96,-180.47968691,0,20830.56031309,
Mark-to-Market Performance Summary,Data,Stocks,VCIT,30000,0,80.2700,--,17250,-4302.42,-171.75494272,0,12775.82505728,
Mark-to-Market Performance Summary,Data,Stocks,VKTX,2000,0,40.2400,--,-13090,1134.277,-7.5069484,0,-11963.2299484,
Mark-to-Market Performance Summary,Data,Stocks,XHB,5500,0,104.5000,--,43725,-8960.19,-34.31389297,0,34730.49610703,
Mark-to-Market Performance Summary,Data,Stocks,XLE,67500,0,85.6600,--,317250,-65782.58,-432.87536204,0,251034.54463796,
Mark-to-Market Performance Summary,Data,Stocks,XLF,199563,0,48.3300,--,614654.04,-363735.15,-623.49801981,0,250295.39198019,
Mark-to-Market Performance Summary,Data,Stocks,XLK,24100,0,232.5200,--,-119295,189168.28,-179.29472678,0,69693.98527322,
Mark-to-Market Performance Summary,Data,Stocks,XLU,6000,0,75.6900,--,11760,2700,-32.914515,0,14427.085485,
Mark-to-Market Performance Summary,Data,Stocks,XLV,31500,0,137.5700,--,314370,-139553.83,-184.20788608,0,174631.96211392,
Mark-to-Market Performance Summary,Data,Stocks,XME,13500,0,56.7500,--,26055,11147.0878,-64.84804534,0,37137.23975466,
Mark-to-Market Performance Summary,Data,Stocks,XSW,4300,0,188.9600,--,8299,-866.75,-34.21356095,0,7398.03643905,
Mark-to-Market Performance Summary,Data,Stocks,Z74,200000,0,3.0800,--,17680.32,0,-445.506048,0,17234.813952,
Mark-to-Market Performance Summary,Data,Total,,,,,,754998.61649997,2665104.075866999,-34323.07480363,81328.8378374,3467108.455400739,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1211 17JAN25 245 P,0,0,--,--,1528.2165,44.9505,-6.999435,0,1566.167565,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1211 24JAN25 280 C,0,0,--,--,2028.138,173.5155,-8.264479,0,2193.389021,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1211 27JAN25 300 C,0,0,--,--,224.646,488.414,-6.16944,0,706.89056,
Mark-to-Market Performance Summary,Data,Equity and Index Options,1810 27JAN25 35 P,0,0,--,--,616.53,-154.069,-5.90612,0,456.55488,
Mark-to-Market Performance Summary,Data,Equity and Index Options,2020 27JAN25 85 C,0,0,--,--,197.7054,95.1252,-7.19404,0,285.63656,
Mark-to-Market Performance Summary,Data,Equity and Index Options,2828 27FEB25 80 C,0,0,--,--,-642.845,1.56,-62.9472,0,-704.2322,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 17JAN25 360 P,0,0,--,--,460.4007,40.45545,-8.09109,0,492.76506,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27JAN25 370 P,0,0,--,--,1357.812,-746.45355,-16.19037,0,595.16808,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27JAN25 380 P,0,0,--,--,2041.53495,-983.7021,-16.19037,0,1041.64248,
Mark-to-Market Performance Summary,Data,Equity and Index Options,700 27FEB25 370 P,0,0,--,--,716.5326,-96.2955,-16.254804,0,603.982296,
Mark-to-Market Performance Summary,Data,Equity and Index Options,941 27JAN25 75 C,0,0,--,--,-770.9225,385.2,-47.76846,0,-433.49096,
Mark-to-Market Performance Summary,Data,Equity and Index Options,9618 27JAN25 160 C,0,0,--,--,2092.741,-398.105,-13.8702,0,1680.7658,
Mark-to-Market Performance Summary,Data,Equity and Index Options,9988 27JAN25 90 C,0,0,--,--,346.696,192.847,-20.04054,0,519.50246,
Mark-to-Market Performance Summary,Data,Equity and Index Options,AMAT 31JAN25 187.5 P,0,0,--,--,-11660.9,280.9,-11.697932,0,-11391.697932,
Mark-to-Market Performance Summary,Data,Equity and Index Options,AMZN 31JAN25 242.5 C,0,0,--,--,530,380,-18.26904,0,891.73096,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ANF 03JAN25 155 P,0,0,--,--,0,725,0.139645,0,725.139645,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ANF 10JAN25 155 P,0,0,--,--,1150,910,-3.562468,0,2056.437532,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ANF 10JAN25 157.5 C,0,0,--,--,564.9,985.1,1.39371,0,1551.39371,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ANF 24JAN25 127 P,0,0,--,--,-564.5,1139.5,1.443815,0,576.443815,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ASML 03JAN25 680 P,-5,0,2.8447,--,1422.35,0,0,0,1422.35,
