Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 3, 2025"
Statement,Data,WhenGenerated,"2025-02-09, 20:54:42 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:55:41","10,000",100.338,100.34,-1003380,-37.485725,1003417.485725,0,20,O
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:56:47","10,000",100.338,100.34,-1003380,-37.485725,1003417.485725,0,20,O
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:57:13","20,000",100.33947,100.34,-2006789.4,-74.97145,2006864.37145,0,10.6,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:57:31","40,000",100.34,100.34,-4013600,-269.5029,4013869.5029,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:58:09","50,000",100.34,100.34,-5017000,-239.437225,5017239.437225,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:58:30","50,000",100.34,100.34,-5017000.000000001,-336.878625,5017336.878625001,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:58:42","50,000",100.34,100.34,-5017000,-336.878625,5017336.878625001,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:59:04","50,000",100.34,100.34,-5016999.999999999,-336.878625,5017336.878624998,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 09:59:18","50,000",100.34,100.34,-5017000,-291.845549999,5017291.845549999,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 10:00:33","50,000",100.3386,100.34,-5016930,-178.1315,5017108.1315,0,70,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 10:00:54","50,000",100.34,100.34,-5016999.999999999,-261.8235,5017261.823499999,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 10:01:12","50,000",100.34,100.34,-5017000,-261.8235,5017261.823499999,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 10:01:30","50,000",100.33973,100.34,-5016986.500000001,-234.9225,5017221.422499999,0,13.5,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 10:01:48","50,000",100.34,100.34,-5017000,-261.8235,5017261.8235,0,0,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 10:02:02","50,000",100.3398,100.34,-5016990,-249.8675,5017239.867500001,0,10,O;P
Trades,Data,Order,Stocks,USD,SGOV,"2025-02-03, 10:02:53","1,800",100.338,100.34,-180608.4,-4.045446,180612.445446,0,3.6,O
Trades,SubTotal,,Stocks,USD,SGOV,,631800,,,-63394664.3,-3413.801895999,63398078.10189599,0,147.7,
Trades,Total,,Stocks,USD,,,,,,-63394664.3,-3413.801895999,63398078.10189599,0,147.7, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Equity and Index Options,USD,NVDA 31JAN25 126 C,"2025-01-31, 16:20:00",10,0,0,0,0,2635.346208,2635.346208,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,NVDA 31JAN25 126 C,,10,,,0,0,2635.346208,2635.346208,0,
Trades,Data,Order,Equity and Index Options,USD,NVDA 31JAN25 115 P,"2025-01-31, 16:20:00",20,0,0,0,0,3297.767127,3297.767127,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,NVDA 31JAN25 115 P,,20,,,0,0,3297.767127,3297.767127,0,
Trades,Data,Order,Equity and Index Options,USD,NVDA 31JAN25 119 P,"2025-01-31, 16:20:00",10,0,0,0,0,2727.843566,2727.843566,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,NVDA 31JAN25 119 P,,10,,,0,0,2727.843566,2727.843566,0,
Trades,Total,,Equity and Index Options,USD,,,,,,0,0,8660.956901,8660.956901,0, 
